category,datetime,headline,id,image,related,source,summary,url
company,1770136447,Jim Cramer Says “I Like AstraZeneca Very Much”,138344092,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AstraZeneca PLC (NASDAQ:AZN) is one of the stocks Jim Cramer shed light on recently. When a caller mentioned that they are thinking of selling their position in the stock for profit and buying ABBV shares, Cramer remarked: I like AstraZeneca very much. And that cancer franchise turned out to be a lot stronger than I […]",https://finnhub.io/api/news?id=f054400007b88f52d86377e76ef642926fc3ef26732575e2cdd4e8c17cbac324
company,1770135480,Silver Economy Boom: Investing in Healthcare's Aging Tailwinds,138344914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"An aging population is reshaping healthcare, with BSX, RMD, ABBV and AMGN positioned to benefit from rising senior care demand.",https://finnhub.io/api/news?id=86913971a38664fa1f8c01de5e87a4832c1200b2daafc58749a3c5d3986040d2
company,1770126600,Allergan Aesthetics Continues Its Mission of Empowering Women Through the Faces of Natrelle® Testimonial Program,138341614,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Allergan Aesthetics, an AbbVie company (NYSE: ABBV), announced the launch of the Faces of Natrelle® Testimonial Program, a nationwide initiative inviting women to share their real stories and experiences with Natrelle® breast implants to help educate, empower, and support others considering breast surgery.",https://finnhub.io/api/news?id=fc37ad4af58033c03ad967bec2a7e0b2776975a2e90db86429e7779391dcde39
company,1770124912,AbbVie Targets Post Humira Growth With Cell Therapy And RINVOQ Expansion,138341615,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE:ABBV) has agreed to acquire Capstan Therapeutics to expand its work in in vivo CAR-T cell therapy. The company has also submitted upadacitinib (RINVOQ) for FDA and EMA review as a potential treatment for vitiligo. For you as an investor, these updates relate to AbbVie’s strategy after Humira's patent expiry to position itself as a broad-based biopharma company with exposure to complex immunology and oncology treatments. The Capstan deal adds a new cell therapy platform, while...",https://finnhub.io/api/news?id=a49fb327ac11b89a9ab9317dd734fc7f2c1a9ea2b93b907d848d1846aa663fe7
company,1770123600,AbbVie Submits Regulatory Applications to FDA and EMA for Upadacitinib (RINVOQ®) in Adults and Adolescents With Vitiligo,138341616,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE: ABBV) today announced that it has submitted applications for a new indication to the U.S. Food and Drug Administration (FDA) and European Medicines Agency (EMA) for upadacitinib (RINVOQ®; 15 mg, once daily) for the treatment of adult and adolescent patients living with non-segmental vitiligo (NSV). The regulatory submissions to the FDA and EMA are supported by previously announced results from the Viti-Up studies evaluating the safety and efficacy of upadacitinib in patients with N",https://finnhub.io/api/news?id=e9e6a11ebd0ba1e59df1f8dfa593dcffcebfd57deec24b5876dc4d14b79875ca
company,1770123302,Pfizer (PFE) Q4 Earnings and Revenues Beat Estimates,138342565,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Pfizer (PFE) delivered earnings and revenue surprises of +16.81% and +4.26%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=9d3412cf1f97fcd857701b290538dd982048dcca4a7d2f23d815ed76f8155134
company,1770121287,DGRO: This Diversified Dividend Growth Fund Is Getting Pricey,138343719,,ABBV,SeekingAlpha,,https://finnhub.io/api/news?id=ad6eb402da4430178f476b94b861881a01e39777047e6df8fc51a87c56492227
company,1770111261,What Does Wall Street Think About AbbVie Inc. (ABBV)?,138340033,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie Inc. (NYSE:ABBV) is one of the best long term low volatility stocks to invest in. On January 27, Citi cut the price target on AbbVie Inc. (NYSE:ABBV) to $230 from $235 while maintaining a Neutral rating on the shares. The firm told investors that it adjusted price targets in the biopharma group as part […]",https://finnhub.io/api/news?id=03f5509d9aed6404e4593da2d23a5b4021b567ceb07a3b0ca3990e05e4a8a0cb
company,1770105706,Big Tech and Pharma Earnings: What to Watch This Week,138340001,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Earnings season marches on. Two more Magnificent Seven tech companies—Alphabet and Amazon—will report, following on the heels of disappointing results from Microsoft that helped send software stocks tumbling last week.",https://finnhub.io/api/news?id=9aa613f24a7650ac7b730d72057e5922be4de4b5ab97ebd182e8d85bdb78a6bc
company,1770088671,AbbVie (ABBV) Q4 Earnings: What To Expect,138338520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,Pharmaceutical company AbbVie (NYSE:ABBV) will be reporting earnings this Wednesday before market open. Here’s what to expect.,https://finnhub.io/api/news?id=a0f24601f1794b024c5e2922352b93f490803d2b0ad65108624b0b217289c3db
company,1770078519,AbbVie Inc. (ABBV): A Bull Case Theory,138337973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"We came across a bullish thesis on AbbVie Inc. on Disruptive Analytics ’ Substack by Magnus Ofstad. In this article, we will summarize the bulls’ thesis on ABBV. AbbVie Inc.’s share was trading at $223.01 as of January 30th. ABBV’s trailing and forward P/E were 166.99 and 15.70 respectively according to Yahoo Finance. AbbVie Inc., a research-based biopharmaceutical […]",https://finnhub.io/api/news?id=44077e303e5d371db055401b366b69a44fe51ab8a2fc8ed8c724ce2ebd27003b
