category,datetime,headline,id,image,related,source,summary,url
company,1770158640,Threat of New AI Tools Wipes $300 Billion Off Software and Data Stocks,138348226,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"From Legalzoom.com and Expedia to Ares and Apollo, shares of companies that sell or invest in software fell sharply on Tuesday.",https://finnhub.io/api/news?id=c9833768afe4b9fc96f23f290fc2cd1e42606211764303342b8b18e6bd56a739
company,1770156885,Heard on the Street Recap: Code Red,138348169,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Anthropic's launch of new AI productivity tools spooked investors. The worries hit a wide swath of software and data service companies. Among the worst-hit companies on the Nasdaq were Thomson Reuters and Intuit, which shed 16% and 11%, respectively.",https://finnhub.io/api/news?id=14dc9ed7a62c64324e333885987e7294187698a7c8024e302bdb95338eabed5e
company,1770156780,Software Stocks Have Gotten Crushed. This Chart Says It’s Not Time to Buy Yet.,138348120,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"“Old tech” software names like  Adobe  and  Intuit  are both off more than 40% from their annual peaks.  The weakness is especially glaring on the IGV ETF’s ratio chart versus the  While IGV trades 28% below its most recent 52-week high, the semiconductor ETF is down just 5% from its own annual peak.",https://finnhub.io/api/news?id=e042edc612d116fc3e4433492cd882ae909480a49d18199d72c11e18124497cb
company,1770153080,Adobe’s Expanded Cognizant AI Partnership Might Change The Case For Investing In Adobe (ADBE),138347254,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"In late January 2026, Cognizant announced an expanded global collaboration with Adobe to help enterprises use generative AI to create, govern and scale content and customer experiences across regulated and fast-growing industries. This move highlights how Adobe is positioning its Firefly and Experience Cloud technologies at the center of clients’ end-to-end content supply chains, from ideation through compliance and personalization. With recent analyst concerns about growth and competition...",https://finnhub.io/api/news?id=0ab71f34b1a36cbd5b3b000fb4aa9e33f11e65a382e7715e3ae29c151f9e5af4
company,1770151560,"AI Disruption Fears Roil Software Industry, and the Stock Market",138347211,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"From Legalzoom.com and Expedia to Ares and Apollo, shares of companies that sell or invest in software fell sharply on Tuesday.",https://finnhub.io/api/news?id=34a1c0a057d176062a4fd1bc0245cfd2107fd67716e47cb3161d99d886ab1ad7
company,1770148302,Why Adobe (ADBE) Stock Is Falling Today,138347256,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Shares of creative software giant Adobe (NASDAQ:ADBE) fell 6.9% in the afternoon session after fears of disruption from artificial intelligence spooked investors, leading to a broad-based sell-off.",https://finnhub.io/api/news?id=26465ca0b07a0ff38ca555294d1d3427061dba774ed079443cb0f130f5cea7b6
company,1770143040,8 Software Stocks to Buy That Are Actually Profitable—and Cheap,138345481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Worries about how artificial intelligence could affect the sector are making good companies with real earnings look profitable.,https://finnhub.io/api/news?id=c10b83b632fe1240106a3a967003f8cf82f3f47835e221ddafb37d4aafde2b7e
company,1770141230,"Bitcoin nears weekend low of $74,600 as stock selloff adds to crypto's woes",138345916,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Major declines in artificial-intelligence-linked stocks, software names and private equity are leading U.S. indices lower.",https://finnhub.io/api/news?id=12f482a67650bcc88172664629badbe2b8c9f3f00cd2221a0f2285aa5d8970bd
company,1770129284,"Adobe downgraded, Palantir upgraded: Wall Street's top analyst calls",138342547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Adobe downgraded, Palantir upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=8668f7889e53dcd677bfa3601bcb1761acce6e176af5fd857a6ad25a0edb0d56
company,1770123630,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies, SoFi Technologies, and More",138342018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Pre-Market Stock Futures: Futures are trading higher after a strong bounce-back Monday, with all major indices ending the day higher, as we started February on a winning note. Investors were able to look past the crypto and precious metals meltdowns, geopolitical hot spots around the world, some big retail and institutional investors’ profit-taking, and a ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies,",https://finnhub.io/api/news?id=d28b06dc570fad9873c2ca6007e3ad166c701a25927932e58025d3f26bea4e3f
