category,datetime,headline,id,image,related,source,summary,url
company,1770160066,Archer Daniels Midland Q4 Earnings Call Highlights,138348341,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"Archer Daniels Midland (NYSE:ADM) reported fourth-quarter 2025 adjusted earnings per share of $0.87 and full-year adjusted EPS of $3.43, as management emphasized tighter execution, working capital improvements, and expectations for a “more constructive” operating environment in 2026. Total segment o",https://finnhub.io/api/news?id=a7f3cb860e460cba0a4c4714a3d01700e3a9e60d01747d1113c3a7baf67513c9
company,1770152545,Archer-Daniels-Midland Co (ADM) Q4 2025 Earnings Call Highlights: Navigating Challenges with ...,138347371,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"Despite facing profit declines in key segments, ADM demonstrates resilience through strong cash flow and strategic cost-saving initiatives.",https://finnhub.io/api/news?id=485ceb6931983201d09b699e156bd1d15041012aa1f1fbee27b1e029b667af7c
company,1770141000,"Archer Daniels Q4 Earnings Beat Estimates, Lower Segment Sales Hurt",138345842,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"ADM's Q4 earnings beat estimates, but revenues miss as Ag Services & Oilseeds and Carbohydrate sales slide, offsetting modest Nutrition growth.",https://finnhub.io/api/news?id=2bfe44c7b5054895112d5e98d4090a5fa927c63c69a7f5f2bd8caebbd2a03ca0
company,1770133228,Archer-Daniels-Midland Company (ADM) Q4 2025 Earnings Call Transcript,138346488,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ADM,SeekingAlpha,"Archer-Daniels-Midland Company (ADM) Q4 2025 Earnings Call February 3, 2026 8:30 AM ESTCompany ParticipantsKathryn WalshJuan Luciano - Chairman, CEO &...",https://finnhub.io/api/news?id=ae9934321281f2acc8c12b2941cd1ab45725add9f9e0bd4d96f1adb2d3af0728
company,1770129004,"Compared to Estimates, ADM (ADM) Q4 Earnings: A Look at Key Metrics",138344440,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"The headline numbers for ADM (ADM) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=ce0cb5ee40f4aaa08d6abe438bdfe09fb919c010f250297b46d2c7199c9e8f03
company,1770126560,ADM Works Through Market Volatility and Closes a Chapter on Past Issues,138341897,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"Archer-Daniels-Midland Company (NYSE:ADM) is included among the Dividend Growth Stocks: 25 Aristocrats. Archer-Daniels-Midland Company (NYSE:ADM) plays a key role in moving food ingredients from farm to end market. The company buys basic commodities, including wheat, processes agricultural products into cooking and food ingredients, and manages the transport and resale of those goods across global markets. […]",https://finnhub.io/api/news?id=6d7d6df12faa991a54b7ed6206d6fe6b5b0282389e0c45ba356c2c03efc68752
company,1770120977,Stocks Mostly Rise Pre-Bell as Investors Await Latest Round of Corporate Earnings,138341612,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,US equity futures were mostly pointing higher on Tuesday as traders await a fresh batch of corporate,https://finnhub.io/api/news?id=a4b55d3dfcdc527e15b9028fa2e3c93b8426e666df2a78822f6203e6d77b68b3
company,1770120601,Archer Daniels Midland (ADM) Q4 Earnings Surpass Estimates,138342913,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"ADM (ADM) delivered earnings and revenue surprises of +4.82% and -16.84%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=c323069807cce5274ff7316488dd22b56b426b14d741e6ccf53b6d48846159ed
company,1770120000,"Archer Daniels Profit, Revenue Fall on Biofuel Policy and Trade Uncertainty",138341899,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"Archer Daniels Midland logged lower fourth-quarter profit and revenue, hurt by a challenging operating environment marked by trade and policy uncertainty.",https://finnhub.io/api/news?id=5946c5c0636acdea130044ffbc5bca5c68f80b2021684b9bcbb032651df4dd19
company,1770117352,Archer-Daniels-Midland (NYSE:ADM) Misses Q4 CY2025 Revenue Estimates,138341900,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"Agricultural supply chain giant Archer-Daniels-Midland (NYSE:ADM) fell short of the markets revenue expectations in Q4 CY2025, with sales falling 13.7% year on year to $18.56 billion. Its non-GAAP profit of $0.87 per share was 9.2% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=e851ca1cdd0924fe7ddd9c23b534b31ff501695f8a60f26e643328338342d732
company,1770117210,ADM: Q4 Earnings Snapshot,138340888,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"The average estimate of three analysts surveyed by Zacks Investment Research was for earnings of 83 cents per share. The agribusiness giant posted revenue of $18.56 billion in the period, which did not meet Street forecasts. Three analysts surveyed by Zacks expected $22.31 billion.",https://finnhub.io/api/news?id=669750a0ee6397b2ed56ba5da211a722af22fd73baff82bc70c43ab019fb0a4b
company,1770116400,ADM Reports Fourth Quarter and Full-year 2025 Results; Provides 2026 Guidance,138340889,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADM,Yahoo,"CHICAGO, February 03, 2026--ADM (NYSE: ADM) today reported financial results for the fourth quarter and the full year ended December 31, 2025, and provided its current outlook for 2026.",https://finnhub.io/api/news?id=bf43bbee4b40f4ddb36f72be7be1781975e444c753848930dfdaa94b54834a82
company,1770109458,Archer-Daniels-Midland Company 2025 Q4 - Results - Earnings Call Presentation,138341977,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ADM,SeekingAlpha,2026-02-03. The following slide deck was published by Archer-Daniels-Midland Company in conjunction with their 2025 Q4 earnings call.,https://finnhub.io/api/news?id=3df206b2cf2e3c4bffd0a6026e01884c3368a087a8978060dd76de8d23f20fc4
