category,datetime,headline,id,image,related,source,summary,url
company,1770160067,AMETEK Q4 Earnings Call Highlights,138348306,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"AMETEK (NYSE:AME) executives highlighted record quarterly and annual results in the company’s fourth-quarter 2025 earnings call, pointing to double-digit growth in sales, orders, and operating profit during the period, alongside a record backlog and continued acquisition activity. Management also in",https://finnhub.io/api/news?id=33c38c483d3878dbd465a7789c8ff52b8d1910202a97eeea3f6e96879e97125a
company,1770152516,AMETEK Inc (AME) Q4 2025 Earnings Call Highlights: Record Sales and Strategic Growth Amid Challenges,138347322,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"AMETEK Inc (AME) reports record-breaking financial performance in Q4 2025, driven by strong sales and strategic acquisitions, despite facing macroeconomic uncertainties.",https://finnhub.io/api/news?id=e938d5dc9103ba93ec7091495f40873af4a2fb457564f6f3beb72854b1222f24
company,1770138315,AMETEK: Perilously Close To A Downgrade As Valuation Outweighs Fantastic Growth,138347442,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1296135852/image_1296135852.jpg?io=getty-c-w1536,AME,SeekingAlpha,"AMETEK, Inc. is a Hold due to high share price relative to fundamentals despite the company's high quality & execution. Read more on AME stock here.",https://finnhub.io/api/news?id=ccf00e667c1d8d93ba2204df2cc89a4b61f7dc7a523fea5f45e803477a9f72da
company,1770131635,AMETEK (AME) Q4 2025 Earnings Call Transcript,138342844,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"Dave Zapico: Thank you, Kevin, and good morning, everyone.  AMETEK completed a strong year with excellent results in the fourth quarter, highlighted by double-digit growth in sales, orders, and operating profit, robust core margin expansion, strong cash flow growth, and earnings per share ahead of our expectations.  In the quarter, we established records for sales, orders, operating income, EBITDA, diluted earnings per share, operating cash flow, and free cash flow.",https://finnhub.io/api/news?id=318b1c8ce3447711e3ea3c7f855a22cfba37dd2e6a0d657f397a439690a8dbfa
company,1770129006,Ametek (AME) Reports Q4 Earnings: What Key Metrics Have to Say,138344361,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"The headline numbers for Ametek (AME) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=7ef0a2af0322e07c93703e5ce2a44ca7e3ae116f2c94f35344c0c25cfb598293
company,1770128935,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Tuesday as Earnings Deluge Continues",138342525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 0.3%, and the actively tra",https://finnhub.io/api/news?id=da212ca83c3f3bc55ace221b03a142f7043b9aba3ee5be87bad7f7bf17e2b3ce
company,1770127230,"AMETEK, Inc. (AME) Q4 2025 Earnings Call Transcript",138345062,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,AME,SeekingAlpha,"AMETEK, Inc. (AME) Q4 2025 Earnings Call February 3, 2026 8:30 AM ESTCompany ParticipantsKevin Coleman - VP of Investor Relations & TreasurerDavid...",https://finnhub.io/api/news?id=618d1d6c1c64dce93a7dd0b418d6b7af815fbc335363a8539ba5505d5373a861
company,1770123902,Ametek (AME) Q4 Earnings and Revenues Beat Estimates,138342846,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"Ametek (AME) delivered earnings and revenue surprises of +3.65% and +2.67%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=e2afb69f6554f0d4d9720d0c6a6557c4440ed6389cbce06b49d8289e5cc19a4f
company,1770123600,"DW Healthcare Partners Announces Sale of LKC Technologies to AMETEK, Inc.",138341827,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"DW Healthcare Partners (""DWHP""), a healthcare-focused private equity firm, today announces the sale of LKC Technologies to AMETEK, Inc. (NYSE: AME).",https://finnhub.io/api/news?id=e755c29479aa8a5fd4befbb602dbf5ebc9989a8cc60505cae93e54a4e9fc3e3f
company,1770120816,Ametek: Q4 Earnings Snapshot,138341828,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AME,Yahoo,"The average estimate of nine analysts surveyed by Zacks Investment Research was for earnings of $1.94 per share. The maker of electronic instruments and electromechanical devices posted revenue of $2 billion in the period, which also beat Street forecasts. Five analysts surveyed by Zacks expected $1.95 billion.",https://finnhub.io/api/news?id=2bdd73ec5747f15da77e1c6d4e411323f6e752d102fb8b4c48da7372782dbbb5
