category,datetime,headline,id,image,related,source,summary,url
company,1770160068,Ball Q4 Earnings Call Highlights,138348365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Ball (NYSE:BALL) executives highlighted record results for 2025 and outlined expectations for continued earnings and cash flow growth in 2026, as the company leans into global demand trends for aluminum beverage cans and recent capacity investments. Leadership transition and strategic priorities Ch",https://finnhub.io/api/news?id=a035aaae105fe6c8c954802350103ee505691f6f4f587dd6654a5e7fcdf730d1
company,1770152477,Ball Corp (BALL) Q4 2025 Earnings Call Highlights: Record EPS and Strategic Growth Initiatives,138347401,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Ball Corp (BALL) reports a 13% EPS increase and robust shareholder returns, while navigating capacity constraints and inflationary pressures.",https://finnhub.io/api/news?id=7c0d5bc93ff7e300a0253f0f0dd1e477152e34486d12b20c78a54c427231defc
company,1770138180,"BALL's Q4 Earnings Beat Estimates, Sales Up Y/Y on Higher Volumes",138345875,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Ball Corp. beat Q4 EPS estimates as volumes and price/mix lifted sales to $3.35B, even as higher costs weighed on margins across segments.",https://finnhub.io/api/news?id=97333cdbc8ffdd8fdcf0aa43141cfc11c076d0f22906c6445b029df17b338f1d
company,1770133643,"Ball Q4 Review: Great End To The Year, But It Is A Bit Expensive Now",138346607,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2202868812/image_2202868812.jpg?io=getty-c-w1536,BALL,SeekingAlpha,"Ball Corporation Q4/FY2025 earnings: revenue growth, strong free cash flow, and 2026 10% EPS outlook. Click here to find out why BALL is a Hold.",https://finnhub.io/api/news?id=c78c45f607e7cb28cb1796e285d50de1f4ef71fd753f03578ce0b0e2d979252f
company,1770129005,Ball (BALL) Q4 Earnings: How Key Metrics Compare to Wall Street Estimates,138344500,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"The headline numbers for Ball (BALL) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=9b398cc65406a26fed984cf186687a84315df7bd9beba7425f803d48ce5546fd
company,1770122431,Ball Corporation (BALL) Q4 2025 Earnings Call Transcript,138343924,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,BALL,SeekingAlpha,"Ball Corporation (BALL) Q4 2025 Earnings Call February 3, 2026 9:00 AM ESTCompany ParticipantsBrandon Potthoff - Head of Investor RelationsRon Lewis - CEO...",https://finnhub.io/api/news?id=6b6d279343695d5f97d035b6d72350763cbb85b0ac3725df488f0aa98483ef09
company,1770121712,"Stocks making the biggest moves midday: Novo Nordisk, Palantir, AES, Rocket and more",138343772,https://image.cnbcfm.com/api/v1/image/108148976-1747858658246-gettyimages-2212016183-NOVO_WEGOVY.jpeg?v=1770137875&w=1920&h=1080,BALL,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=a53a6099b9c67cd40818d46413af8bd4232c635f028b007d9e048e2abf895c05
company,1770120602,Ball (BALL) Q4 Earnings and Revenues Top Estimates,138341943,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Ball (BALL) delivered earnings and revenue surprises of +1.60% and +7.59%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=b7d3c36ecd5c85cfe72a033b030eed30a4f474aa4b6d4fbba9c056d91df4c358
company,1770117211,Ball: Q4 Earnings Snapshot,138340936,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"The Westminster, Colorado-based company said it had profit of 75 cents per share. Earnings, adjusted for one-time gains and costs, came to 91 cents per share. The results exceeded Wall Street expectations.",https://finnhub.io/api/news?id=6ce31ad82d650824d3d1f299f0cbe5005cb59f1c6d0f32e4515ac5aae8f6c035
company,1770117191,Ball (NYSE:BALL) Surprises With Strong Q4 CY2025,138341944,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Packaging manufacturer Ball (NYSE:BLL) reported revenue ahead of Wall Streets expectations in Q4 CY2025, with sales up 16.2% year on year to $3.35 billion. Its non-GAAP profit of $0.91 per share was 1.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=13e1a8d8ebc85ba8173779303c31ac0da1ff34dd40319912c6c6af54e792baed
company,1770116400,Ball Reports Strong Fourth Quarter and Full-Year 2025 Results,138340937,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BALL,Yahoo,"Ball Corporation (NYSE: BALL) today reported full-year and fourth quarter 2025 results. References to net sales and comparable operating earnings in today's release do not include the company's former aerospace business. Year-over-year net earnings attributable to the corporation and comparable net earnings do include the performance of the company's former aerospace business through the sale date of February 16, 2024.",https://finnhub.io/api/news?id=703b41b04f8e2676938d44d61c7dc0a3bafcf03e6e053d27c5e0da120d0280f6
