category,datetime,headline,id,image,related,source,summary,url
company,1770142534,BlackRock Eyes AES To Deepen Infrastructure And Utility Investment Reach,138345672,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock's Global Infrastructure Partners arm and EQT AB are exploring a potential acquisition of utility group AES. The possible deal would add a large regulated utility platform to BlackRock's alternative assets footprint. The transaction would deepen NYSE:BLK exposure to infrastructure and the broader utilities sector. For you as an investor, this puts a spotlight on how NYSE:BLK is using infrastructure to grow its role in real asset investing. Utilities sit at the intersection of long...",https://finnhub.io/api/news?id=8e14da143c291d46270cee862ff4d7c96c5b1168feeafb212014f0f9c01f479a
company,1770138180,3 Asset Management Stocks Set to Pull Off Earnings Beat in Q4,138345673,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Strong Q4 markets set the stage for potential earnings beats from ARES, VRTS and VCTR after BLK's early upside surprise.",https://finnhub.io/api/news?id=a7e712b1f49275246883464234b681e81ad222e609c3c7420a3136d7035080f2
company,1770132000,"Zacks Investment Ideas feature highlights: Ark Invest, BlackRock, IBIT, GLD and SLV",138344209,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"Ark Invest says inflation fears are overblown as real-time data shows prices plunging, while traditional hedges like bitcoin, gold and silver slide.",https://finnhub.io/api/news?id=2b7f233a3bfbfa2fe0b356ea45891ba98f0118a6021a17709a82cb411fe592af
company,1770126720,Holding(s) in Company,138341716,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"TR-1: Standard form for notification of major holdings 1. Issuer Details ISIN GB00BL6K5J42 Issuer Name ENDEAVOUR MINING PLC UK or Non-UK Issuer UK 2. Reason for Notification An acquisition or disposal of voting rights 3. Details of person subject to the notification obligation Name BlackRock, Inc. City of registered office (if applicable) Wilmington Country of registered office (if applicable) USA 4. Details of the shareholder Full name of shareholder(s) if different from the person(s) subject t",https://finnhub.io/api/news?id=47cc2b7b99c97b23b97b0e7bdd1b44a0eba7a00aca680a92ab1c648a02700fdb
company,1770125473,BlackRock Acquisition Chatter Sends This Stock Towards A Breakout,138341717,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"AES stock surged before Tuesday's stock market open, on pace for a breakout, on reports of an effort by BlackRock-owned Global Infrastructure Partners and Swedish investment firm EQT AB to acquire the utility group.  Bloomberg reported after Monday's stock market close that BlackRock's infrastructure investment fund GIP is teaming up with EQT AB as it looks to takeover Virginia-based AES.  The article cites people familiar with the matter and reports that the two investment firms may reach a deal over the coming weeks.",https://finnhub.io/api/news?id=7da539841842cb8a864afb5b52c95a9feb9e2b88377eb5a7a803db8650cd7a86
company,1770120002,Is BlackRock Science & Technology Opportunities A (BGSAX) a Strong Mutual Fund Pick Right Now?,138342676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Mutual Fund Report for BGSAX,https://finnhub.io/api/news?id=28358d174d0725b9004ea6a1e531172b9bf69eea1da39a7dde94622a795f4e84
company,1770119103,BlackRock’s GIP Teams Up With EQT in Bid to Acquire Power Firm AES,138340941,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"The two investment firms could reach an agreement as soon as the coming weeks to buy AES, which provides renewable power to tech giants like Microsoft Corp., said the people.  Representatives for AES, GIP and EQT declined to comment.",https://finnhub.io/api/news?id=61de93e5aad6aa7724331ad18645920d90fa4f3f91e5f2e59f774f7d5032c730
company,1770117602,Should iShares MSCI USA Value Factor ETF (VLUE) Be on Your Investing Radar?,138341364,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Style Box ETF report for VLUE,https://finnhub.io/api/news?id=03c1213dc0172a06fadcfdeba479a911e5926eea2bdedb94f398bfa8ad960823
company,1770117601,Should You Invest in the iShares U.S. Infrastructure ETF (IFRA)?,138341365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Sector ETF report for IFRA,https://finnhub.io/api/news?id=2af711b95ae25f62f4cba68d223e491b18b6acc4030549c993bbd62116e93842
company,1770115782,US brokers may charge fee from ETF managers as commission-free trading takes a toll,138340793,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"U.S. brokerage firms and custodians may seek distribution fees from managers of exchange-traded funds, J.P. Morgan said, marking a ​possible crucial shift in the country's $13.5 trillion ETF market.  Platforms such as Robinhood attracted millions of retail investors with zero trading fees and simple mobile apps, pulling customers and trading volume away from traditional brokerages.  To combat the shift in the competitive landscape, legacy players such as Fidelity and Charles Schwab have raced ⁠to win over clients by ‌slashing trade commissions to as low as zero dollars for exchange-traded funds.",https://finnhub.io/api/news?id=e0cc1ca82e1624082e7938ddd156e7a4a36c71d3ef2f865be3d15303edcdb98d
company,1770115745,"BlackRock (BLK) Delivers Strong Organic Fee Growth, Says UBS",138340794,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock, Inc. (NYSE:BLK) ranks among the biggest publicly traded asset managers. UBS boosted its price target for BlackRock, Inc. (NYSE:BLK) to $1,280 from $1,218 on January 16, maintaining a Neutral rating on the company’s shares. The company reported fourth-quarter earnings that exceeded forecasts, with UBS emphasizing BlackRock’s solid 12% annualized organic base-fee growth as especially […]",https://finnhub.io/api/news?id=dace45527bd4e820a9a9996a04acea03b0e87c43efae6d2201a0263435732bf9
