category,datetime,headline,id,image,related,source,summary,url
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures wobble after tech-led losses, with Google earnings on deck",138352962,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=82bdc11cb74a12e55481ec9fe6b2a283765f0f4f03d9fdfbbd8e91d3500480a0
company,1770162346,"Stock market today: S&P 500, Nasdaq futures fall after AI-fueled sell-off, with Google earnings on deck",138351934,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=cb957f0d507d754e358bf8a71ae5df9817a2c9bb261c9765add9c133237806c5
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures rise ahead of Google earnings",138351246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=41f6bae84457b6dfabac244c9e20d67aabec00cab1c9c97e9456ad878475f0d3
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures mostly slip as AMD's slide adds to AI malaise ahead of Google earnings",138348095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=322a3e34186a34d5879397b4e687fae8922e97178aee23b60c06ea326eefaf39
company,1770161402,Chipotle (CMG) Reports Q4 Earnings: What Key Metrics Have to Say,138349169,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Although the revenue and EPS for Chipotle (CMG) give a sense of how its business performed in the quarter ended December 2025, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=91ab629d9e05d29b6f25cfa2a37350f5947b9ff9a1e800655ef96c328fa9660d
company,1770160584,Chipotle (CMG) Q4 2025 Earnings Call Transcript,138348308,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Please see the risk factors contained in our annual report on Form 10-Ks and in our Forms 10-Qs for a discussion of risks that may cause our actual results to vary from these forward-looking statements.  Scott Boatwright: Good afternoon, and thank you for joining us.  My remarks will cover a broader view into my vision for Chipotle Mexican Grill, Inc., and my deep confidence in our growth strategy, as well as opportunities we have to sharpen our competitiveness by harnessing the core values of our brand.",https://finnhub.io/api/news?id=8af0568fe28c40bfcab27caa9f6b895737e332993f3395bd17255a21361b7fbe
company,1770160341,Chipotle unveils plan to ‘accelerate growth’ after another negative quarter,138348309,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"The chain reported negative same-store sales of 2.5% in Q4, while its traffic fell a fourth straight quarter",https://finnhub.io/api/news?id=e219ba395ece5b4f9370268a940c69b87c86be2a451fe78cee346543c5fc01c1
company,1770158820,"Markets Rotate Back Out of Tech, Q4 Earnings After the Close",138349170,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Trading sagged mid-day, but only after the Dow hit a new intra-day high.",https://finnhub.io/api/news?id=ecaa913f02157c8e0c532b94f9094556477e655f31e16692ef79ed44dc3c4118
company,1770157202,Chipotle Mexican Grill (CMG) Q4 Earnings and Revenues Top Estimates,138348310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Chipotle (CMG) delivered earnings and revenue surprises of +4.65% and +0.60%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=1a26ebca61061712244db1d8d0bcd744fab79a5e335ae9ede2a9676c7c78fef9
company,1770156679,Chipotle Mexican Grill falls after flat comparable sales forecast,138348311,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Investing.com -- Chipotle Mexican Grill Inc (NYSE:CMG) beat quarterly profit and revenue estimates but forecast flat comparable sales for 2026, undershooting Wall Street expectations and sending its shares 8% lower after hours.",https://finnhub.io/api/news?id=97d83403d68cfb334acb6ff88730cd020be702d38153c49162ab9eb47f3ef7d0
company,1770156177,Chipotle earnings: Why 2026 will be a 'very promotional' year,138348312,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,"Chipotle (CMG) reported fourth quarter earnings results that narrowly beat analyst estimates. Chipotle projects 2026 comparable sales at 0%, falling short of Wall Street's estimate of 1.84%. Mizuho managing director and senior equity research analyst Nick Setyan joins Market Domination Overtime host Josh Lipton to discuss the earnings print. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime.",https://finnhub.io/api/news?id=844528a9eee81a7474dd97584f7ab9419cd17a9d07f7b05c63c3cc10bff097d0
company,1770155427,"Earnings live: AMD, Chipotle stocks fall, Mondelez profits hit by high cocoa prices",138347086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CMG,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=ef5915fad138031154aa36aedd3c9d5f27a5d351262dd3d0463c0bb6742297fd
