category,datetime,headline,id,image,related,source,summary,url
company,1770154211,PepsiCo CEO reveals how he is tackling weight-loss drugs and consumer affordability challenges,138347130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,PepsiCo CEO Ramon Laguarta weighs on key stock-moving ingredients.,https://finnhub.io/api/news?id=a92aa033d996f4a08cbbccd33592f6e981352850c09022c0dcc6110264808451
company,1770148860,Walmart Hits $1 Trillion Market Value. Why Analysts Are Removing It From Their Top-Pick Lists.,138347132,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,Goldman Sachs and Evercore ISI removed Walmart stock from their top stock pick lists this week. Valuation seems to be the sticking point.,https://finnhub.io/api/news?id=85eb9d7f6bc6481660358745594a5d69761cb698619929e1202663e51e44bb3c
company,1770146002,Is Costco Wholesale (COST) Pricing Reflect Lofty P/E After Strong Multi‑Year Share Gains,138345560,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"If you are wondering whether Costco Wholesale's current share price fairly reflects the business you see every time you walk through its warehouses, this piece walks you through what the numbers are actually saying about value. The stock recently closed at US$968.36, with a 13.3% return over the last 30 days, a 1% decline over the last 7 days, a 13.3% return year to date, a 3.1% decline over the last year, a 95.6% return over 3 years, and a 184.3% return over 5 years. Recent coverage has...",https://finnhub.io/api/news?id=f83ac320cdf013358e16a22ea5eaabe300bdd0fd2b4f1ffc7e45db27744797d2
company,1770143280,Walmart Hits $1 Trillion. Why Some Analysts Are Moving On.,138345551,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,Goldman Sachs and Evercore ISI removed Walmart stock from their top stock pick lists this week. Valuation seems to be the sticking point.,https://finnhub.io/api/news?id=1cbffef3d3e9e851bd1687c38cb68b00718004dc0b4245aa3ca446b4f1b4a3f0
company,1770132707,"Disney, Costco, Affirm: Top Analyst Calls",138342561,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"Yahoo Finance Senior Reporter Brooke DiPalma keeps track of several Wall Street analyst calls on top trending stocks, including calls around shares of Disney (DIS), Costco Wholesale (COST), and Affirm (AFRM). To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=aa57c87dc7562e07b9f2e3bdf65956c9a0b6f1794edf9433db624746243aadb6
company,1770130740,Costco's Membership Model Continues to Deliver Predictable Growth,138344091,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"COST's membership fees jump 14% in Q1 FY26, with high renewals and executive upgrades driving predictable growth and resilient cash flow.",https://finnhub.io/api/news?id=3c9d2a7cb69d46172cc0ac4ff4fed81580f8cf93776e47c0db2b61c3e2562527
company,1770130357,"Walmart Joins $1 Trillion Club as Tech, Frugal Shoppers Fuel Gains",138342459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"The stock rose as much as 1.6% as of 9:45 a.m. in New York trading, reaching an intraday record of $126 per share and lifting its market value to just over $1 trillion, according to data compiled by Bloomberg.  The Bentonville, Arkansas-based chain — a longtime favorite of bargain-hunting consumers — has flexed its massive scale and supplier network to keep prices low and grab market share across the income spectrum.  While Walmart has maintained its appeal to households looking for value, its online offerings are drawing new, wealthier shoppers seeking convenience.",https://finnhub.io/api/news?id=51d001dbb7e512b872e21d793169d9c6513bbdca5b84f39d621e34d7962052f9
company,1770127204,How to Find Strong Retail-Wholesale Stocks Slated for Positive Earnings Surprises,138342563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,https://finnhub.io/api/news?id=6fbb1af2191e51663636f7874d75a3c9bc7cb3d860d039dff6a64356129300d0
company,1770126061,Nine Out of Ten Costco Members Renew: Inside the Metric That Powers a $14B Profit Engine,138342489,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"Costco Wholesale Corp (NASDAQ:COST) just reported something remarkable: a 92.3% renewal rate in the US and Canada, with 89.8% worldwide. That’s not just a metric. It’s the entire business model distilled into two numbers. Most retailers live and die by comparable sales or margin expansion. Costco’s stickiness lives in membership renewal. When nine out of ... Nine Out of Ten Costco Members Renew: Inside the Metric That Powers a $14B Profit Engine",https://finnhub.io/api/news?id=f0ab6e7c63b2b832e095c0a5bea924c8e4aea02f18dacbc8546889314627429e
company,1770095271,Costco Lawsuit Tests Kirkland Trust On No Preservatives Chicken Claim,138339007,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"Costco Wholesale (NasdaqGS:COST) is facing a nationwide class action lawsuit over claims that its Kirkland Signature Rotisserie Chicken is advertised as having ""No Preservatives"" despite allegedly containing additives that act as preservatives. The lawsuit centers on alleged misleading labeling and advertising practices that plaintiffs argue could misinform consumers who are seeking clean-label or preservative free products. The case raises questions about Costco’s consumer transparency,...",https://finnhub.io/api/news?id=74cce67344054c6b5e28597c47c51e4de26595b04dd24d74ee7ff236d7e005a7
company,1770082620,Costco has a gift card problem as key partner goes bankrupt,138337967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"While gift cards seem like an easy gift, and buying discounted gift cards at Costco adds value, they only make sense if people actually use them. My gift card pile at home has at least a couple from restaurants and retailers that no longer operate. That's actually pretty typical, and it happens ...",https://finnhub.io/api/news?id=d164c13c573e16e9125450646a26013a773e40fe0126c3703a269d176e0deb6e
