category,datetime,headline,id,image,related,source,summary,url
company,1770158653,"Stock Market Today, Feb. 3: Nasdaq Tumbles 1.4% as AI Fears Grow",138348101,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Today, Feb. 3, 2026, Walmart’s $1 trillion milestone stands out as rising bond yields and tech weakness drag major U.S. indexes lower.",https://finnhub.io/api/news?id=86c71053d3318bd791221663935b35346fc5e66ea3ef88d4f0136ac965345da9
company,1770158640,Threat of New AI Tools Wipes $300 Billion Off Software and Data Stocks,138348226,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"From Legalzoom.com and Expedia to Ares and Apollo, shares of companies that sell or invest in software fell sharply on Tuesday.",https://finnhub.io/api/news?id=c9833768afe4b9fc96f23f290fc2cd1e42606211764303342b8b18e6bd56a739
company,1770156885,Heard on the Street Recap: Code Red,138348169,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Anthropic's launch of new AI productivity tools spooked investors. The worries hit a wide swath of software and data service companies. Among the worst-hit companies on the Nasdaq were Thomson Reuters and Intuit, which shed 16% and 11%, respectively.",https://finnhub.io/api/news?id=14dc9ed7a62c64324e333885987e7294187698a7c8024e302bdb95338eabed5e
company,1770156780,Software Stocks Have Gotten Crushed. This Chart Says It’s Not Time to Buy Yet.,138348120,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"“Old tech” software names like  Adobe  and  Intuit  are both off more than 40% from their annual peaks.  The weakness is especially glaring on the IGV ETF’s ratio chart versus the  While IGV trades 28% below its most recent 52-week high, the semiconductor ETF is down just 5% from its own annual peak.",https://finnhub.io/api/news?id=e042edc612d116fc3e4433492cd882ae909480a49d18199d72c11e18124497cb
company,1770156266,"Nasdaq, S&P 500 Log Worst Day in 2 Weeks Amid Tech Sell-Off",138348105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,The Nasdaq Composite and the S&P 500 fell the most in two weeks on Tuesday as investors dumped techn,https://finnhub.io/api/news?id=aa9659769647f2e1bbbc0971e85009425246b293424d3accbc908822cbaaea70
company,1770155683,"US Equity Indexes Slump Amid Sell-Off in Technology, Communication Services",138347331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"US equity indexes dropped on Tuesday as investors reduced exposure to sectors such as technology, wh",https://finnhub.io/api/news?id=0279e239831cbc750c57b113f4d419f6d79e15f3e7decf413c017b65691cca2b
company,1770151823,Technology Sell-Off Pushes US Equity Indexes Lower,138347066,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"US equity indexes fell ahead of Tuesday's close amid a sell-off in technology, communication service",https://finnhub.io/api/news?id=7081be32ffc0c1fb6dd7cc2c8571e97e71fa0125b92ae05bee406418c79e8fca
company,1770151560,"AI Disruption Fears Roil Software Industry, and the Stock Market",138347211,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"From Legalzoom.com and Expedia to Ares and Apollo, shares of companies that sell or invest in software fell sharply on Tuesday.",https://finnhub.io/api/news?id=34a1c0a057d176062a4fd1bc0245cfd2107fd67716e47cb3161d99d886ab1ad7
company,1770149733,Stocks and bitcoin sink as investors dump software company shares,138353848,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,Stocks broadly sank on Tuesday as investors moved to dump shares of software companies amid fears that artificial intelligence tools could eat into those companies' businesses,https://finnhub.io/api/news?id=22af2a30976130bfb45447dc7cda91dbeef2adf4f5db428248f30cb9241fd7b5
company,1770148278,"Zeta Global, The Trade Desk, Wix, Salesforce, and Workday Shares Plummet, What You Need To Know",138345903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"A number of stocks fell in the afternoon session after fears of disruption from artificial intelligence spooked investors, leading to a broad-based sell-off.",https://finnhub.io/api/news?id=f98245e5c953ebafe5da9784f7820fe2b3ce5391039395698015e80520283dbd
company,1770143040,8 Software Stocks to Buy That Are Actually Profitable—and Cheap,138345481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,Worries about how artificial intelligence could affect the sector are making good companies with real earnings look profitable.,https://finnhub.io/api/news?id=c10b83b632fe1240106a3a967003f8cf82f3f47835e221ddafb37d4aafde2b7e
company,1770145769,"Software stocks take hit, Capri sinks on expected tariff impacts",138345637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Yahoo Finance Host Josh Lipton tracks today's top moving stocks and biggest market stories in this Market Minute, including the hit that software stocks are taking and Capri Holdings shares (CPRI) sinking despite topping fiscal third quarter earnings estimates. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=ff11bf07b7a5b61452c81c2c6c6151e55669b9bdf6915165536555ca7813c271
company,1770145248,Equities Fall Intraday as Tech Sector Slumps; Precious Metals Jump,138345459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"US benchmark equity indexes were lower intraday amid a plunge in the technology sector, while gold a",https://finnhub.io/api/news?id=c6685615e2b372c49bfe05001c6d3e1168d6a3415cbcc9529d98bf51ebe45bd2
company,1770144813,US Equity Indexes Slump as Investors Rotate Out of Technology,138345460,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,US equity indexes fell in midday trading on Tuesday as a sell-off in technology coincided with a mov,https://finnhub.io/api/news?id=05428ad41b6ca3f1b25d72861f19704ed2d976671f1a97cfa5ae19ab4a884afb
company,1770142492,"Stock Market Today, Feb. 3: Software stocks landslide after PayPal's poor earnings; Nasdaq falls 1%",138345522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here. Happy Tuesday. This is TheStreet’s Stock Market Today for Feb. 3, 2026. You can follow the latest updates on the market ...",https://finnhub.io/api/news?id=bcaf7b7c74f050e6f3aeed94d773ad561aa3feb85a712eff247db159c2c9fd0c
company,1770141230,"Bitcoin nears weekend low of $74,600 as stock selloff adds to crypto's woes",138345916,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Major declines in artificial-intelligence-linked stocks, software names and private equity are leading U.S. indices lower.",https://finnhub.io/api/news?id=12f482a67650bcc88172664629badbe2b8c9f3f00cd2221a0f2285aa5d8970bd
company,1770139809,"Dow Hits Record, Nasdaq Sinks as Tech Stocks Retreat",138343975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Nvidia and Microsoft Slide, Palantir Surges on Strong Q4 Earnings",https://finnhub.io/api/news?id=e1257a96afb9f3730646328307c04196b8e3a239da223c32cdd1ed7d5d6505dc
company,1770132967,Software debt selloff may give private credit an edge – Wells Fargo,138342472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"A selloff in software-related liquid loans last Friday has pressured business development companies, but may play to the advantage of opportunistic private credit lenders, according to a Wells Fargo research note. “More problem credits were always inevitable in software as the investment category developed,” Wells Fargo analysts Finian O’Shea and Jordan Wathen wrote in a Feb. 2 industry update note. Following a slump in stock prices for many large software companies late last week, including Mic",https://finnhub.io/api/news?id=a01302c12247e37789113ee5a841ae94b5d8b4ffeeea4082504eb663b5f9fde9
company,1770129305,"After Plunging 17.7% in 4 Weeks, Here's Why the Trend Might Reverse for Salesforce.com (CRM)",138344166,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Salesforce.com (CRM) is technically in oversold territory now, so the heavy selling pressure might have exhausted. This along with strong agreement among Wall Street analysts in raising earnings estimates could lead to a trend reversal for the stock.",https://finnhub.io/api/news?id=cc8d01c2c5413b7a8980ca63cd2f6594aa13a6e4b95c49ab58c8dd94f8a36e36
company,1770127500,Is the Dow Flashing a Warning Sign For Investors?,138342477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"It hasn’t been the best start to the year for the Dow Jones Industrial Average, which finds itself on a three-week losing streak to cap off January. Undoubtedly, the Dow, a basket of 30 stocks, isn’t exactly the best gauge of the market, but it is worth keeping tabs on whenever its performance deviates from ... Is the Dow Flashing a Warning Sign For Investors?",https://finnhub.io/api/news?id=4eae431214f96fb94f445d177062f062c2c96eb84d9b78afc369ba371ede9014
company,1770119820,Palantir Is a Rare AI Software Success. Markets Need More of Them.,138341536,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Elon Musk combines SpaceX and xAI, strategic mineral stockpile aims to cut China reliance, Oracle tests investors’ AI appetite, and more news to start your day.",https://finnhub.io/api/news?id=b931ca1a1d2bc98790f32c86dd6a30f233a74b447c74f468eb0bd00751becc21
company,1770119738,"Salesforce (CRM) Wins $5.6 Billion Army Deal, Citizens Stays Positive",138341677,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Salesforce, Inc. (NYSE:CRM) is one of the 10 Best AI Software Stocks to Buy Right Now. On January 27, Citizens reiterated its Market Outperform rating on Salesforce, Inc. (NYSE:CRM) with a price target of $405. The firm noted that the company’s Agentforce business surpassed $500 million in annual recurring revenue during the company’s fiscal third […]",https://finnhub.io/api/news?id=4d2401d16f6ad298d500faf33adbaaef3343361dbce877176a672a197819b76c
company,1770109141,Jim Cramer's top 10 things to watch in the stock market Tuesday,138343528,https://image.cnbcfm.com/api/v1/image/108215556-1761161061507-gettyimages-617288676-93063630.jpeg?v=1770122193&w=1920&h=1080,CRM,CNBC,"The S&P 500 was headed for a higher open this morning, boosted by massive post-earnings gains in Palantir stock.",https://finnhub.io/api/news?id=8f87d3346d6212efa2ff962734215cbcd0f91f3456cedbcd2602aea99acb9e8e
company,1770106127,Are Wall Street Analysts Bullish on Salesforce Stock?,138340772,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Despite recent underperformance, Salesforce’s strengthening fundamentals and accelerating AI momentum have analysts turning more optimistic.",https://finnhub.io/api/news?id=54b3d8df47dc0c81436a148e3eef52a9a861626e626cc39eadd290364d614e58
company,1770104153,Salesforce: AI Adoption Is Surging -- The Revenue Lag Is The Opportunity,138341131,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2160864158/image_2160864158.jpg?io=getty-c-w1536,CRM,SeekingAlpha,"Salesforce (CRM) is undervalued, with a BUY rating justified by strong AI-driven growth catalysts and holistic solutions.",https://finnhub.io/api/news?id=45bafc34e1fb1ff0ad6447301a4b14760692e2cd05fda9e9e42d0e3c36394de2
company,1770095286,Salesforce’s Army Cloud Deal And Wildfire Venture Versus Recent Stock Weakness,138339021,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Salesforce (NYSE:CRM) has secured a $5.6b, 10 year contract with the U.S. Army to modernize operations using cloud and AI via its subsidiary Computable Insights LLC. The company is also launching EMBERPOINT LLC with Lockheed Martin, PG&E Corporation, and Wells Fargo to apply AI and data tools to wildfire detection, prevention, and emergency response. These moves extend Salesforce's reach into public sector modernization and emergency management alongside its core enterprise software...",https://finnhub.io/api/news?id=cc2d3efc4942659f99793f84d8dc8b7b46bc77026755ba85c8311fdd2cc2d150
company,1770079619,Veeva Systems Inc. (VEEV): A Bull Case Theory,138338000,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"We came across a bullish thesis on Veeva Systems Inc. on LongTermValue Research’s Substack. In this article, we will summarize the bulls’ thesis on VEEV. Veeva Systems Inc.’s share was trading at $203.92 as of January 30th. VEEV’s trailing and forward P/E were 40.93 and 24.33 respectively according to Yahoo Finance. Veeva Systems (VEEV) is a leading vertical […]",https://finnhub.io/api/news?id=a908391cb0d014bd1289c29aa15565e5eac8695198a03d720889873ab4d730fb
