category,datetime,headline,id,image,related,source,summary,url
company,1770157881,Amazon's AWS CEO says orbital data centers 'pretty far' from reality,138348130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"SAN FRANCISCO, Feb 3 (Reuters) - Amazon's top cloud computing executive said space-based data ​centers are ""pretty far"" from being a reality, even ‌as a number of startups and the company's own founder, Jeff ‌Bezos, have pursued the idea. The explosive growth of artificial intelligence requires vast amounts of computing power and cooling, straining the capacity of land-based data centers.",https://finnhub.io/api/news?id=3b1d3d5ab44e4c55ffbd42c81103b0ca0c299dc13f5c340f1bd4c0a3197ce592
company,1770153300,AMD Reports Fourth Quarter and Full Year 2025 Financial Results,138347142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"SANTA CLARA, Calif., Feb. 03, 2026 (GLOBE NEWSWIRE) -- AMD (NASDAQ:AMD) today announced financial results for the fourth quarter and full year of 2025. Fourth quarter revenue was a record $10.3 billion, gross margin was 54%, operating income was $1.8 billion, net income was $1.5 billion and diluted earnings per share was $0.92. On a non-GAAP(*) basis, gross margin was 57%, operating income was a record $2.9 billion, net income was a record $2.5 billion and diluted earnings per share was a record",https://finnhub.io/api/news?id=1831a0bc465dc93e698d25eb4fcf7d39916f1718e3b6364938914d36bb03ae42
company,1770144127,Fire Up Cisco's Already Attractive Yield With This Covered Call Strategy,138345594,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,Cisco stock is appealing to value- and income-focused investors. A covered call trade can sharply increase its yield.,https://finnhub.io/api/news?id=ea86939285ef5efd7ea992712b34399a3d8a9442937202e9a5bbc9a7f36e70d4
company,1770140280,AudioCodes Q4 Earnings Call Highlights,138344117,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"AudioCodes (NASDAQ:AUDC) reported modest revenue growth in the fourth quarter and full year 2025, while management emphasized an ongoing transition toward an “AI-driven hybrid cloud software and services company.” On the company’s earnings call, executives pointed to continued strength in connectivi",https://finnhub.io/api/news?id=d45bc93435b07814ec8f566c46756b787188724911f85854be48d9275dbb8dd9
company,1770136229,"Cisco Systems, Inc. (CSCO) Presents at Second Annual AI Summit Prepared Remarks Transcript",138346885,,CSCO,SeekingAlpha,,https://finnhub.io/api/news?id=e7db2857828443779b97707345c17939d80d787798b7197b34cfbcf61da102fc
company,1770136080,"The Zacks Analyst Blog Highlights AMD, NVIDIA, IBM, Oracle and Cisco Systems",138345467,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"AMD takes center stage in Zacks' Analyst Blog as its AI momentum, new customers and pricing edge fuel faster growth than NVIDIA.",https://finnhub.io/api/news?id=c21b5ed8b341dc15f9e21f92321dcdb16cacc84bc699b8f26adaf6595cec9d8f
company,1770129004,Cisco (CSCO) Is Considered a Good Investment by Brokers: Is That True?,138344118,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Based on the average brokerage recommendation (ABR), Cisco (CSCO) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",https://finnhub.io/api/news?id=ed0693639bc3217fddc0cc3e2e34ead8c0d4a6f444bc2144a26d70ec58ccaf6e
company,1770128340,ETFs to Watch as IBM Shares Jump Following Q4 Earnings Beat,138344119,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"IBM shares jump after a Q4 earnings beat and upbeat outlook, prompting ETF investors to eye funds with heavy exposure to the tech giant.",https://finnhub.io/api/news?id=2f6aed152100dc2288a908c51158aa3479809723b05ee3bdfb16cfeb8e2893f5
company,1770119522,Cisco president breaks down factors that could hold AI back,138343640,https://image.cnbcfm.com/api/v1/image/108260794-17701364441770136442-43831000988-1080pnbcnews.jpg?v=1770136444&w=1920&h=1080,CSCO,CNBC,"Chuck Robbins, CEO and chairman of Cisco, and Jeetu Patel, president and CPO of Cisco, sit down with CNBC’s Jon Fortt to discuss the company’s AI summit, agentic artificial intelligence, and more.",https://finnhub.io/api/news?id=19820935d0367aa5b6119a20f42427bf02ff62de580b3cb91f3b1b47be49558a
company,1770111267,Where is Cisco Systems (CSCO) Headed According to Analysts?,138340047,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Cisco Systems, Inc. (NASDAQ:CSCO) is one of the best long term low volatility stocks to invest in. Cisco Systems, Inc. (NASDAQ:CSCO) received a rating update from Evercore ISI on January 26, which upgraded the stock to Outperform from In Line and raised the price target to $100 from $80. The firm stated that while investors […]",https://finnhub.io/api/news?id=542dd4b0bdfcc56325987b6ccdab0968e811485d602a1ca4125bc005bfbe413a
company,1770093218,2 Growth Stocks with All-Star Potential and 1 Facing Headwinds,138340046,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Growth is oxygen. But when it evaporates, the consequences can be severe - ask anyone who bought Cisco in the Dot-Com Bubble or newer investors who lived through the 2020 to 2022 COVID cycle.",https://finnhub.io/api/news?id=7ee15f9ff6bed850ce8b85cb6a372cb28c9487490ed1a326de2e52683b622f29
company,1770078720,"Cisco Systems, Inc. (CSCO): A Bull Case Theory",138337981,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"We came across a bullish thesis on Cisco Systems, Inc. on r/Valueinvesting by MarketFlux. In this article, we will summarize the bulls’ thesis on CSCO. Cisco Systems, Inc.’s share was trading at $78.32 as of January 30th. CSCO’s trailing and forward P/E were 26.79 and 16.81 respectively according to Yahoo Finance. Cisco Systems, Inc. designs, develops, and sells […]",https://finnhub.io/api/news?id=6c8651d61fb55a111a25934e5ed2e66b39415626443ed81ec3d706d5917b8977
