category,datetime,headline,id,image,related,source,summary,url
company,1770159600,$60 Oil Forces Europe’s Energy Giants to Rethink Buybacks,138348998,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"Lower oil prices are squeezing Big Oil earnings, with crude around $60 per barrel undermining the sustainability of shareholder returns.",https://finnhub.io/api/news?id=fe0856c54fc05c637885fb566447b943952cf59c5a166258d28043a57beb8b99
company,1770155401,"Chevron, Equatorial Guinea Sign Aseng Deal to Boost State Gas Participation",138348196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"Equatorial Guinea has signed a Heads of Agreement with Chevron to finance a major expansion of state participation in the Aseng Gas Project, marking a strategic step in the country’s broader gas monetization strategy.",https://finnhub.io/api/news?id=873e42684f119ae98d67b297961e61c135ffad9551fda3f2632eb2237438c49e
company,1770139289,US refiners struggle to absorb sudden surge in Venezuelan oil imports,138344115,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"HOUSTON/NEW YORK, Feb 3 (Reuters) - Oil refiners on the U. Gulf Coast are struggling to absorb a rapid surge in Venezuelan crude shipments since last month's flagship $2 billion supply deal between Caracas and Washington, pressuring prices and leaving some volumes unsold, according to traders and shipping data.",https://finnhub.io/api/news?id=3d17d01ed84c6e2045dbe3933a6d3d51e5bfe6a31d91742bef30912dda2e8d12
company,1770128940,"Devon, Coterra Merger Redraws the 2026 U.S. Shale Playbook",138344077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"DVN's deal for CTRA signals a new phase of U.S. shale consolidation, building a $58B Delaware-focused producer with scale-driven savings and cash discipline.",https://finnhub.io/api/news?id=ca80c80b4eb1bf2927f5af5c03866a3ddb4615b5a82a90a15e2eed7b01ab0c53
company,1770126694,"Chevron, Equatorial Guinea boost GEPetrol stake in Aseng gas project",138342594,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,The HoA aims to bolster upstream and downstream projects within the Extended Gas Mega Hub by securing Aseng gas volumes.,https://finnhub.io/api/news?id=e6c1e35d27a8ded2095b64a0ceead6778e5721646753a206599bc1664e78d27b
company,1770125100,Is Chevron the Smartest Dividend Investment You Can Make in 2026?,138341639,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,High-yield Chevron is built to be reliable in an industry known for volatility.,https://finnhub.io/api/news?id=69ce8fba6ece566d3cb50d14cf1e0086e25ada51044e72cc636cb354844d58a4
company,1770120611,Hess Midstream Capital Light Shift Puts Cash Returns In Focus,138341640,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"Hess Midstream (NYSE:HESM) has entered a capital light phase after completing several major multiyear infrastructure projects. The company is shifting focus toward higher shareholder returns and faster debt repayment supported by lower capital spending. Chevron now holds an indirect ownership interest in Hess Midstream following its merger with Hess Corporation. Hess Midstream, a midstream energy company that owns and operates oil and gas infrastructure, is moving from heavy buildout to...",https://finnhub.io/api/news?id=09cd67936f09acac47f66cae99f7834efb884a1903eaf0ccaa18908646a22baf
company,1770118698,Energy Transition Update - CIP Expands with Ørsted's European Onshore Business Acquisition,138340726,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"Copenhagen Infrastructure Partners (CIP), through its flagship fund, Copenhagen Infrastructure V (CI V), has agreed to acquire Ørsted’s European onshore business, marking a significant expansion in the renewable energy sector. This acquisition, which includes over 800 MW in operation and under construction, along with a multi‑gigawatt development pipeline in Ireland, the UK, Germany, and Spain, adds to CIP’s diverse portfolio, enhancing its capability to expedite renewable energy projects...",https://finnhub.io/api/news?id=bd45e5021070938e56da814722f162e96dd009a05b93e4151b10be8c0b87f7de
company,1770111257,Chevron Corporation (CVX) Reports Fiscal Q4 2025 Earnings,138340045,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CVX,Yahoo,"Chevron Corporation (NYSE:CVX) is one of the best long term low volatility stocks to invest in. Chevron Corporation (NYSE:CVX) announced its fiscal Q4 2025 earnings on January 30, with reported earnings of $2.8 billion and adjusted earnings of $3.0 billion. Cash flow from operations for the quarter reached $10.8 billion, while adjusted free cash flow […]",https://finnhub.io/api/news?id=5ad29146d043c76cc0b77ce15d2aef312d712c93a790f934d44cbe83e6c280fe
company,1770110393,The Only Investing Strategy I'd Trust With My Entire Financial Future,138342158,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147909462/image_1147909462.jpg?io=getty-c-w1536,CVX,SeekingAlpha,"Discover a third path in todayâs expensive, risky market.",https://finnhub.io/api/news?id=39cd7068879e21573bda950a583622fda7466f108d665ddbb6117691f1791159
