category,datetime,headline,id,image,related,source,summary,url
company,1770159781,"Stocks to Watch Tuesday Recap: PayPal, PepsiCo, AMD, Disney",138348174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"↘️ Pfizer (PFE): The drugmaker reported lower quarterly sales and swung to a loss, as demand for its Covid-19 vaccine and antiviral drug continued to decline. Shares fell 3.3%. ↘️ NXP Semiconductors (NXPI): The Dutch chip maker reported higher quarterly sales and guided for further revenue growth, as management sees rising demand.",https://finnhub.io/api/news?id=09dd4eda51b4ab852c2a3785493d6a1d83c5c96a459c148549afaf333ea57587
company,1770158943,Tracking AMG's Yacktman Asset Management Portfolio - Q4 2025 Update,138349690,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,DIS,SeekingAlpha,"Yacktman Asset Managementâs Q4 2025 13F: top holdings, key trims (CNQ, CTSH, STT, WBD) and new EWY stakeâsee portfolio moves now.",https://finnhub.io/api/news?id=c3d00a94f9edf09480d54dde61e8e7b9660082ba5f1582705b7fa28bbfde7fd2
company,1770157800,Bob Iger’s Second Time as CEO Wasn’t Great for the Stock. He Still Leaves Behind A Strong Legacy.,138349124,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,Bob Iger is leaving  Walt Disney  again after making multiple major changes to the business during two different—and not always smooth—stints as CEO.  Disney said on Tuesday that current Experiences Chairman Josh D’Amaro would be taking over as chief executive after the company’s annual meeting on March 18.  Iger first became CEO of Disney in 2005 and left in 2020.,https://finnhub.io/api/news?id=a56dbf4844bac2ed104cee9a9afafce16a5bef86e065074fbf61c45a81a6cc2e
company,1770157044,"New Disney CEO Josh D’Amaro stands to make $45 million, but he’ll also get something priceless—a ‘clean break’ with Bob Iger",138349134,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,Disney’s new CEO is getting something that could be a major factor in his success: clarity about who’s in charge.,https://finnhub.io/api/news?id=d886de834de0730954f918853860476d641d476f314935b0124f47b041d5f92c
company,1770155925,Why FuboTV Stock Crashed Today,138348232,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,A reverse stock split has investors heading for the exits.,https://finnhub.io/api/news?id=06f55f5540391d9d32a36bfcc0b3f5059e85b01e278bfdcba055622753c0f8b0
company,1770155427,"Earnings live: AMD, Chipotle stocks fall, Mondelez profits hit by high cocoa prices",138347086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=ef5915fad138031154aa36aedd3c9d5f27a5d351262dd3d0463c0bb6742297fd
company,1770151411,Sector Update: Consumer Stocks Mixed Late Afternoon,138347204,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"Consumer stocks were mixed late Tuesday afternoon, with the State Street Consumer Staples Select Sec",https://finnhub.io/api/news?id=58faddf88a3822497d64f09ff62513796fb1821d0d323b4737e0a84b1abefd03
company,1770150488,"Disney's new CEO has a mandate: Global growth, more magic, less drama",138348233,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,"For the past several years, Josh D’Amaro has been running the engine of Disney’s business, its theme parks. Now he must grapple with a changing media universe.",https://finnhub.io/api/news?id=adfb1694f1de38b95950ebc2df4178ee3526c5fafff4dd60c4fa929d0d8b72d1
company,1770146669,"Stock market today: Dow, Nasdaq, S&P 500 sink as tech falters amid flood of earnings",138345457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,Stocks are leaning higher following a strong start to February trade.,https://finnhub.io/api/news?id=17ac8e4ee9280d36440b1ab79d9a814eb658cd852c1518fa96b1b48e9bc56159
company,1770144533,Disney CEO Bob Iger to Retire. Parks Chief Josh D'Amaro Will Head the House of Mouse. Here's What Investors Need to Know,138345642,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DIS,Yahoo,Iger is stepping down after 21 years at the helm.,https://finnhub.io/api/news?id=654a27b1828f53d2cb28ff71a1115b1dfdfbd3c020278d327c9f2f065ff8c5ef
