category,datetime,headline,id,image,related,source,summary,url
company,1770159781,"Stocks to Watch Tuesday Recap: PayPal, PepsiCo, AMD, Disney",138348174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"↘️ Pfizer (PFE): The drugmaker reported lower quarterly sales and swung to a loss, as demand for its Covid-19 vaccine and antiviral drug continued to decline. Shares fell 3.3%. ↘️ NXP Semiconductors (NXPI): The Dutch chip maker reported higher quarterly sales and guided for further revenue growth, as management sees rising demand.",https://finnhub.io/api/news?id=09dd4eda51b4ab852c2a3785493d6a1d83c5c96a459c148549afaf333ea57587
company,1770155098,US Equity Markets Lower Amid Technology-Led Selloff,138347332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,US equity indexes ended lower Tuesday in a selloff led by a steep decline in technology stocks and t,https://finnhub.io/api/news?id=f060d6cd2e86b90655c25862d28973c933e43170d717896f0dd27b0451418dce
company,1770140280,What Sent DaVita Stock Soaring On Tuesday?,138344526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,The market now seems to realize it may have misjudged this company's future.,https://finnhub.io/api/news?id=2090586232bc983ae588ae3192237ec650d2511d98d4413fda7cbc4cc3158c57
company,1770137148,Why Is DaVita (DVA) Stock Rocketing Higher Today,138344527,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,Shares of dialysis provider DaVita Inc. (NYSE:DVA) jumped 25.3% in the morning session after the company reported fourth-quarter results that topped Wall Street's expectations and issued a robust earnings forecast for 2026.,https://finnhub.io/api/news?id=40cb062a59f46a2b2905be17f971964129184dc8b85aff3fd96e1e516591dcd3
company,1770135360,This Berkshire Hathaway Holding Is Up 25%. Earnings Breeze Past Estimates.,138344528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,DaVita posts adjusted beats earnings expectations and posts 9.9% revenue growth in the third quarter.,https://finnhub.io/api/news?id=a3c42435c09d77759bd5fc640440d1a57648d7bdb790066a291d127a504797d5
company,1770132180,"DaVita Stock Up Following Q4 Earnings & Revenue Beat, Margins Expand",138344238,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,DVA reports a fourth-quarter 2025 earnings and revenue beat as margins expanded and full-year adjusted EPS rose by double digits.,https://finnhub.io/api/news?id=fd314cfce2f8c69fba1dfa4ff2b42c621991ffdfaf5100a29150e21a34139709
company,1770130761,"Nasdaq Slips, Gold and Silver Stage Substantial Recovery",138344520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.58%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.07%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -1.24%. Stock indexes are mixed today, with the Nasdaq down significantly despite robust earnings from...",https://finnhub.io/api/news?id=0ea280718da7133595c43d25274b19d21c3253bdee76690eb9083d8046cea3bb
company,1770107948,"Stocks to Watch Tuesday: Palantir, Teradyne, AMD",138340028,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"↗️ Palantir (PLTR): The data company reported higher-than-expected earnings, as strong demand for its AI technology fueled another quarter of record revenue. Palantir stock jumped 5% in offhours trading.",https://finnhub.io/api/news?id=bbb73c04ae117f7d0e8bac7e16b4b5afa0cb17be2bc8db6eb2f78e47c9014699
company,1770125023,DaVita (DVA) Q4 2025 Earnings Call Transcript,138341965,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"Javier Rodriguez: Thank you, Nic.  Today, I'll review our fourth quarter results, share insights on our clinical strategy and wrap up with guidance for 2026.  This quarter, I want to spotlight the clinical results achieved in our Integrated Kidney Care or IKC programs.",https://finnhub.io/api/news?id=d87f52e0c179b7c286e115534877b44dc5a5d37a50c51560c54f41b8b9470a36
company,1770124253,DVA Q4 Deep Dive: Clinical Initiatives and Integrated Care Drive Outlook Amid Margin Compression,138345914,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DVA,Yahoo,"Dialysis provider DaVita Inc. (NYSE:DVA) reported Q4 CY2025 results exceeding the market’s revenue expectations, with sales up 9.9% year on year to $3.62 billion. Its non-GAAP profit of $3.40 per share was 6.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=54f9d59204ddcf42803f6143dc7dac884b1fb5502048d8045293afd5564414c1
