category,datetime,headline,id,image,related,source,summary,url
company,1770159674,Eaton Corp PLC (ETN) Q4 2025 Earnings Call Highlights: Record Margins and Strategic Investments ...,138348262,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,Eaton Corp PLC (ETN) reports robust earnings with a record segment margin of 24.9% and strategic investments driving future growth despite challenges in vehicle and e-mobility segments.,https://finnhub.io/api/news?id=58db2534a03c57c392bff4024ea6c2ad3c6f606c2c435a67f2aad8a7df493dc0
company,1770135145,Eaton (ETN) Is Up 8.2% After Mixed 2025 Results And Cautious 2026 Outlook With Flexnode Expansion,138344242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Eaton Corporation reported past fourth-quarter 2025 results with sales of US$7,055 million and net income of US$1.13 billion, with earnings per share rising versus a year earlier. While results aligned with market expectations, Eaton’s softer 2026 earnings outlook contrasted with its expanding data center collaboration with Flexnode, including modular AI-optimized infrastructure. Next, we will examine how Eaton’s cautious 2026 guidance alongside its Flexnode data center partnership shapes...",https://finnhub.io/api/news?id=029f82683f90299e74cb5efb7a282c7457500f5ba282220dce9619345382b2ae
company,1770134880,"Eaton's Q4 Earnings on Par With Estimates, Revenues Up Y/Y",138344243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"ETN posts Q4 EPS in line with estimates as revenues climb 13.1% year over year, with strong Electrical and Aerospace growth offsetting weaker Vehicle results.",https://finnhub.io/api/news?id=293a832798e0b0f22534538b32cb8ddc40d6b6c728b1d177cd1e62c64fe7b624
company,1770132660,Eaton Beats Wall Street’s Earnings Estimates. The Stock Is Down.,138342689,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,The maker of electrical equipment reported adjusted fourth-quarter earnings per share of $3.33 from sales of $7.1 billion. Wall Street was looking for EPS of $3.31 from sales of $7.1 billion.,https://finnhub.io/api/news?id=cd5725956c9640a1d97545cc4b4f94a2f84090bd742ee30e48a154e2ac7110df
company,1770129028,Eaton Corporation plc (ETN) Q4 2025 Earnings Call Transcript,138345319,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ETN,SeekingAlpha,"Eaton Corporation plc (ETN) Q4 2025 Earnings Call February 3, 2026 11:00 AM ESTCompany ParticipantsYan Jin - Senior Vice President of Investor...",https://finnhub.io/api/news?id=fd8fcf7b565b5a9685f8e3f534d665c0f4c41069488c922edfea720c89f7d6c4
company,1770129005,Here's What Key Metrics Tell Us About Eaton (ETN) Q4 Earnings,138344244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"The headline numbers for Eaton (ETN) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=20a15ac9367062adb6154089a0a1bc7ea11bba4f79c87007f1cdcb13c5cb6cc2
company,1770123607,"With 83% ownership in Eaton Corporation plc (NYSE:ETN), institutional investors have a lot riding on the business",138341751,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Key Insights Given the large stake in the stock by institutions, Eaton's stock price might be vulnerable to their...",https://finnhub.io/api/news?id=181952114001015541f52c269c6b26ae51250b2616fd9c8d4f093a94a747da6a
company,1770122401,Eaton (ETN) Q4 Earnings Meet Estimates,138342690,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,"Eaton (ETN) delivered earnings and revenue surprises of +0.12% and -0.71%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=350479725971c2b217c1f222ac1bb2e99d7a470e70ed21f2e2188670f5f790f9
company,1770120977,Stocks Mostly Rise Pre-Bell as Investors Await Latest Round of Corporate Earnings,138341612,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,US equity futures were mostly pointing higher on Tuesday as traders await a fresh batch of corporate,https://finnhub.io/api/news?id=a4b55d3dfcdc527e15b9028fa2e3c93b8426e666df2a78822f6203e6d77b68b3
company,1770120706,"Eaton shares tumble after soft 2026 outlook, in-line Q4 results",138341753,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ETN,Yahoo,Investing.com -- Shares in power management company Eaton fell more than 5% on Tuesday after the company reported in-line fourth-quarter results and issued a softer outlook for early 2026.,https://finnhub.io/api/news?id=023fed4b8a946fd318b06ba541e893c1a26f25e9bcf4a9aacdfb521ead37c813
