category,datetime,headline,id,image,related,source,summary,url
company,1770154200,"Xos launches 2026 Electric Class 6 Chassis, starting at just $99,000",138347296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Performance proven market leader delivers electric platform with more deployed vehicles, more real-world miles, and more blue-chip fleet customers in the US than any competitor.The Xos stripped chassis now starts at the most competitive price in the industry. LOS ANGELES, Feb. 03, 2026 (GLOBE NEWSWIRE) -- Xos, Inc. (NASDAQ: XOS) (""Xos"" or the ""Company""), a leader in electric commercial vehicles and mobile charging solutions, today unveiled the 2026 model year Xos Class 6 strip chassis at a start",https://finnhub.io/api/news?id=0e9d6e456cccd87b0f44d7019535d81c98c64be9393e5794321e495a4271d5e7
company,1770151742,Wells Fargo Upgrades FedEx (FDX),138346850,,FDX,Fintel,,https://finnhub.io/api/news?id=bd95f5b4dbd6cd5c5c59cdd450cc4814b0614a18e6d124152eaa212be98635da
company,1770142088,Analysts Expect This S&P 500 Leader To Deliver Good Outlook,138345725,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"FedEx shares extended their new year rally Tuesday after two analysts upgraded the delivery heavyweight ahead of its investor day.  Wells Fargo upgraded FedEx to buy from hold and made a big increase in the price target, to 380 from 295.  Wells Fargo expects FedEx to issue ""solid"" multiyear financial targets at the company's investor day Feb. 12, and the next fiscal year could be much better for profits.",https://finnhub.io/api/news?id=08ba1fdd7792e0b1d91570f213eab5233304345dd068adac7e5e7c3e00424f9b
company,1770134951,Veho to flex delivery speed for price-sensitive e-commerce sellers,138344297,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Veho is offering e-commerce shippers a way to reduce costs so they can offer free shipping if they are willing to accept day-range certainty instead of a day-definite delivery, in effort to differentiate themselves from other independent parcel carriers. The post Veho to flex delivery speed for price-sensitive e-commerce sellers appeared first on FreightWaves.",https://finnhub.io/api/news?id=dff9d64174eed127fe96f6ff982a0b22e5848756c8aaa64c117b32f3ff2c842c
company,1770133140,"Buy FedEx Stock Ahead of Its Analyst Day, Wells Fargo Says",138344310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,Analyst Christian Wetherbee raised his rating to Buy from Hold and took his price target to $380 a share from $295.,https://finnhub.io/api/news?id=c4da69e698241875472827327e572891eddf372502e4066a50335bf6354af9a1
company,1770129971,"Robert Kiyosaki Says When Walmart Has A Sale, Poor People Buy Everything. When The Market Crashes, They Sell. The Rich Do The Opposite",138342555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"“Rich Dad, Poor Dad” author Robert Kiyosaki has once again stirred up conversation with his frank take on why rich and poor people approach money so differently. “When Walmart has a SALE poor people rush in and buy, buy, buy,” Kiyosaki wrote in a recent post on X. “Yet when the Financial Asset Market has a sale…a.k.a.…..CRASH… the poor sell and run….while the rich rush in….and buy, buy, buy.” Crash Mindset Vs. Store Mindset Kiyosaki said he sees the current dip in gold, silver and Bitcoin as an",https://finnhub.io/api/news?id=6970f8ffdee8a45c7073ad4bcd478a3bb2c2c092e43158fc346294bbdbe07ded
company,1770129720,"Buy FedEx Stock Now, Ahead of the Analyst Day, Wells Fargo Says",138342812,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,Analyst Christian Wetherbee raised his rating to Buy from Hold and took his price target to $380 a share from $295.,https://finnhub.io/api/news?id=39f14989529a6620241be275e68f2bc18d22c63a2c9de495f339ea40d58e565d
company,1770126509,"’Stock has room to run’: Analysts upgrade FedEx ahead of investor day, shares up",138341811,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Investing.com -- FedEx Corporation shares drew fresh support from Wall Street this week as two brokerages upgraded the stock ahead of the company’s investor day next week, pointing to improving parcel fundamentals, margin recovery at Express and upside tied to the planned Freight spin.",https://finnhub.io/api/news?id=2ae53d72c14b8b0b90c27613537b742e0d614b38cc4b165ef5965fdd73dc5609
company,1770123630,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies, SoFi Technologies, and More",138342018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Pre-Market Stock Futures: Futures are trading higher after a strong bounce-back Monday, with all major indices ending the day higher, as we started February on a winning note. Investors were able to look past the crypto and precious metals meltdowns, geopolitical hot spots around the world, some big retail and institutional investors’ profit-taking, and a ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies,",https://finnhub.io/api/news?id=d28b06dc570fad9873c2ca6007e3ad166c701a25927932e58025d3f26bea4e3f
company,1770080481,"'It Is Not Ready For Prime Time Yet,' FedEx CEO Raj Subramaniam Says—Even As He Pushes 'Super Humanoid Robots' And AI For 17M Daily Deliveries",138338055,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDX,Yahoo,"Warehouse robots and artificial intelligence are moving fast through logistics, but one major delivery company is slowing down. FedEx (NYSE:FDX) is expanding its use of AI across a global network while taking a cautious approach to warehouse robotics and drones, CEO Raj Subramaniam recently told The New York Times. Subramaniam said shipping and logistics giant FedEx handles roughly $2 trillion in global commerce annually, calling the company ""the heartbeat of the industrial economy,"" with about",https://finnhub.io/api/news?id=37e2d91cbe0c8c8f78ff75e9f47a546783ca2301163f0d3242a842863b1a7134
