category,datetime,headline,id,image,related,source,summary,url
company,1770158704,"Robinhood Markets, Inc. (HOOD) Falls More Steeply Than Broader Market: What Investors Need to Know",138349154,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Robinhood Markets, Inc. (HOOD) concluded the recent trading session at $87.07, signifying a -3.16% move from its prior day's close.",https://finnhub.io/api/news?id=150d06b1e8a8a7af7cc717f0586bb5e945b7e4129100fa3773b13bb698ad4a7b
company,1770144327,Ondo unveils Ondo Perps for equity perpetual futures trading,138345472,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Ondo Finance, the popular real-world asset (RWA) tokenization platform, announced on Feb. 3 that it is soon launching Ondo Perps to allow users outside the United States to trade perpetual futures on leading U.S. stocks 24/7. Tokenization is the process of digitally representing the ...",https://finnhub.io/api/news?id=0cbdcc964ef061861cfdc3c8a73947313163f772d60361891640da840a63709d
company,1770144317,It’s Been a Bad Week for Crypto Stocks So Far,138345773,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"The price of bitcoin dropped again on Tuesday, and it’s taking these crypto stocks down with it. Shares of Coinbase and Robinhood each fell more than 4% in afternoon trading. Shares of Strategy, which function as a kind of leveraged bet on Bitcoin, are down close to 8%.",https://finnhub.io/api/news?id=c61502b3a85f72c4b5717218605b58e2fab790936f77d801d09e80a1f6b52cba
company,1770142110,"MetaMask Partners Ondo Finance to Integrate Tokenized US Stocks, ETFs, Commodities",138345465,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"MetaMask and Ondo Finance have announced an integration bringing tokenized US stocks, ETFs, and commodities directly into MetaMask wallet via Ondo Global Markets. The integration gives non-US MetaMask Wallet app users access to more than 200 tokenized US securities on the Ethereum mainnet including US stocks such as Apple, Amazon, ...",https://finnhub.io/api/news?id=aed06176c268c9b337cec45e82112c76c88f2d5de115d0428e28f3cb4b650c05
company,1770139500,Should You Buy Robinhood Before Feb. 10?,138344299,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,The online brokerage is still expanding at an impressive rate.,https://finnhub.io/api/news?id=5980f2c92fbb49cfb02fa4b1e55e52a7c613dd7b0bc5112c5812321cb6ad4e85
company,1770138418,Robinhood: I Expect A Negative Surprise With The Q4 Earnings Release,138347578,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/923056514/image_923056514.jpg?io=getty-c-w1536,HOOD,SeekingAlpha,"Robinhoodâs November report showed declines in funded accounts, stock trading volume, options, and crypto. Click here to find out why HOOD is a Sell.",https://finnhub.io/api/news?id=dd350027e03994ae1aaf9db765429a18c3dcd5d9ba765e5b0f8bf862745fcb4a
company,1770137919,White House Moves On Clarity Act; Cathie Wood Boosts Crypto Stance,138344300,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"White House hosts Clarity Act discussions with bank, crypto leaders. Cathie Wood, ARK load up on these crypto stocks.",https://finnhub.io/api/news?id=a6e80a223866bfc97699852ceace7234c081096c7fb1e00d5b1293d3eb4b6c97
company,1770136869,Cathie Wood Loads Up Millions in Alphabet and CoreWeave Stock,138344028,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,Robinhood Stock Slumps. Why Cathie Wood Is Buying the Dip,https://finnhub.io/api/news?id=f575c54a9c58e8a5bd00ee868e26485fa0709b3c7ec0b5c6c50a3cf6adf6d4b3
company,1770135600,Robinhood Offers New Product Suite in UK: Will It Drive Growth?,138345663,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"HOOD rolls out a new UK stocks & shares ISA, offering a 2% cash bonus, zero fees and AI tools as it expands beyond the United States.",https://finnhub.io/api/news?id=c94925e20fad177f90f7c2957b2f0ac19fa2de8ed7cfe9ada03da4bb330be3a4
company,1770133579,Cathie Wood Buys $24.8M in Crypto Stocks Despite Slump — What’s Ark Invest’s Real Plan?,138344302,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Cathie Wood’s Ark Invest revealed on Monday that it stepped deeper into crypto-linked stock despite a broad slump in both cryptocurrency prices and exchange stocks. The firm added roughly $24.8 million worth of positions despite the previous week being marked by falling volumes, declining liquidity, and renewed risk aversion across ...",https://finnhub.io/api/news?id=bcdcb372f799103fda95c4599f8aac4d1e5783a0ae2a64f75584d5fa06fb59b4
company,1770130813,"Robinhood Markets, Inc. (HOOD) Earnings Expected to Grow: Should You Buy?",138344303,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,Robinhood Markets (HOOD) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=c1ae7ba9802c30a914caeca46e0539ed269e206a9a31cbdf2ef6968dda19ee61
company,1770129495,"Cathie Wood Scoops Crypto Stocks BMNR, CRCL, BLSH, and HOOD in Recent Fall",138345720,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Crypto stocks have taken a major beating during the recent crypto market correction, but Ark Invest CEO Cathie Wood finds a major opportunity here. On Feb. 2, the asset manager increased its exposure to some of the top crypto-linked stocks, including BitMine (BMNR), Circle (CRCL), Bullish (BLSH), and Robinhood (HOOD). ...",https://finnhub.io/api/news?id=918a80246ab4d6fec6aeacfa01bd4b8ea1c87161cbc0f6558aa512391ed21c55
company,1770127204,"Robinhood Markets, Inc. (HOOD) Is a Trending Stock: Facts to Know Before Betting on It",138342803,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Recently, Zacks.com users have been paying close attention to Robinhood Markets (HOOD). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=f74b5689b0296a38f999e8036fb55fcba026dca3fc851e68cacb435e931f0971
company,1770115782,US brokers may charge fee from ETF managers as commission-free trading takes a toll,138340793,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"U.S. brokerage firms and custodians may seek distribution fees from managers of exchange-traded funds, J.P. Morgan said, marking a ​possible crucial shift in the country's $13.5 trillion ETF market.  Platforms such as Robinhood attracted millions of retail investors with zero trading fees and simple mobile apps, pulling customers and trading volume away from traditional brokerages.  To combat the shift in the competitive landscape, legacy players such as Fidelity and Charles Schwab have raced ⁠to win over clients by ‌slashing trade commissions to as low as zero dollars for exchange-traded funds.",https://finnhub.io/api/news?id=e0cc1ca82e1624082e7938ddd156e7a4a36c71d3ef2f865be3d15303edcdb98d
company,1770113419,US Stock Market Today S&P 500 Futures Edge Higher As Factory Strength Supports Growth,138340779,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"The Morning Bull - US Market Morning Update Tuesday, Feb, 3 2026 US stock futures are slightly higher this morning, with E mini S&P 500 and Nasdaq 100 contracts up around 0.5%, as investors react to stronger US factory data and steady bond yields. The ISM Manufacturing PMI, a key scorecard for factory activity, sits at 52.6 for January 2026, which signals expanding output and potentially firmer demand for goods. At the same time, the 10 year Treasury yield around 4.27% keeps borrowing costs...",https://finnhub.io/api/news?id=efaaf2f6779560dfb055f82bacf6dfe3820c4c704eb9f9d3e878ac1fcb05f306
company,1770113400,"Robinhood's Top 10 Stocks: These 2 Stocks Are the Best Buys, According to Wall Street",138340693,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,Wall Street analysts forecast material upside in Palantir and Microsoft.,https://finnhub.io/api/news?id=0cb886b67bb3ae464226a49e9b159d1478920d5e3e73e38059f5b4c03b6d0130
company,1770103138,Cathie Wood's ARK buys over $70 million of crypto stocks as bitcoin slides,138340100,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Fresh buys in CRCL, COIN, and BLSH come as Cathie Wood’s funds lean into exchange and stablecoin names during a market dip",https://finnhub.io/api/news?id=3017f7b8494357942bfde4805236d054c86772d8b81abf691ece8d0f15abd078
