category,datetime,headline,id,image,related,source,summary,url
company,1770159603,HP (HPQ) Falls More Steeply Than Broader Market: What Investors Need to Know,138349204,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"In the closing of the recent trading day, HP (HPQ) stood at $19, denoting a -4.09% move from the preceding trading day.",https://finnhub.io/api/news?id=5f58af224c9e1a4c15fc6c13ad7841b42ff536e1ef903f362d95adb96908a930
company,1770156605,HP Leadership Shakeup Puts Focus On Valuation And Future Direction,138348361,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"HP (NYSE:HPQ) announced the resignation of CEO Enrique Lores, effective immediately. Bruce Broussard has been appointed Interim CEO while the board begins a formal search for a permanent successor. Lores is set to take a chief executive role at another high profile corporation, raising fresh questions about HP's leadership path. For investors watching NYSE:HPQ, this leadership change comes at a time when the stock has faced pressure, with the share price at $19.81 and a 1 year return of a...",https://finnhub.io/api/news?id=efc284dbef4319edb8704e253ef8454a8129c96eb621f61ff13d88067423736d
company,1770154212,Struggling PayPal Hires New CEO. Is Company Break-Up Coming?,138347076,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"PayPal stock plunged after the digital payments firm a brought in a new chief executive. Enrique Lores will replace Alex Chriss, a former Intuit executive.",https://finnhub.io/api/news?id=edd35adc5fc9ec0cfa2d58e732b53d3b18881440bdcb85e64dcd4abff016bc83
company,1770152541,PayPal Stock Is Now Deep in Oversold Territory. Should You Buy the Dip After 8-Day Losing Streak?,138348362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,PayPal named a new CEO as Q4 earnings and full-year guidance missed Wall Street estimates. Here’s why PYPL stock isn’t worth buying despite its historically cheap valuation.,https://finnhub.io/api/news?id=87e70e66fe75694773d86670cefb77ece1e0f96cfbf905bd4173feaeea6f74ff
company,1770149880,PayPal Earnings Revealed Many Problems. A New CEO Can’t Keep the Stock From Tumbling.,138347337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"PayPal Holdings  made a splash Tuesday as it attempts to engineer a turnaround, replacing CEO Alex Chriss with current  HP Inc.  Chief Executive Enrique Lores.  Lores, who has served as HP’s CEO since 2019, will take the helm on March 1.  Jamie Miller, PayPal’s chief financial and operating officer, will serve as interim CEO for the rest of the month.",https://finnhub.io/api/news?id=5ebdd127637b8bfdbc7535963fec71e5a2610e3bc9d881a4aa0e8b9c558d1f76
company,1770147000,PayPal's growing competition is a 'pressure point': Analyst,138345753,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"PayPal's stock is sinking on Tuesday after reporting fourth quarter earnings results alongside a weak 2026 outlook. This news coincides with the payment platform picking HP Inc. (HPQ) CEO Enrique Lores to be its next chief executive, effective March 1. Enrique will be leaving his position at HP, which he's held since 2019. Macquarie Capital senior equity research analyst Paul Golding — who has an Outperform rating on the stock — reacts to PayPal's earnings release and guidance figures. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=007197387f5f81b32c38ca79e89c43e761257903a70dd46ae37e45648eb8dc67
company,1770142760,PayPal bulls set to win big as spooked investors 'puke in the hole': Analyst,138345760,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"Markets may have given PayPal's new CEO a cold reception, but the underlying math says the payment giant is sitting on a fortune.",https://finnhub.io/api/news?id=613f1390dee76a7326f1227f1f80798a2a93c0c12f70231374c7be7cdce2edb0
company,1770142680,HP and Karamba Security Sign Multi-Year Licensing Agreement to Protect HP’s Printers,138345879,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"The companies extend their agreement with a three-year renewal for XGuard® software, strengthening HP Print security leadershipPALO ALTO, Calif. and HOD HASHARON, Israel, Feb. 03, 2026 (GLOBE NEWSWIRE) -- HP (NYSE: HPQ), the world’s largest printer provider, and Karamba Security, a global leader in product cybersecurity, announced today that HP has renewed its multi‑year agreement to license Karamba’s XGuard® software across HP’s printers. Modern printers are networked, cloud-connected, computin",https://finnhub.io/api/news?id=1ccd42ba58be04b30627f84a54a9859e469945b58f6328ec6ccedbb50207bcb2
company,1770139408,PayPal Shares Drop 12% as CEO Change Follows Earnings Miss,138344377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"Profit and revenue fell short, prompting leadership changes and sending shares down more than 12% in early New York trading.",https://finnhub.io/api/news?id=376d6a8e9f2978a9f305c9a3e5d6ebe910f839f9dc71b7cdfa38fe3bc020d3d3
company,1770137148,Why HP (HPQ) Shares Are Trading Lower Today,138344383,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HPQ,Yahoo,"Shares of personal computing and printing company HP (NYSE:HPQ) fell 5.5% in the morning session after the company announced the immediate resignation of its CEO, Enrique Lores, which was followed by downgrades from several investment banks. Lores stepped down from his role as President, CEO, and board member to become the new chief executive at PayPal.",https://finnhub.io/api/news?id=44630d4ddda6c0392406e7a11d9ad52993fcd2992258902f2077a4cdfc208996
