category,datetime,headline,id,image,related,source,summary,url
company,1770158640,Threat of New AI Tools Wipes $300 Billion Off Software and Data Stocks,138348226,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"From Legalzoom.com and Expedia to Ares and Apollo, shares of companies that sell or invest in software fell sharply on Tuesday.",https://finnhub.io/api/news?id=c9833768afe4b9fc96f23f290fc2cd1e42606211764303342b8b18e6bd56a739
company,1770158429,Why Was the Market Down Today?,138348102,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Several software companies affected by disappointing Microsoft earnings last week, including Atlassian, Datadog and Intuit, fell at least 7%.  Other big tech stocks from Nvidia to Broadcom and Oracle struggled.  Not all tech stocks dropped, however.",https://finnhub.io/api/news?id=179e6a8eee1287c600a6d1c82999902610e9007197cd431c80fe2311c8b51f61
company,1770156885,Heard on the Street Recap: Code Red,138348169,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Anthropic's launch of new AI productivity tools spooked investors. The worries hit a wide swath of software and data service companies. Among the worst-hit companies on the Nasdaq were Thomson Reuters and Intuit, which shed 16% and 11%, respectively.",https://finnhub.io/api/news?id=14dc9ed7a62c64324e333885987e7294187698a7c8024e302bdb95338eabed5e
company,1770156780,Software Stocks Have Gotten Crushed. This Chart Says It’s Not Time to Buy Yet.,138348120,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"“Old tech” software names like  Adobe  and  Intuit  are both off more than 40% from their annual peaks.  The weakness is especially glaring on the IGV ETF’s ratio chart versus the  While IGV trades 28% below its most recent 52-week high, the semiconductor ETF is down just 5% from its own annual peak.",https://finnhub.io/api/news?id=e042edc612d116fc3e4433492cd882ae909480a49d18199d72c11e18124497cb
company,1770154212,Struggling PayPal Hires New CEO. Is Company Break-Up Coming?,138347076,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"PayPal stock plunged after the digital payments firm a brought in a new chief executive. Enrique Lores will replace Alex Chriss, a former Intuit executive.",https://finnhub.io/api/news?id=edd35adc5fc9ec0cfa2d58e732b53d3b18881440bdcb85e64dcd4abff016bc83
company,1770149733,Stocks and bitcoin sink as investors dump software company shares,138353848,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,Stocks broadly sank on Tuesday as investors moved to dump shares of software companies amid fears that artificial intelligence tools could eat into those companies' businesses,https://finnhub.io/api/news?id=22af2a30976130bfb45447dc7cda91dbeef2adf4f5db428248f30cb9241fd7b5
company,1770148200,3 Top Dividend Stocks to Buy in February,138345679,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"These world-class companies can pay you now and for years to come, raising their dividends along the way.",https://finnhub.io/api/news?id=b36e4af65d15968c3747af577d7228cc320f216696321f1a645567047eab922c
company,1770144780,Intuit Partners with NFL and the 49ers Foundation During Super Bowl Week to Empower Today’s Generation With Financial Literacy,138345680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"MOUNTAIN VIEW, Calif., February 03, 2026--Intuit announced its partnership with the NFL’s Inspire Change Initiative and the San Francisco 49ers Foundation to host a Financial Literacy Forum.",https://finnhub.io/api/news?id=5f9fb62c4695118509405be807cdafd55511b65a87c4e6e62991ab005823398d
company,1770142492,"Stock Market Today, Feb. 3: Software stocks landslide after PayPal's poor earnings; Nasdaq falls 1%",138345522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here. Happy Tuesday. This is TheStreet’s Stock Market Today for Feb. 3, 2026. You can follow the latest updates on the market ...",https://finnhub.io/api/news?id=bcaf7b7c74f050e6f3aeed94d773ad561aa3feb85a712eff247db159c2c9fd0c
company,1770142240,Why Magnite (MGNI) Shares Are Trading Lower Today,138347238,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,Shares of digital advertising platform Magnite (NASDAQ:MGNI) fell 14.5% in the afternoon session after disappointing fourth-quarter results from industry bellwether Gartner sparked widespread concerns about a slowdown in the sector.,https://finnhub.io/api/news?id=f5f99281b8673a038304c26930f37e94454b3b41f8cb6ad404d1c1bafd9ec46e
company,1770141230,"Bitcoin nears weekend low of $74,600 as stock selloff adds to crypto's woes",138345916,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Major declines in artificial-intelligence-linked stocks, software names and private equity are leading U.S. indices lower.",https://finnhub.io/api/news?id=12f482a67650bcc88172664629badbe2b8c9f3f00cd2221a0f2285aa5d8970bd
company,1770139245,"Omnicom Group, Verisk, DXC, Genpact, and Grid Dynamics Shares Plummet, What You Need To Know",138345668,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"A number of stocks fell in the morning session after disappointing fourth-quarter results from industry bellwether Gartner sparked widespread concerns about a slowdown in the sector. The research and advisory firm reported that revenue in its Consulting segment fell 12.8%. This weak performance from a major industry player appeared to validate broader market fears about the health of the IT services and consulting industry. The negative sentiment spread quickly, with shares of other major compan",https://finnhub.io/api/news?id=8a7728bd5bffd2cf95009f8968262419f3ca3e61b9a30c128fd15ba58eb415c8
company,1770139242,Why QuinStreet (QNST) Shares Are Falling Today,138345669,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,Shares of performance marketing company QuinStreet (NASDAQ:QNST) fell 7.9% in the morning session after disappointing fourth-quarter results from industry bellwether Gartner sparked widespread concerns about a slowdown in the sector.,https://finnhub.io/api/news?id=91d493a5b80b471041b4a66ffe8fd56678dcf911a6d530198fe2861ca06bbdea
company,1770138346,"Xerox, Accenture, IBM, Kyndryl, and Equifax Shares Are Falling, What You Need To Know",138344123,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,A number of stocks fell in the morning session after disappointing fourth-quarter results from industry bellwether Gartner sparked widespread concerns about a slowdown in the sector.,https://finnhub.io/api/news?id=6cc3cff2769174334e7839ce2157990b81d593592590da0840650504c0d94ff1
company,1770138345,"EXL and TransUnion Shares Plummet, What You Need To Know",138344204,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,A number of stocks fell in the morning session after disappointing fourth-quarter results from industry bellwether Gartner sparked widespread concerns about a slowdown in the sector.,https://finnhub.io/api/news?id=c7f6f54b80ef21d656d1cef88d0e65873ed9b33a3a9e56dcda79d0d44a9e17a1
company,1770137142,"Unity, Intuit, Twilio, Freshworks, and Procore Technologies Shares Are Falling, What You Need To Know",138344235,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"A number of stocks fell in the morning session after a broad sell-off swept through the software sector, driven by growing concerns about the impact of artificial intelligence.",https://finnhub.io/api/news?id=38dba57a97419d67309d12aadf84cc9e9172a4641baabc983610dcb17576948b
company,1770128128,PayPal hires HP’s Enrique Lores as its new CEO,138342875,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,PayPal is appointing CFO and COO Jamie Miller as interim CEO until March 1.,https://finnhub.io/api/news?id=9a70e29d7e93b9f84e75d5f5675f5ead11b89bba2f9166ae5f83a06c33c20258
company,1770127509,Inside a $4.1 Million Bet on a $25 Billion Market: Why SiteOne’s 680-Branch Scale Matters Now,138342501,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,SiteOne Landscape Supply distributes a broad range of landscape products to professional customers across North America.,https://finnhub.io/api/news?id=cc433764243e06beb1faee9613eabe10f24f832af2e593d70568c562f3f6efe7
company,1770126655,"This Protein Brand Stock Collapsed Nearly 70% in a Year, and One Fund Just Exited a $4 Million Stake",138341561,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"BellRing Brands markets protein shakes and powders through Premier Protein and Dymatize, serving health-conscious consumers globally.",https://finnhub.io/api/news?id=445be73c360fe9d2fce7787607380c309f0920b6da51fd66f57a399505060c88
company,1770126109,Sportradar Raised Earnings Outlook but Lost a Holder in an $8.7 Million Fourth-Quarter Exit,138341562,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"Serving bookmakers and media worldwide, Sportradar delivers sports data, analytics, and streaming solutions across the betting value chain.",https://finnhub.io/api/news?id=59d9022a4b50feca6f23ac690760b68a0e36c4486a931eb9248ed4e1ed2e1554
company,1770124125,PayPal Turmoil At The Top: Struggling Payments Firm Hires New CEO,138341744,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"PayPal stock plunged after the digital payments firm a brought in a new chief executive. Enrique Lores will replace Alex Chriss, a former Intuit executive.",https://finnhub.io/api/news?id=4271bfecb204f9e0a0104a24e4d6b62e75debcd47c4d50b1782d81d0775ecc5d
company,1770122375,HP CEO Enrique Lores reveals why he is leaving to be the CEO of PayPal,138341547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTU,Yahoo,"With its stock price under pressure, PayPal is bringing in a tech OG to run a tech OG.",https://finnhub.io/api/news?id=1c32650e28e9724d86051c0302abfd3bceff4c814a5da2a14917382252dfe780
