category,datetime,headline,id,image,related,source,summary,url
company,1770152668,Illinois Tool Works Inc (ITW) Q4 2025 Earnings Call Highlights: Record Margins and Strategic ...,138347309,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,Illinois Tool Works Inc (ITW) reports a strong finish to 2025 with record operating margins and outlines ambitious growth and share repurchase plans for 2026.,https://finnhub.io/api/news?id=cbc42c4dd44cf15b14dbadf3dc9237899294800c0335125e78012df88a9e489b
company,1770138868,Illinois Tool Works (ITW) Valuation Check After Recent Share Price Momentum,138344324,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"Illinois Tool Works stock snapshot after recent gains Recent gains in Illinois Tool Works (ITW) have put the stock on many watchlists, with investors weighing its recent share performance against the company’s current earnings profile and multi segment industrial footprint. See our latest analysis for Illinois Tool Works. Illinois Tool Works' recent share price strength, including a 5.9% 1 month share price return and a 6.03% 1 year total shareholder return, suggests steady momentum as...",https://finnhub.io/api/news?id=db9de9b1a1ff767be1aa6586a17ca8c3612c6a282eb02343e41e198800294ef0
company,1770136980,"Illinois Tool Surpasses Q4 Earnings Estimates, Issues 2026 View",138345712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"ITW tops Q4 estimates with EPS up 7% and revenue growth, lifts margins and sets 2026 EPS at $11.00-$11.40 with buybacks planned.",https://finnhub.io/api/news?id=cb1cf623d222026a4788a1da047064edffc6c225cd5b3d52e37bece8f1cc36c7
company,1770136127,Illinois Tool Works (ITW) Earnings Transcript,138344325,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"As you saw in our press release this morning, Illinois Tool Works Inc. delivered a solid finish to the year.  In the fourth quarter, we outperformed our underlying end markets with revenue growth of more than 4% and delivered a 7% increase in GAAP EPS to $2.72.  Starting with the top line, organic growth of 1.3% marked our best quality performance of the year.",https://finnhub.io/api/news?id=7dd36f2005d9c0c46366ba5610ec2474fbdfa313f628d953e1b1b38ed5e10551
company,1770129003,Illinois Tool Works (ITW) Reports Q4 Earnings: What Key Metrics Have to Say,138344326,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"While the top- and bottom-line numbers for Illinois Tool Works (ITW) give a sense of how the business performed in the quarter ended December 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=3b6b4c54a7be5cc04a08788d6b2963580a34af49e80537b7ee594ade9daf9acb
company,1770128105,Illinois Tool Works (ITW) Tops Q4 Earnings and Revenue Estimates,138344327,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"Illinois Tool Works (ITW) delivered earnings and revenue surprises of +1.32% and +0.50%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=1d15bb0fe5d91db73f08f480fabc034dace8d62eed53965af4d023f3e81e3893
company,1770126201,Illinois Tool Works (ITW) Maintains Dividend Growth Through Business Cycles,138341812,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"Illinois Tool Works Inc. (NYSE:ITW) is included among the Dividend Growth Stocks: 25 Aristocrats. Illinois Tool Works has been operating for more than a century and has built a business that is difficult to replicate. Its competitive edge comes from scale, deep customer relationships, and a sizable intellectual property portfolio with more than 17,000 granted and […]",https://finnhub.io/api/news?id=375460d4157ae2b8cf8e9dee2612dbc531670b84ceaadf29252056af78204c78
company,1770125435,Illinois Tool Works Inc. (ITW) Q4 2025 Earnings Call Transcript,138344869,,ITW,SeekingAlpha,,https://finnhub.io/api/news?id=c40a51b38a3ef2bc6ce1767a7ce488e09fa98ea80f4be82e100c5cef99cd7d6f
company,1770124645,Illinois Tool Works: Q4 Earnings Snapshot,138341813,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"The results topped Wall Street expectations. The average estimate of seven analysts surveyed by Zacks Investment Research was for earnings of $2.69 per share. The equipment manufacturer for the transportation, power, food and construction industries posted revenue of $4.09 billion in the period, also surpassing Street forecasts.",https://finnhub.io/api/news?id=9163a4078ef32bf7500b5d02cb754d28dda02404f8e91923de4d8ec52d5c6ee3
company,1770124272,Illinois Tool Works’s (NYSE:ITW) Q4 CY2025 Sales Top Estimates,138341814,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ITW,Yahoo,"Manufacturing company Illinois Tool Works (NYSE:ITW) beat Wall Street’s revenue expectations in Q4 CY2025, with sales up 4.1% year on year to $4.09 billion. Its GAAP profit of $2.72 per share was 1.2% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=7a02c1f77b0e579e0e8efd0a381a982b5ce32bce4c3c78bb0c69cdf838338990
