category,datetime,headline,id,image,related,source,summary,url
company,1770154372,JPMorgan reveals new investment bets of the world’s wealthiest people,138347113,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"If you’re wondering where the world’s wealthiest families are placing their next big bets, crypto is not one of them. According to a new report from JPMorgan Private Bank, AI has emerged as the dominant investment theme for global family offices. It also far outpaces interest in ...",https://finnhub.io/api/news?id=08ba00a406d6d4dd9d244d8fc80b5206db3ebc74534ebbb99d9580ee20d0e64b
company,1770150120,JPMorgan CEO Jamie Dimon Stands to Reap Almost $250 Million From Option Grant,138347114,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"That’s a large number even for a CEO with outsize compensation, but few shareholders would quibble with the option award.",https://finnhub.io/api/news?id=759ba87dcb586782bc4043513f4baa76da86d9112d3361f2482f1d8a49d0e09e
company,1770135135,JPMorgan rich valuation has capped upside despite solid trends,138344065,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"Investing.com -- Baird says JPMorgan Chase’s core business remains strong but current valuations leave limited room for further gains. Brokerage upgraded the bank to Neutral, sending shares up 2% in early Tuesday trading.",https://finnhub.io/api/news?id=9059a54cab79b6527c5727e47133b8f7724c24c2f232fc9ca6f53c605a425b19
company,1770127500,Is the Dow Flashing a Warning Sign For Investors?,138342477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"It hasn’t been the best start to the year for the Dow Jones Industrial Average, which finds itself on a three-week losing streak to cap off January. Undoubtedly, the Dow, a basket of 30 stocks, isn’t exactly the best gauge of the market, but it is worth keeping tabs on whenever its performance deviates from ... Is the Dow Flashing a Warning Sign For Investors?",https://finnhub.io/api/news?id=4eae431214f96fb94f445d177062f062c2c96eb84d9b78afc369ba371ede9014
company,1770127407,JPMorgan Stays Bullish On Gold After Dip,138342533,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,Central bank demand backs upside,https://finnhub.io/api/news?id=7c312f73a627fb1026ca7f6600a36d203bec527952e307b9a5c9f9f1f12ef60f
company,1770127200,Chase and Disney Launch the Disney® Inspire Visa® Card Featuring Exclusive Benefits for Cardmembers,138342534,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"WILMINGTON, Del. & ORLANDO, Fla. & BURBANK, Calif., February 03, 2026--Chase and Disney today announced the launch of the Disney® Inspire Visa® Card ($149 Annual Fee), expanding the current lineup of Disney® Visa® and Disney® Premier Visa® Cards. Together, Chase and Disney provide Cardmembers with exclusive benefits and rewards that elevate their Disney experiences.",https://finnhub.io/api/news?id=2330ba31d2844a397937ff49c01f8d33834f0fab7fb8941e4eb42883c067a8dc
company,1770123630,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies, SoFi Technologies, and More",138342018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"Pre-Market Stock Futures: Futures are trading higher after a strong bounce-back Monday, with all major indices ending the day higher, as we started February on a winning note. Investors were able to look past the crypto and precious metals meltdowns, geopolitical hot spots around the world, some big retail and institutional investors’ profit-taking, and a ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies,",https://finnhub.io/api/news?id=d28b06dc570fad9873c2ca6007e3ad166c701a25927932e58025d3f26bea4e3f
company,1770115750,JPMorgan Chase (JPM) Q4 Earnings Surprise Driven by Lower Costs and Provisions,138340732,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"JPMorgan Chase & Co. (NYSE:JPM) ranks among the biggest publicly traded asset managers. In response to JPMorgan Chase & Co. (NYSE:JPM)’s fourth-quarter earnings announcement, TD Cowen reaffirmed its Buy rating and $400 price target for the company on January 14. JPMorgan Chase & Co. (NYSE:JPM) reported core earnings per share of $5.23, above both the […]",https://finnhub.io/api/news?id=64d78375592e3d26765d6f7db62aee5437492c2b2f4139c2087e13ff109f51ec
company,1770115626,"New Disney Inspire Visa Card launches: Earn $600 in bonuses, plus $420 in annual Disney perks",138343599,https://image.cnbcfm.com/api/v1/image/108260155-1770044427873-gettyimages-612573814-_mg_0543-01.jpeg?v=1770044440&w=1920&h=1080,JPM,CNBC,"A Disney park visit is going to be expensive, but this card can pay for itself with a single visit each year.",https://finnhub.io/api/news?id=b035a58a56d13e102a273e977ebc365c89f67e2691bdf060aaae55f99d2fc9c7
company,1770114900,Important Notice of Dividend Announcement to shareholder of Xtrackers II,138340733,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"LONDON, February 03, 2026-- Xtrackers II",https://finnhub.io/api/news?id=e9b9858e5d6771a8362b17f01c193dcd4d41fc00e422d0d100c1fbcf2427c026
