category,datetime,headline,id,image,related,source,summary,url
company,1770154211,PepsiCo CEO reveals how he is tackling weight-loss drugs and consumer affordability challenges,138347130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,PepsiCo CEO Ramon Laguarta weighs on key stock-moving ingredients.,https://finnhub.io/api/news?id=a92aa033d996f4a08cbbccd33592f6e981352850c09022c0dcc6110264808451
company,1770151740,Why I Choose Coca-Cola over PepsiCo,138347175,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"They're both Dividend Kings, but heavy is the head that wears the crown.",https://finnhub.io/api/news?id=226f6548029b88a6b31bb407e84aa63ea1847620920c843b33e43821e2e93f1e
company,1770149589,"Coca-Cola to Post 'Solid' Q4 With On-Algorithm 2026 Guidance, UBS Says",138347176,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Coca-Cola (KO) is expected to report a ""solid"" fiscal Q4, likely delivering mid-single-digit organic",https://finnhub.io/api/news?id=2d3b6fc506f8fa60d6c7d816419b5043a3abbbf6ecdb85daacf63319b981dd3b
company,1770147301,PepsiCo (PEP) Tops Q4 Earnings and Revenue Estimates,138347177,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"PepsiCo (PEP) delivered earnings and revenue surprises of +1.09% and +1.18%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=dae296dcda6448f103e05d18fe1463580ee846b1023b632aaac47816d3e61265
company,1770141783,"PepsiCo to cut prices of Lay's, Doritos as consumers push back",138344894,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"STORY: Shares of PepsiCo rose Tuesday after the company said it will cut prices by up to 15% on core brands such as Lay's and Doritos starting this week.The move comes after a consumer backlash against several previous price hikes, with the CEO of Pepsi's U.S. Foods division saying its customers are ""feeling the strain.""Rival Coca-Cola and consumer giant Procter & Gamble have also lowered prices to safeguard market share amid still-elevated inflation and delayed food stamp benefits for lower-income families.Packaged food companies are also in for a reckoning this year as the popularity of appetite suppressing weight-loss drugs increases and brands look for ways to keep consumers interested in snacks and sodas.Pepsi's CEO said that portion control was the way to keep PepsiCo's categories relevant, adding that more than 70% of the company's U.S. food product line was in single-serve packages, a strategy he said was ""critical"" for growth.The company is also refreshing key brands such as Quaker, Gatorade and Tostitos to focus on low sugar or no-artificial-ingredients to attract younger households with children.Meanwhile, Pepsi is in the midst of an aggressive cost-cutting plan across its entire business after pressure from activist investor Elliott Management, and several quarters of weak sales in the key North America market.",https://finnhub.io/api/news?id=89679ab8a4923473f87dfbdfadb898ae8450b3e3bac4844ddb54989ab04e0f74
company,1770141565,"In Days, Coca-Cola Announces Its Next Dividend Increase: What Can Investors Expect?",138345604,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,Three reasons to think Coca-Cola's once-mighty dividend growth could roar back next week.,https://finnhub.io/api/news?id=73819e2eb5fe0b4607ed817a6fd1135e572ee6d9a3cac903b0a0b7bccf56f8c9
company,1770132081,Scott Drake named CEO of Chuck E. Cheese,138342599,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"He succeeds David McKillips, who held the role for the past six years",https://finnhub.io/api/news?id=324907bac40d4fcc9b5bf3e093762fe20657850f00a3902f0f8d02001ae43844
company,1770130357,"Walmart Joins $1 Trillion Club as Tech, Frugal Shoppers Fuel Gains",138342459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"The stock rose as much as 1.6% as of 9:45 a.m. in New York trading, reaching an intraday record of $126 per share and lifting its market value to just over $1 trillion, according to data compiled by Bloomberg.  The Bentonville, Arkansas-based chain — a longtime favorite of bargain-hunting consumers — has flexed its massive scale and supplier network to keep prices low and grab market share across the income spectrum.  While Walmart has maintained its appeal to households looking for value, its online offerings are drawing new, wealthier shoppers seeking convenience.",https://finnhub.io/api/news?id=51d001dbb7e512b872e21d793169d9c6513bbdca5b84f39d621e34d7962052f9
company,1770121149,"PepsiCo to cut prices on Lay's, Doritos as consumers push back",138341622,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,By Juveria Tabassum Feb 3 (Reuters) - PepsiCo would cut the prices of core brands such as Lay's and Doritos in the U.S. by up to 15% after several quarters of price hikes based on consumer feedback on,https://finnhub.io/api/news?id=99f54387eb983d35f947094f6c7ff9ecab833236765603347142e3e867703ac0
company,1770116875,PepsiCo tops quarterly revenue estimates on resilient demand for sodas,138340748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KO,Yahoo,"Feb 3 () - PepsiCo topped fourth-quarter revenue expectations on Tuesday, benefiting from robust demand for its sodas in international ​markets, as well as strength in its low-sugar beverages ‌in the U. Demand for more localized flavors of both snacks and sodas in countries ‌such as India and Brazil boosted sales, even as it overhauls its portfolio in the U.",https://finnhub.io/api/news?id=e27adc4bc93ba889f44dd0765f7dc16e66aa96106e650a1bf58091dff8bdf367
