category,datetime,headline,id,image,related,source,summary,url
company,1770162346,"Stock market today: S&P 500, Nasdaq futures fall after AI-fueled sell-off, with Google earnings on deck",138351934,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=cb957f0d507d754e358bf8a71ae5df9817a2c9bb261c9765add9c133237806c5
company,1770157860,Insulin Resistance Market Expected to Witness Strong Growth During the Forecast Period (2026-2036) | DelveInsight,138348166,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"DelveInsight's Insulin Resistance Market Insights report includes a comprehensive understanding of current treatment practices, insulin resistance emerging drugs, market share of individual therapies, and current and forecasted market size from 2022 to 2036, segmented into leading markets [the United States, the EU4 (Germany, France, Italy, and Spain), the United Kingdom, and Japan].",https://finnhub.io/api/news?id=28b3d8bbe247f8322d9b673753f6c3b6bc86fa172589bb67e7c95e8a6c9c5e86
company,1770157058,"As Novo Nordisk Stock Breaks Below Key Support Levels, Should You Buy the Dip?",138349111,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Novo Nordisk stock sank as management forecasts decelerating growth in 2026. But should you treat this selloff in NVO shares as a buying opportunity? Let’s find out.,https://finnhub.io/api/news?id=3d93bc719873bab1d481c73e893cb6fef76a0d1844b1fbb8b2dfe0f22bb131ca
company,1770155691,"Dow Jones Futures: Nasdaq Breaks Support As Walmart Hits Milestone; AMD, Lumentum Are Earnings Movers Late",138347061,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Techs and chips struggled Tuesday, while consumer staples, regional banks, precious metals and industrials are areas of strength. AMD, Lumentum were earnings movers late.",https://finnhub.io/api/news?id=1b049f286e53edb852a0dadce172e05f33d0558acdc48c013ed9c54a4097c75f
company,1770150974,Novo Nordisk Projects Sales Decline in 2026 Amid Lower US Prices; Shares Slump,138347126,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Novo Nordisk (NVO) shares tumbled Tuesday after the company forecast a drop in sales this year due i,https://finnhub.io/api/news?id=a9d18447c5935d9c764e1897aa65088ac8cca0ae61470ee5a955bb6f6dbead1a
company,1770148121,Obesity Drug Bets Get a Reality Check—but Investors Shouldn’t Panic,138347127,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Novo Nordisk pre-announced weaker-than-expected guidance, forecasting a 5% to 13% decline in constant-currency sales this year, citing pricing pressure and intensifying competition.  Earlier Tuesday, Pfizer reported underwhelming data for its once-monthly obesity injection, raising fresh doubts about the Metsera acquisition it announced last year, and whether it will be enough to support a blockbuster competitor to the Lilly and Novo injections.  Pfizer shares fell 3.2%, while Novo Nordisk’s American depositary receipts plunged 15%.",https://finnhub.io/api/news?id=4e3a3867cd2a9be5301e0b0e447bd68f31a093fc277bb8c5499383a9b8f64eeb
company,1770143512,Novo Crashes After Projecting 2026 Decline; Surprising With Day-Early Report,138345544,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Novo Nordisk stock crashed Tuesday after the company said it expects sales and operating profit to decline by 5% to 13% this year.,https://finnhub.io/api/news?id=853f1f58b23fc331837906e9fa1ae172baf58616df968ce721370c8f7b3f57bb
company,1770140985,Novo Nordisk shares plunge amid lower 2026 sales outlook,138344068,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Investing.com - Shares of Novo Nordisk A/S (NYSE:NVO) fell sharply midday Tuesday after the Wegovy-maker posted fourth-quarter results and issued a sales warning for 2026.,https://finnhub.io/api/news?id=f9ff8d601c037e21ae6f894fb1731274e89c656048512900e53ea4e7894c08fc
company,1770139677,Eli Lilly Stock Falls Ahead of Earnings -- Phase 3 Trials Could Fuel Next Wave of Growth,138344069,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,LLY Earnings Preview: Medicare Access and New Launches Could Boost Revenue in 2026,https://finnhub.io/api/news?id=b941af9be74926b9b64fab89451f7e8760b200b1a94045b6af6c1dbaf031faba
company,1770138907,Pfizer Fourth-Quarter Earnings Unexpectedly Rise; COVID-19 Product Sales Plunge,138344070,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Pfizer's (PFE) fourth-quarter earnings unexpectedly increased year over year, although the pharmaceu",https://finnhub.io/api/news?id=eaf3b0320346d4f9af0f8bbf540845a0aa1ac9a6ea70b6e423a04c3c6df20fb4
