category,datetime,headline,id,image,related,source,summary,url
company,1770161402,"Compared to Estimates, Mondelez (MDLZ) Q4 Earnings: A Look at Key Metrics",138349157,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"Although the revenue and EPS for Mondelez (MDLZ) give a sense of how its business performed in the quarter ended December 2025, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://finnhub.io/api/news?id=26f0ee0f41409811737fcc1a34100f92d3180516f836efa72c5f9812b5dd1821
company,1770158402,Mondelez (MDLZ) Q4 Earnings and Revenues Beat Estimates,138349158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"Mondelez (MDLZ) delivered earnings and revenue surprises of +3.14% and +1.86%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=8699c907f57e180d53e13492d1e89cffb4e26d83ea2e7ccc4def7c7b72705983
company,1770155543,Mondelez: Q4 Earnings Snapshot,138347300,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"CHICAGO (AP) — Mondelez International Inc. MDLZ) on Tuesday reported fourth-quarter net income of $665 million. On a per-share basis, the Chicago-based company said it had net income of 51 cents.",https://finnhub.io/api/news?id=bee2a10185a5ababc9c23d6d1a6bb82fa19039f1da376111863862e1b7e8442a
company,1770155427,"Earnings live: AMD, Chipotle stocks fall, Mondelez profits hit by high cocoa prices",138347086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=ef5915fad138031154aa36aedd3c9d5f27a5d351262dd3d0463c0bb6742297fd
company,1770154806,Mondelez (NASDAQ:MDLZ) Exceeds Q4 CY2025 Expectations,138347302,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"Packaged snacks company Mondelez (NASDAQ:MDLZ) reported Q4 CY2025 results exceeding the market’s revenue expectations, with sales up 9.3% year on year to $10.5 billion. Its non-GAAP profit of $0.68 per share was 2.4% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=1f444ae64fa2f190fd3c256d861871157833b2cc31fad5297c5f9b3948c3407e
company,1770154740,"Mondelez International Fourth-Quarter Profit Falls, Hurt by High Cocoa Costs",138347303,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"The owner of Oreo and Cadbury posted a quarterly profit of $665 million, down from $1.75 billion a year earlier.",https://finnhub.io/api/news?id=9bed8256c29613b9c82c4029f066fc0bb91d7003c3d62517f297818f2e1c426d
company,1770153300,Mondelēz International Reports Q4 and FY 2025 Results,138347304,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"FY'25 Net Revenues +5.8%, Organic Net Revenues1 +4.3%, Volume/Mix -3.7% FY'25 Diluted EPS declined -44.7% to $1.89FY'25 Adjusted EPS1 was $2.92 down -14.6% on a constant currency basis FY'25 Cash provided by operating activities was $4.5 billionFY'25 Free Cash Flow1 was $3.2 billionFY'25 Return of capital to shareholders was $4.9 billion Company provides FY'26 outlook CHICAGO, Feb. 03, 2026 (GLOBE NEWSWIRE) -- Mondelēz International, Inc. (Nasdaq: MDLZ) today reported its fourth quarter and full",https://finnhub.io/api/news?id=17685ba16ecf7e551dc1753d6d5104351fd6cb5f47ac15ce4498d3c4f5355390
company,1770149430,"Mondelez International, Inc. (MDLZ) Q4 2025 Earnings Call Transcript",138348822,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MDLZ,SeekingAlpha,"Mondelez International, Inc. (MDLZ) Q4 2025 Earnings Call February 3, 2026 5:00 PM ESTCompany ParticipantsDirk Van de Put - Chairman & CEOLuca Zaramella...",https://finnhub.io/api/news?id=50f2fb0bcd4a0aee5f301d258d8725ed4a8b6c26972611bf9b9be3f0316c8922
company,1770145248,Equities Fall Intraday as Tech Sector Slumps; Precious Metals Jump,138345459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"US benchmark equity indexes were lower intraday amid a plunge in the technology sector, while gold a",https://finnhub.io/api/news?id=c6685615e2b372c49bfe05001c6d3e1168d6a3415cbcc9529d98bf51ebe45bd2
company,1770130800,RITZ® Crackers Delivers a Salty Slice of Paradise in Its Big Game Comeback,138342805,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MDLZ,Yahoo,"RITZ® Crackers is back for the Big Game, expanding its salty universe with a new ad titled ""RITZ Island"" airing during the 3rd quarter. Featuring a star-studded lineup of actor and producer Jon Hamm, comedic trailblazer Bowen Yang, and actor and producer Scarlett Johansson, RITZ® Crackers brings everyone together for a celebration fit for football's biggest weekend.",https://finnhub.io/api/news?id=81ebeaf7a1b989647e2eb1ac39cbfcb6c54d9ad5978c3368249c35feb7c8986c
