category,datetime,headline,id,image,related,source,summary,url
company,1770159662,Marathon Petroleum Corp (MPC) Q4 2025 Earnings Call Highlights: Strong Operational Performance ...,138348304,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"Marathon Petroleum Corp (MPC) reports robust earnings and shareholder returns, while navigating market challenges and planning strategic growth initiatives.",https://finnhub.io/api/news?id=66191fe4a9605882bada044890f02fc9ebc37c9ff59844c65d1ca1ce2ddeda15
company,1770152067,Sector Update: Energy Stocks Gain Late Afternoon,138347321,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"Energy stocks were higher late Tuesday afternoon, with the NYSE Energy Sector Index rising 3% and th",https://finnhub.io/api/news?id=f8d1cb5d1a6ebe588c9bc7918e2a7965a0cc6af22fae94db8d13a51db1d2e24a
company,1770139822,Marathon Petroleum (MPC) Earnings Transcript,138344358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"As Kristina shared, Maria Currie, our CFO, is joining us on this call.  In 2025, Marathon Petroleum Corporation delivered results that demonstrate the strength of our business and the momentum ahead.  For the full year, we achieved margin capture of 105% and refining utilization of 94%, demonstrating the reliability and competitiveness of our fully integrated value chains.",https://finnhub.io/api/news?id=63643d0079628120c46e54b696428df32924e3a3bdcec134d263ab770d414058
company,1770138630,Marathon Petroleum Corporation (MPC) Q4 2025 Earnings Call Transcript,138347575,,MPC,SeekingAlpha,,https://finnhub.io/api/news?id=ebc5a1ddb7aed53ca0ef49a8fc5a0d482af84904e8ea55b72f58953bbceea2a6
company,1770134400,Market Awaits JOLTS Jobs Report,138344141,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,Market Awaits JOLTS Jobs Report.,https://finnhub.io/api/news?id=cb5a39d86ad7e4bed95ffa3fc4762ac20a7bf68aac285a0c5a4e0876abda66df
company,1770132360,"Q4 Earnings, JOLTS & a Changing of the Disney Guard",138344142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"Disney CEO Bob Iger will step down next month -- not the end of the year, as earlier surmised.",https://finnhub.io/api/news?id=5c737a1b699b4ee77bd51b01cdcdb9e522430d0ad425a678e231536f59044fae
company,1770128935,"Exchange-Traded Funds, Equity Futures Higher Pre-Bell Tuesday as Earnings Deluge Continues",138342525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was up 0.3%, and the actively tra",https://finnhub.io/api/news?id=da212ca83c3f3bc55ace221b03a142f7043b9aba3ee5be87bad7f7bf17e2b3ce
company,1770122402,Marathon Petroleum (MPC) Q4 Earnings and Revenues Surpass Estimates,138342028,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"Marathon Petroleum (MPC) delivered earnings and revenue surprises of +48.90% and +12.89%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=dbfa76f68a69ec9dc83eeeca935454c99cfa5a79a32123a6425147cf87e00d63
company,1770119251,Marathon Petroleum: Q4 Earnings Snapshot,138340859,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,"FINDLAY, Ohio (AP) — Marathon Petroleum Corp. MPC) on Tuesday reported fourth-quarter net income of $1.54 billion. On a per-share basis, the Findlay, Ohio-based company said it had net income of $5.12.",https://finnhub.io/api/news?id=144e65ea556fb586b15b62debf37ba6e73a0b2c80acade4afc5245657e5a1e39
company,1770118200,MPLX LP Reports Fourth-Quarter and Full-Year 2025 Results,138340861,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,MPLX LP Reports Fourth-Quarter and Full-Year 2025 Results,https://finnhub.io/api/news?id=e5a3048a0698ea3a9d506b7393ba4c036aefc5d5ffcd7f28a1bea0872ad4e144
company,1770118200,Marathon Petroleum Corp. Reports Fourth-Quarter and Full-Year 2025 Results,138340860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MPC,Yahoo,Marathon Petroleum Corp. Reports Fourth-Quarter and Full-Year 2025 Results,https://finnhub.io/api/news?id=34d0cee24e5641dedb6e5e1df2ea1da5adb66d61e0434b98b375b93ae1a0637d
company,1770113379,Marathon Petroleum: Solid Q4 With Remarkable Buyback Capacity,138342323,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1447154965/image_1447154965.jpg?io=getty-c-w1536,MPC,SeekingAlpha,"Marathon Petroleum is rated a 'strong buy' with ~20% upside and a $210 price target, driven by robust capital returns and undervalued refining assets. Click here to know more.",https://finnhub.io/api/news?id=bc55ad9610f61d50bbf9e2bfc756ff60902582fa0556658467223b468c6205bd
