category,datetime,headline,id,image,related,source,summary,url
company,1770154087,"NEW YORK MARKET CLOSE: Tech names fall; PayPal, Novo prints disappoint",138346849,,MRK,Fintel,,https://finnhub.io/api/news?id=a57ba87ea63494f9f5d3266789b35bc0cf44f11c219660edca8ea852cd7f9c74
company,1770152536,Merck & Co Inc (MRK) Q4 2025 Earnings Call Highlights: Strong Growth Amidst Challenges,138347185,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Merck & Co Inc (MRK) reports robust oncology growth and strategic acquisitions, despite facing headwinds from generic competition and declining vaccine sales.",https://finnhub.io/api/news?id=8f26216cdce1e8067f2aa4afebd78bc3c2d45bd784355eb5dcd5afedd687022c
company,1770140451,MSD’s 2026 sales forecast falls short amid patent losses despite strong Q4,138344133,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Eyes are firmly on the drugmaker’s future revenue streams amid Keytruda’s looming patent expiry.,https://finnhub.io/api/news?id=62df32d41cf1d69e90c1f201b93c90bb8d673906d63cb80f90f40e9ba1887e87
company,1770126600,Pfizer Stock Falls After Solid Earnings. What’s Troubling Wall Street.,138341732,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Pfizer also releases positive top-line results from a trial for its injectable GLP-1 receptor agonist in adults with obesity.,https://finnhub.io/api/news?id=3832aa262b018c21df2084ae086538ca8e2b17cf52cdc851cda9f65af35475e1
company,1770139809,"Dow Hits Record, Nasdaq Sinks as Tech Stocks Retreat",138343975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Nvidia and Microsoft Slide, Palantir Surges on Strong Q4 Earnings",https://finnhub.io/api/news?id=e1257a96afb9f3730646328307c04196b8e3a239da223c32cdd1ed7d5d6505dc
company,1770139131,Merck 2026 Outlook Misses as Gardasil Sales Drop 35%,138344135,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Merck forecasts $65.5--$67 billion in 2026 sales, excluding China Gardasil shipments, despite stronger results from newer medicines.",https://finnhub.io/api/news?id=72c0b181be8d11c69e7b9757d3c00afd8572c6a89bb0f3bc8bc83fd2dab0f2e9
company,1770138907,Pfizer Fourth-Quarter Earnings Unexpectedly Rise; COVID-19 Product Sales Plunge,138344070,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Pfizer's (PFE) fourth-quarter earnings unexpectedly increased year over year, although the pharmaceu",https://finnhub.io/api/news?id=eaf3b0320346d4f9af0f8bbf540845a0aa1ac9a6ea70b6e423a04c3c6df20fb4
company,1770136850,"Top Midday Stories: PayPal Misses Q4 Estimates, Names CEO; Palantir Shares Rise on Strong Results",138344108,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,US benchmark stock indexes fell in late-morning trading Tuesday as investors weighed earnings from m,https://finnhub.io/api/news?id=0888a5e63c2bc01e9bb9169b8905c0be0c52d5c10800919507ec57cf2ffec643
company,1770136740,Will Reblozyl Shine in Bristol Myers' Fourth-Quarter Results?,138345548,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"BMY leans on fast-growing Reblozyl, now a $2B+ franchise, to fuel results as generics pressure legacy drugs ahead of Q4 earnings.",https://finnhub.io/api/news?id=201eee4a76dd71d58f6c2edd6ba072051a30d268602353be94fef49990373258
company,1770136560,"MRK Q4 Earnings & Sales Beat Estimates, Stock Down on Weak '26 View",138345617,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Merck tops Q4 EPS and sales estimates as Keytruda drives growth, but shares fall in pre-market trading as 2026 guidance disappoints.",https://finnhub.io/api/news?id=c1d016b3901820d6583fcfb61fc8db1923fd78d522832004bc91284dcaffcd7e
