category,datetime,headline,id,image,related,source,summary,url
company,1770162346,"Stock market today: S&P 500, Nasdaq futures fall after AI-fueled sell-off, with Google earnings on deck",138351934,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=cb957f0d507d754e358bf8a71ae5df9817a2c9bb261c9765add9c133237806c5
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures rise ahead of Google earnings",138351246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=41f6bae84457b6dfabac244c9e20d67aabec00cab1c9c97e9456ad878475f0d3
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures mostly slip as AMD's slide adds to AI malaise ahead of Google earnings",138348095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=322a3e34186a34d5879397b4e687fae8922e97178aee23b60c06ea326eefaf39
company,1770160376,"Stock Market Today, Feb. 3: Palantir Technologies Surges After Record Revenue Growth and Strong AI Demand",138348117,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Record revenue, accelerating AI demand, and bullish analyst upgrades put this data analytics leader in sharp focus, today, Feb. 3, 2026.",https://finnhub.io/api/news?id=aa349dff68e1d85f80d83bf178087398c5217638e52c07e527ed5e212b9e6806
company,1770158943,Tracking AMG's Yacktman Asset Management Portfolio - Q4 2025 Update,138349690,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,MSFT,SeekingAlpha,"Yacktman Asset Managementâs Q4 2025 13F: top holdings, key trims (CNQ, CTSH, STT, WBD) and new EWY stakeâsee portfolio moves now.",https://finnhub.io/api/news?id=c3d00a94f9edf09480d54dde61e8e7b9660082ba5f1582705b7fa28bbfde7fd2
company,1770158653,"Stock Market Today, Feb. 3: Nasdaq Tumbles 1.4% as AI Fears Grow",138348101,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Today, Feb. 3, 2026, Walmart’s $1 trillion milestone stands out as rising bond yields and tech weakness drag major U.S. indexes lower.",https://finnhub.io/api/news?id=86c71053d3318bd791221663935b35346fc5e66ea3ef88d4f0136ac965345da9
company,1770158429,Why Was the Market Down Today?,138348102,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Several software companies affected by disappointing Microsoft earnings last week, including Atlassian, Datadog and Intuit, fell at least 7%.  Other big tech stocks from Nvidia to Broadcom and Oracle struggled.  Not all tech stocks dropped, however.",https://finnhub.io/api/news?id=179e6a8eee1287c600a6d1c82999902610e9007197cd431c80fe2311c8b51f61
company,1770156780,Software Stocks Have Gotten Crushed. This Chart Says It’s Not Time to Buy Yet.,138348120,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"“Old tech” software names like  Adobe  and  Intuit  are both off more than 40% from their annual peaks.  The weakness is especially glaring on the IGV ETF’s ratio chart versus the  While IGV trades 28% below its most recent 52-week high, the semiconductor ETF is down just 5% from its own annual peak.",https://finnhub.io/api/news?id=e042edc612d116fc3e4433492cd882ae909480a49d18199d72c11e18124497cb
company,1770156540,Software and Legal Services Get Crushed. AI Panic Hits the Market.,138348104,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Worries that Anthropic’s Claude is targeting the legal profession led to another software slump and broader market slide.,https://finnhub.io/api/news?id=f6242f8d5f0cc6cc911c4c7f25b70b609a1c36250dbd30c3f6a06be7854f5156
company,1770156266,"Nasdaq, S&P 500 Log Worst Day in 2 Weeks Amid Tech Sell-Off",138348105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,The Nasdaq Composite and the S&P 500 fell the most in two weeks on Tuesday as investors dumped techn,https://finnhub.io/api/news?id=aa9659769647f2e1bbbc0971e85009425246b293424d3accbc908822cbaaea70
company,1770156000,Ondo brings tokenized U.S. stocks and commodities to MetaMask,138348107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Popular tokenization firm Ondo Finance has expanded access to tokenized U.S. stocks, exchange-traded funds (ETFs) and commodities by integrating Ondo Global Markets directly into MetaMask, a leading self-custodial crypto wallet developed by Consensys. Announced on Feb. 3, the ...",https://finnhub.io/api/news?id=28e0c4f1e130dec9377d19e8e524a31a9b9cce38b744dd9d9f7cf3479642d229
company,1770155683,"US Equity Indexes Slump Amid Sell-Off in Technology, Communication Services",138347331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"US equity indexes dropped on Tuesday as investors reduced exposure to sectors such as technology, wh",https://finnhub.io/api/news?id=0279e239831cbc750c57b113f4d419f6d79e15f3e7decf413c017b65691cca2b
company,1770153705,"How major US stock indexes fared Tuesday, 2/3/2026",138347063,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"The U.S. stock market sank after a mixed day of trading. The S&P 500 fell 0.8% Tuesday. The Dow Jones Industrial Average dipped 0.3%, and the Nasdaq composite lost 1.4%.",https://finnhub.io/api/news?id=c0da1716e7d0570ffd30a871785f47e3a324d4b7ac6f6c1dec6c8a28cd65e303
company,1770153287,"As U.S. Stock Market Wobbles, This Asian Market Knocks It Out Of The Ballpark",138347080,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"The Kospi index is up 25.5% year to date, a world-best performance.  The iShares MSCI South Korea ETF is up more than 27%, also outperforming country-specific ETFs.  The S&P 500, by comparison, has nearly erased its 2026 gains.",https://finnhub.io/api/news?id=80423b67638d80292a6473dfa091c8b296ec6707ae86374bf9d2dc80d86b8c91
company,1770151823,Technology Sell-Off Pushes US Equity Indexes Lower,138347066,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"US equity indexes fell ahead of Tuesday's close amid a sell-off in technology, communication service",https://finnhub.io/api/news?id=7081be32ffc0c1fb6dd7cc2c8571e97e71fa0125b92ae05bee406418c79e8fca
company,1770151754,My Dividend Growth Income: January 2026 Update,138349300,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1324679830/image_1324679830.jpg?io=getty-c-w1536,MSFT,SeekingAlpha,January was a perfect start to 2026 in achieving my dividend growth goals for the year. Check out my latest dividend income update.,https://finnhub.io/api/news?id=66aa5cb1a6914f311402e76cb1c5494153a24605e5f55690bca039cc61ff8d32
company,1770151547,"Nvidia-backed UK AI firm Nscale hires banks for IPO, sources say",138347067,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Nvidia-backed British artificial intelligence group Nscale Global Holdings has hired Goldman Sachs and JPMorgan to ​prepare for an initial public offering, people familiar with the matter said.  Goldman Sachs, JPMorgan and Nscale declined to comment.  The move towards a public listing follows a period in which Nscale has expanded its data center capacity to meet soaring demand for AI computing from customers including Microsoft ⁠and OpenAI.",https://finnhub.io/api/news?id=654966215657735d1b46aa00d98e620a9ceaa1097645986346606f2b25e437ad
company,1770150778,Snowflake Just Struck a $200 Million Deal with OpenAI. What Does That Mean for SNOW Stock Here?,138348125,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Snowflake's deal with OpenAI could be a positive catalyst for SNOW stock. Here's what to know.,https://finnhub.io/api/news?id=d3e757654800aa06e1a8efdbb46ff917305fc853e9c9b8989c8b816b112f26fc
