category,datetime,headline,id,image,related,source,summary,url
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures rise ahead of Google earnings",138351246,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=41f6bae84457b6dfabac244c9e20d67aabec00cab1c9c97e9456ad878475f0d3
company,1770162346,"Stock market today: Dow, S&P 500, Nasdaq futures mostly slip as AMD's slide adds to AI malaise ahead of Google earnings",138348095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Wall Street is seeing investors turn away from AI darlings toward safer investments after a rout in the sector led to losses across major gauges.,https://finnhub.io/api/news?id=322a3e34186a34d5879397b4e687fae8922e97178aee23b60c06ea326eefaf39
company,1770158703,Why Micron (MU) Dipped More Than Broader Market Today,138349114,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Micron (MU) reached $419.42 at the closing of the latest trading day, reflecting a -4.2% change compared to its last close.",https://finnhub.io/api/news?id=60d38a3eedebfc811b27a9c5e551bd20ad723dd464412d4c6fca10e7d26e074d
company,1770145937,Micron’s HBM Pivot And Global Fab Buildout Reshape Its AI Future,138345556,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Micron Technology is rapidly shifting its focus to high-bandwidth memory (HBM) used in AI infrastructure. The company has sold out its entire HBM chip supply for the current year. Micron is expanding capacity with a new wafer fabrication facility in Singapore and pursuing another fab in Taiwan. The company is winding down its Crucial consumer brand as part of a broader reset toward AI focused products. At a share price of $437.8, Micron Technology (NasdaqGS:MU) sits in a very different...",https://finnhub.io/api/news?id=a2442654ed824ca7e816cd0a2f1323135173a98a8d30742dbd45f2e21ea9926e
company,1770143580,Top analyst drops eye-popping new price target on SanDisk stock,138345557,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"SanDisk (SNDK) stock just got one of the most aggressive votes of confidence on Wall Street. Bernstein SocGen Group analyst Mark C. Newman just dropped a jaw-dropping new price target of $1,000 on the memory chip players' stock while keeping an outperform rating. The new target represents a 72.4% ...",https://finnhub.io/api/news?id=5e5b27640839fcf1f8548da9261482cfa8bdbe075bc3186d269d502844b04a52
company,1770140362,How Micron Technology Stock Soared 45% Last Month,138344089,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,What sent Micron shares soaring last month? Two words: AI memory.,https://finnhub.io/api/news?id=a000136b5980ecfdcdb4b049161ad93d054204233042c7b54a4f4bd5b7128ec4
company,1770136620,"The Zacks Analyst Blog Highlights Alphabet, Amazon, ASML, Micron and Lam Research",138345497,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Alphabet and Amazon earnings take center stage as jobs data, a weak dollar and AI chip leaders shape a pivotal week for markets.",https://finnhub.io/api/news?id=e77da6f8326a1981330f38d43b830db70fa7e6b95a1c7eb0c4ca6f7715f0ae5a
company,1770132893,"Bitcoin bounce fails, with price falling back to $77,000 while precious metals renew surge",138343982,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"Silver is higher by nearly 15% on Tuesday, while gold is nearing $5,000 per ounce after a 6.5% gain.",https://finnhub.io/api/news?id=db62c71ef320f6cacb43fd9f55f8f96872284185fbe30c57c77e44e505eef025
company,1770118249,Why investors should consider these 'specialized' tech stocks,138340738,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"The gold (GC=F) and silver (SI=F) sell-off continued into Monday, but has steadied somewhat. CFM head of macro strategy Christian Dery sits down with Market Catalysts host Julie Hyman to discuss silver as it relates to the artificial intelligence (AI) build-out and tech stocks. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=c6a5ef688728edd75f4e07cab678daec7ba8855d0987358ecaaca375db69752d
company,1770106500,Apple CEO Tim Cook Just Gave Great News to Micron Investors,138339999,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,No one mentioned Micron in Apple's latest earnings call. They didn't have to.,https://finnhub.io/api/news?id=fbdae878e469a978cf57a8d56e95675cc833669fc34a0cd4c88805a03b51f582
company,1770096748,Micron: Tailwinds Priced In,138340341,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1415178940/image_1415178940.jpg?io=getty-c-w1536,MU,SeekingAlpha,"Micron Technology (MU) benefits from AI-driven HBM demand, but current valuation fully reflects these tailwinds.",https://finnhub.io/api/news?id=e579db4a02c0e7d7beafc27de7e2f6f49ce9ab8f36f1cc20b67892a98ca90f33
company,1770095185,Micron Technology (MU) Is Up 6.7% After Launching $24 Billion Singapore NAND Megafab Project,138339006,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,"In late January 2026, Micron Technology broke ground on a new advanced wafer fabrication facility within its Singapore NAND complex, a planned US$24.00 billion, 10‑year project that will add 700,000 square feet of cleanroom space to support AI- and data-driven NAND demand from the second half of 2028. This double‑story fab, integrated into Micron’s NAND Center of Excellence alongside its upcoming high‑bandwidth memory packaging plant, underscores how co‑located R&D and manufacturing are...",https://finnhub.io/api/news?id=fc8acd8127d76c5ea0e18ab5d56037a6c38797f82dbc726d9af6ecb5cef9a715
company,1770085200,"AI Memory Boom Squeezes Legacy DRAM Supply, Pushing Prices Higher",138339350,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2214693325/image_2214693325.jpg?io=getty-c-w1536,MU,SeekingAlpha,"High-bandwidth memory, or HBM, has become one of the most lucrative niches in semiconductors, benefiting from explosive demand linked to AI model training and inference.",https://finnhub.io/api/news?id=12510390bbf127eb52f9edb6a3708b264ac7c361d1a6ca2a908a80548b0da4a0
company,1770083400,Is Micron the Next Nvidia?,138337966,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MU,Yahoo,Micron is an industry leader in high-bandwidth memory (HMB) chips.,https://finnhub.io/api/news?id=67f79aa09c8ceb918a90be66e24539fc0252c7875f4e1a20e900b16ce7edb454
