category,datetime,headline,id,image,related,source,summary,url
company,1770160582,ServiceNow Deepens AI Agent Push As Shares Trade Below Valuation Estimates,138348271,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow (NYSE:NOW) is deepening its focus on AI-driven workflows through new large-scale customer collaborations and expanded AI partnerships. The company has broadened its work with Anthropic to embed Claude AI models into core ServiceNow workflows, enabling more autonomous, agent-powered enterprise applications. ServiceNow and Anthropic are launching what they describe as an industry first agentic workflow initiative, targeting end to end automation across complex business...",https://finnhub.io/api/news?id=1aa645ed8de24b021fabbb9624cc6b39ee591cc631361e55ce8048c2c4072879
company,1770148283,Why ServiceNow (NOW) Shares Are Sliding Today,138347273,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Shares of enterprise workflow automation company ServiceNow (NYSE:NOW) fell 7.4% in the afternoon session after fears of disruption from artificial intelligence spooked investors, leading to a broad-based sell-off. The market witnessed a ""basket-style reaction,"" a term for when investors reduce exposure to an entire segment without differentiating between individual company business models. The negative sentiment was widespread, pulling down all of the Magnificent Seven stocks and sending the S&",https://finnhub.io/api/news?id=7a4e6c9b08ff754a70f1839736490f5819e0ed3e2f65ecba743b0fd040d351de
company,1770145769,"Software stocks take hit, Capri sinks on expected tariff impacts",138345637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Yahoo Finance Host Josh Lipton tracks today's top moving stocks and biggest market stories in this Market Minute, including the hit that software stocks are taking and Capri Holdings shares (CPRI) sinking despite topping fiscal third quarter earnings estimates. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=ff11bf07b7a5b61452c81c2c6c6151e55669b9bdf6915165536555ca7813c271
company,1770142492,"Stock Market Today, Feb. 3: Software stocks landslide after PayPal's poor earnings; Nasdaq falls 1%",138345522,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here. Happy Tuesday. This is TheStreet’s Stock Market Today for Feb. 3, 2026. You can follow the latest updates on the market ...",https://finnhub.io/api/news?id=bcaf7b7c74f050e6f3aeed94d773ad561aa3feb85a712eff247db159c2c9fd0c
company,1770139809,"Dow Hits Record, Nasdaq Sinks as Tech Stocks Retreat",138343975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Nvidia and Microsoft Slide, Palantir Surges on Strong Q4 Earnings",https://finnhub.io/api/news?id=e1257a96afb9f3730646328307c04196b8e3a239da223c32cdd1ed7d5d6505dc
company,1770136070,Why Bernstein Calls ServiceNow (NOW) a Discount Large-Cap Growth Stock,138344254,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"​ServiceNow, Inc. (NYSE:NOW) is one of the 10 AI Stocks Gaining Attention on Wall Street. On January 30, Bernstein SocGen Group analyst Peter Weed reiterated an Outperform rating on the stock with a $219.00 price target. The firm believes the stock is undervalued and that H2 AI token renewals are an upside catalyst. Bernstein called ServiceNow […]",https://finnhub.io/api/news?id=fa1456822348fc41d77c114672356ca8e29fd875ea545983ac3fe09e90e8d2d4
company,1770123600,Blackfoot Communications Selects Aria Systems to Support ServiceNow-Based Transformation,138341760,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"SAN FRANCISCO, February 03, 2026--Aria Systems, the leader in AI-powered billing automation, today announces that Blackfoot Communications, a Montana-based communications service provider (CSP), has selected Aria to modernize its billing operations as it consolidates its technology stack onto the ServiceNow AI Platform. The solution will be implemented by global systems integrator Prodapt.",https://finnhub.io/api/news?id=3f66ffcaed23843e67422729690e956f1d8d73ed08737f54d6317ad058b448cf
company,1770123600,RightCrowd Joins ServiceNow Partner Program to Deliver Integrated Security Solutions,138341759,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"NEW YORK, February 03, 2026--RightCrowd today announced its partnership as a ServiceNow Build Partner to deliver physical identity and access management (PIAM) capabilities to the ServiceNow AI Platform. The collaboration enables RightCrowd to extend its proven PIAM expertise with some of the world’s largest companies to ServiceNow customers, helping organizations unify physical and digital security management within a single enterprise platform.",https://finnhub.io/api/news?id=2b9418badb773d4eb842f4ce5027f4c161d23b8883cbdfd803f748daa0e6e43a
company,1770119820,Palantir Is a Rare AI Software Success. Markets Need More of Them.,138341536,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Elon Musk combines SpaceX and xAI, strategic mineral stockpile aims to cut China reliance, Oracle tests investors’ AI appetite, and more news to start your day.",https://finnhub.io/api/news?id=b931ca1a1d2bc98790f32c86dd6a30f233a74b447c74f468eb0bd00751becc21
company,1770119739,Analysts Stay Bullish on ServiceNow (NOW) After Earnings Report,138341762,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow, Inc. (NYSE:NOW) is one of the 10 Best AI Software Stocks to Buy Right Now. On January 30, Bernstein reiterated its Outperform rating on ServiceNow, Inc. (NYSE:NOW) with a price target of $219 after a sharp market sell-off. Bernstein said that ServiceNow, Inc. (NYSE:NOW) now presents a “discount large cap growth” opportunity, pointing out […]",https://finnhub.io/api/news?id=e3f90c0e0fd865ce01dd753726f0d0b6a253cc02a63e88795d8af49af5afe342
