category,datetime,headline,id,image,related,source,summary,url
company,1770159781,"Stocks to Watch Tuesday Recap: PayPal, PepsiCo, AMD, Disney",138348174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"↘️ Pfizer (PFE): The drugmaker reported lower quarterly sales and swung to a loss, as demand for its Covid-19 vaccine and antiviral drug continued to decline. Shares fell 3.3%. ↘️ NXP Semiconductors (NXPI): The Dutch chip maker reported higher quarterly sales and guided for further revenue growth, as management sees rising demand.",https://finnhub.io/api/news?id=09dd4eda51b4ab852c2a3785493d6a1d83c5c96a459c148549afaf333ea57587
company,1770145327,NXP Semiconductors NV (NXPI) Q4 2025 Earnings Call Highlights: Strong Revenue Growth and ...,138345734,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"NXP Semiconductors NV (NXPI) reports a robust Q4 with a 7% revenue increase, while navigating market challenges and strategic divestitures.",https://finnhub.io/api/news?id=0a8a97e4c34bae772f3100e38846f7671e7fc98a04206202f49d92e116f1dec1
company,1770140415,NXP Semiconductors: Undervalued Leverage To An Eventual Recovery (Upgrade),138347767,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1490072254/image_1490072254.jpg?io=getty-c-w1536,NXPI,SeekingAlpha,"NXP Semiconductors is upgraded to ""Buy"" since lean inventories and recovery could lift revenue, margins, and fair value. Here's what you need to know.",https://finnhub.io/api/news?id=70cdc420788c46c2160a884c31c636e11578248477d0170beb8a22ee4887c49e
company,1770140304,NXP Semiconductors Q4 Earnings Call Highlights,138344348,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"NXP Semiconductors (NASDAQ:NXPI) reported fourth-quarter 2025 results that management characterized as “solid,” with revenue, operating margin and earnings per share landing above or in line with guidance as demand improved across end markets. Executives also used the call to outline strategic portf",https://finnhub.io/api/news?id=7fe8289552b852c8b30fb26a4abb47c3057b7ae07cbae9aa502b14fc27dfdeec
company,1770139568,NXPI Q4 Deep Dive: Automotive and Industrial Growth Offset by Portfolio Shifts and Market Skepticism,138345735,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"Chip manufacturer NXP Semiconductors (NASDAQ: NXPI) reported Q4 CY2025 results beating Wall Street’s revenue expectations, with sales up 7.2% year on year to $3.34 billion. Guidance for next quarter’s revenue was better than expected at $3.15 billion at the midpoint, 1.5% above analysts’ estimates. Its non-GAAP profit of $3.35 per share was 1.2% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=6403703a00fd265aa8ef5734a7acc76fa70975cfa9a99b3895150f2b59a0fa9d
company,1770137436,Why NXP Semiconductors (NXPI) Shares Are Getting Obliterated Today,138344349,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"Shares of chip manufacturer NXP Semiconductors (NASDAQ: NXPI) fell 7.8% in the morning session after the company reported fourth-quarter results that, despite beating headline estimates, appeared to raise concerns over its underlying business health. While revenue and earnings per share for the quarter surpassed analysts' expectations, investors seemed to focus on other details in the report.",https://finnhub.io/api/news?id=fa7ab7e87c7bd2b85987931d33649b33b429d44e5448880cbb713d6a8367aa16
company,1770124980,NXP Semiconductors' Q4 Earnings and Revenues Beat Estimates,138342670,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"NXPI beats Q4 estimates as EPS rises 5% and revenues climb 7%, with Automotive, Industrial & IoT and Mobile driving growth.",https://finnhub.io/api/news?id=b72dfc3e3fde2defd8647f9505380a5c7eebbc2e17c40241fc8a31f92c1e77f3
company,1770121712,"Stocks making the biggest moves midday: Novo Nordisk, Palantir, AES, Rocket and more",138343772,https://image.cnbcfm.com/api/v1/image/108148976-1747858658246-gettyimages-2212016183-NOVO_WEGOVY.jpeg?v=1770137875&w=1920&h=1080,NXPI,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=a53a6099b9c67cd40818d46413af8bd4232c635f028b007d9e048e2abf895c05
company,1770120977,Stocks Mostly Rise Pre-Bell as Investors Await Latest Round of Corporate Earnings,138341612,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,US equity futures were mostly pointing higher on Tuesday as traders await a fresh batch of corporate,https://finnhub.io/api/news?id=a4b55d3dfcdc527e15b9028fa2e3c93b8426e666df2a78822f6203e6d77b68b3
company,1770120717,Texas Instruments: Cautiously Optimistic From Here,138343468,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173014771/image_1173014771.jpg?io=getty-c-w1536,NXPI,SeekingAlpha,"Texas Instruments Incorporated Q4 update: data center growth, margin upside and 2026 capex outlook. Click for this earnings update of TXN stock.",https://finnhub.io/api/news?id=e06abc592a961c08178e3b712fd2bcc1a2e941e77a1a1e523b925d78b4604803
company,1770120034,NXP Semiconductors N.V. (NXPI) Q4 2025 Earnings Call Transcript,138343431,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NXPI,SeekingAlpha,"NXP Semiconductors N.V. (NXPI) Q4 2025 Earnings Call February 3, 2026 8:00 AM ESTCompany ParticipantsJeff Palmer - Senior Vice President of Investor...",https://finnhub.io/api/news?id=87f38d7cdd666f78c15692b2638749ba830cba29b7cc115d9c6f2f7fdbf042ae
company,1770117472,NXP Semiconductors Issues Upbeat Guidance as Fourth-Quarter Results Top Expectations,138340795,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"NXP Semiconductors (NXPI) issued an upbeat first-quarter outlook at the midpoint, while the Dutch ch",https://finnhub.io/api/news?id=afbf1b58beea2cb0fdd152b88ecabfed77c665f38e7839cc7f2a224acb02b862
company,1770114300,"These Stocks Are Today’s Movers: Palantir, Teradyne, Tesla, AMD, NXP Semiconductors, and More",138340729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,"Stock futures were rising Tuesday as Palantir’s strong earnings injected renewed optimism around the artificial-intelligence trade.  Palantir Technologies  jumped 10% in premarket trading after the company, which sells artificial-intelligence software to manage and analyze large amounts of data, reported better-than expected fourth-quarter adjusted earnings.  Revenue jumped 70% from a year earlier to a record $1.41 billion on strong demand for its AI technology.",https://finnhub.io/api/news?id=05e315ff42909f414aaf1b2be1483a82fec257f9218cec2501d4538edd3a8ce0
company,1770110545,"Trending tickers: Disney, Palantir, NXP, bitcoin and AG Barr",138340039,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NXPI,Yahoo,The latest investor updates on stocks that are trending on Tuesday,https://finnhub.io/api/news?id=ee827e8924c962ffda55880011b2e8ed34840b91c2eff1d90b1a52f0b2ba95ad
