category,datetime,headline,id,image,related,source,summary,url
company,1770159781,"Stocks to Watch Tuesday Recap: PayPal, PepsiCo, AMD, Disney",138348174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"↘️ Pfizer (PFE): The drugmaker reported lower quarterly sales and swung to a loss, as demand for its Covid-19 vaccine and antiviral drug continued to decline. Shares fell 3.3%. ↘️ NXP Semiconductors (NXPI): The Dutch chip maker reported higher quarterly sales and guided for further revenue growth, as management sees rising demand.",https://finnhub.io/api/news?id=09dd4eda51b4ab852c2a3785493d6a1d83c5c96a459c148549afaf333ea57587
company,1770152615,Pfizer Inc (PFE) Q4 2025 Earnings Call Highlights: Strategic Acquisitions and Revenue Guidance ...,138347242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Despite a decline in COVID-19 product revenues, Pfizer Inc (PFE) expands gross margins and outlines transformative growth strategies for 2026.",https://finnhub.io/api/news?id=f5d81dba6254721acbc70af3cc13a661038967114cc1c866886ffb674886d454
company,1770148649,These Are The Worst 25 Stocks to Own in February,138345699,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Biogen stock tends to disappoint in February,https://finnhub.io/api/news?id=4ea5354df6101b8335eae9361e6c50048afe8d2d0303349a30e64ba88dde8e64
company,1770148121,Obesity Drug Bets Get a Reality Check—but Investors Shouldn’t Panic,138347127,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Novo Nordisk pre-announced weaker-than-expected guidance, forecasting a 5% to 13% decline in constant-currency sales this year, citing pricing pressure and intensifying competition.  Earlier Tuesday, Pfizer reported underwhelming data for its once-monthly obesity injection, raising fresh doubts about the Metsera acquisition it announced last year, and whether it will be enough to support a blockbuster competitor to the Lilly and Novo injections.  Pfizer shares fell 3.2%, while Novo Nordisk’s American depositary receipts plunged 15%.",https://finnhub.io/api/news?id=4e3a3867cd2a9be5301e0b0e447bd68f31a093fc277bb8c5499383a9b8f64eeb
company,1770146669,"Stock market today: Dow, Nasdaq, S&P 500 sink as tech falters amid flood of earnings",138345457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Stocks are leaning higher following a strong start to February trade.,https://finnhub.io/api/news?id=17ac8e4ee9280d36440b1ab79d9a814eb658cd852c1518fa96b1b48e9bc56159
company,1770145575,Pfizer is at 'the end of the beginning' in entry to GLP-1s: CEO,138345675,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Pharmaceutical giant Pfizer (PFE) released its fourth quarter earnings results that topped Wall Street's expectations on its top and bottom lines. The stock is coming under some pressure on Tuesday despite the positive earnings release. Pfizer chairman and CEO Albert Bourla joins Julie Hyman on Market Domination to talk more about Pfizer's timeline for a GLP-1 obesity drug and the company's other pharmaceutical products in its pipeline, especially after acquiring Metsera in November 2025. To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=b1167ce2acedb7f9a44b1362bc2c1673ef104cd31521f9952ac6dc0863c7122e
company,1770145167,Pfizer sets sights on R&D strategy amid modest FY25 results,138345676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"As 2025 results reveal a mixed year for Pfizer, the company is looking to turn its fortunes around with newly acquired Metsera's obesity assets.",https://finnhub.io/api/news?id=61944ef22c371dab2afb526135b1dcf6f4c0c08677d124a3eeb427845667e4f6
company,1770140007,"Stock market today: Nasdaq, S&P 500 slide as investors digest flood of tech earnings, government shutdown",138343974,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Stocks are leaning higher following a strong start to February trade.,https://finnhub.io/api/news?id=4e134790a16684e7be9c4fa2143cce4a02687063eaa645b1cab6b84dfac21a66
company,1770139347,Pfizer Releases Early Obesity Data Showing Up to 12.3% Weight Loss,138344220,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,The drugmaker shared limited early results from a Metsera obesity treatment as investors weigh its $10 billion acquisition and declining Covid sales.,https://finnhub.io/api/news?id=00b159e83422e4b048819f1ff4f0c70f3eb986c3fec0c19f56392a41faa6df8b
company,1770138907,Pfizer Fourth-Quarter Earnings Unexpectedly Rise; COVID-19 Product Sales Plunge,138344070,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Pfizer's (PFE) fourth-quarter earnings unexpectedly increased year over year, although the pharmaceu",https://finnhub.io/api/news?id=eaf3b0320346d4f9af0f8bbf540845a0aa1ac9a6ea70b6e423a04c3c6df20fb4
company,1770138322,Pfizer Dives; Why Lilly's Zepbound Still Looks Like The Weight-Loss Heavyweight,138344071,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,An analyst says Eli Lilly's Zepbound still looks like the heavyweight in weight loss compared to Pfizer's injection.,https://finnhub.io/api/news?id=953b8a82a1d8001b11b9c5d344aa9550a048c331cdd4bbfae58b2d9288dbc8ed
