category,datetime,headline,id,image,related,source,summary,url
company,1770162900,Is e.l.f. Beauty Stock a Hidden Gem in the Cosmetics Aisle?​,138348347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,E.l.f. Beauty is growing its top line rapidly by attracting cost-conscious consumers.,https://finnhub.io/api/news?id=9ac525057c15c35def28fc4bbc3e2c3353bfd91ceeee8754d9ed9ff75b7b84b7
company,1770158943,Tracking AMG's Yacktman Asset Management Portfolio - Q4 2025 Update,138349690,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/186805810/image_186805810.jpg?io=getty-c-w1536,PG,SeekingAlpha,"Yacktman Asset Managementâs Q4 2025 13F: top holdings, key trims (CNQ, CTSH, STT, WBD) and new EWY stakeâsee portfolio moves now.",https://finnhub.io/api/news?id=c3d00a94f9edf09480d54dde61e8e7b9660082ba5f1582705b7fa28bbfde7fd2
company,1770154211,PepsiCo CEO reveals how he is tackling weight-loss drugs and consumer affordability challenges,138347130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,PepsiCo CEO Ramon Laguarta weighs on key stock-moving ingredients.,https://finnhub.io/api/news?id=a92aa033d996f4a08cbbccd33592f6e981352850c09022c0dcc6110264808451
company,1770141783,"PepsiCo to cut prices of Lay's, Doritos as consumers push back",138344894,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"STORY: Shares of PepsiCo rose Tuesday after the company said it will cut prices by up to 15% on core brands such as Lay's and Doritos starting this week.The move comes after a consumer backlash against several previous price hikes, with the CEO of Pepsi's U.S. Foods division saying its customers are ""feeling the strain.""Rival Coca-Cola and consumer giant Procter & Gamble have also lowered prices to safeguard market share amid still-elevated inflation and delayed food stamp benefits for lower-income families.Packaged food companies are also in for a reckoning this year as the popularity of appetite suppressing weight-loss drugs increases and brands look for ways to keep consumers interested in snacks and sodas.Pepsi's CEO said that portion control was the way to keep PepsiCo's categories relevant, adding that more than 70% of the company's U.S. food product line was in single-serve packages, a strategy he said was ""critical"" for growth.The company is also refreshing key brands such as Quaker, Gatorade and Tostitos to focus on low sugar or no-artificial-ingredients to attract younger households with children.Meanwhile, Pepsi is in the midst of an aggressive cost-cutting plan across its entire business after pressure from activist investor Elliott Management, and several quarters of weak sales in the key North America market.",https://finnhub.io/api/news?id=89679ab8a4923473f87dfbdfadb898ae8450b3e3bac4844ddb54989ab04e0f74
company,1770137016,Billionaire activist investor Peltz open to more buyouts,138344102,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"By David French WEST PALM BEACH, Florida, Feb 3 (Reuters) - Nelson Peltz is looking to go back to his roots with Trian Fund Management and could buy more companies outright in the future, the",https://finnhub.io/api/news?id=7ad9a8e6ebf785a63514b3dca26297783c488e8a65b4a4745a1b0969509a24bc
company,1770136721,Graphic Packaging (GPK) Earnings Transcript,138344103,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Robert Reebroek: Thank you, Mark.  Before we review our results, I would like to take a few minutes to introduce myself and share my perspective on the opportunities I see for Graphic Packaging.  Over that time, I've held leadership roles at Procter and Gamble, PepsiCo, Kimberly Clark, and Primo Brands where I gained experience operating complex businesses with global manufacturing, and supply chains and building consumer brands at scale.",https://finnhub.io/api/news?id=8e44838517382c01a73b39966baaf8cbcac0814a8c7a9dfdb341a12622580684
company,1770130357,"Walmart Joins $1 Trillion Club as Tech, Frugal Shoppers Fuel Gains",138342459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"The stock rose as much as 1.6% as of 9:45 a.m. in New York trading, reaching an intraday record of $126 per share and lifting its market value to just over $1 trillion, according to data compiled by Bloomberg.  The Bentonville, Arkansas-based chain — a longtime favorite of bargain-hunting consumers — has flexed its massive scale and supplier network to keep prices low and grab market share across the income spectrum.  While Walmart has maintained its appeal to households looking for value, its online offerings are drawing new, wealthier shoppers seeking convenience.",https://finnhub.io/api/news?id=51d001dbb7e512b872e21d793169d9c6513bbdca5b84f39d621e34d7962052f9
company,1770124140,New Graphic Packaging CEO announces ‘comprehensive business review’,138344682,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Footprint optimization and a structural reorganization are on the table during a transformational period, said CEO Robbert Rietbroek. Plus, the company is examining the cause of construction cost overruns at its new mill in Texas.",https://finnhub.io/api/news?id=e672df1080b35791bd48ce2b47eba2b3b0861f526e59b3ebba2c1c8b4895dc9f
company,1770123960,"Old Spice Delivers ""Unrivaled Freshness"" with Immersive Fan Experience at Super Bowl LX in San Francisco",138341621,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"CINCINNATI, February 03, 2026--Old Spice, The Greatest Smell in the NFL, brings fans the ""Unrivaled Freshness Experience"" to San Francisco's Embarcadero Plaza as part of Super Bowl LX week festivities. Upon entering a 53-foot rolling fortress of freshness, visitors will walk through several interactive locker room scenes providing shareable photo moments and new Old Spice product showcases that will make them feel like they are about to step on the field on Sunday. Fans will get an in-person sce",https://finnhub.io/api/news?id=f735818a22d71df140b953a23b5bdac1f1a92f5d9d7585018290ae7b0da5a630
company,1770121149,"PepsiCo to cut prices on Lay's, Doritos as consumers push back",138341622,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,By Juveria Tabassum Feb 3 (Reuters) - PepsiCo would cut the prices of core brands such as Lay's and Doritos in the U.S. by up to 15% after several quarters of price hikes based on consumer feedback on,https://finnhub.io/api/news?id=99f54387eb983d35f947094f6c7ff9ecab833236765603347142e3e867703ac0
