category,datetime,headline,id,image,related,source,summary,url
company,1770162209,"Stock Market Today, Feb. 3: PayPal Plunges After Earnings Miss and Weak 2026 Profit Outlook",138348314,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Today, Feb. 3, 2026, investors are weighing a rare earnings stumble against fresh leadership, buybacks, and a balance-sheet reset.",https://finnhub.io/api/news?id=31f57aeca6b012b1f7e1c8de313281245fa283ec25de0441450167e18051bbcf
company,1770160064,PayPal Q4 Earnings Call Highlights,138348099,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PayPal (NASDAQ:PYPL) used its fourth-quarter and full-year 2025 earnings call to outline a leadership transition, review results across its diversified portfolio, and acknowledge slower-than-expected progress in modernizing online branded checkout—an area executives described as central to profitabi",https://finnhub.io/api/news?id=5b3f890eb6afa26702e586302e7d544e856a3147ca68d289529343c74ea03db2
company,1770159781,"Stocks to Watch Tuesday Recap: PayPal, PepsiCo, AMD, Disney",138348174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"↘️ Pfizer (PFE): The drugmaker reported lower quarterly sales and swung to a loss, as demand for its Covid-19 vaccine and antiviral drug continued to decline. Shares fell 3.3%. ↘️ NXP Semiconductors (NXPI): The Dutch chip maker reported higher quarterly sales and guided for further revenue growth, as management sees rising demand.",https://finnhub.io/api/news?id=09dd4eda51b4ab852c2a3785493d6a1d83c5c96a459c148549afaf333ea57587
company,1770158653,"Stock Market Today, Feb. 3: Nasdaq Tumbles 1.4% as AI Fears Grow",138348101,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Today, Feb. 3, 2026, Walmart’s $1 trillion milestone stands out as rising bond yields and tech weakness drag major U.S. indexes lower.",https://finnhub.io/api/news?id=86c71053d3318bd791221663935b35346fc5e66ea3ef88d4f0136ac965345da9
company,1770156266,"Nasdaq, S&P 500 Log Worst Day in 2 Weeks Amid Tech Sell-Off",138348105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,The Nasdaq Composite and the S&P 500 fell the most in two weeks on Tuesday as investors dumped techn,https://finnhub.io/api/news?id=aa9659769647f2e1bbbc0971e85009425246b293424d3accbc908822cbaaea70
company,1770155683,"US Equity Indexes Slump Amid Sell-Off in Technology, Communication Services",138347331,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"US equity indexes dropped on Tuesday as investors reduced exposure to sectors such as technology, wh",https://finnhub.io/api/news?id=0279e239831cbc750c57b113f4d419f6d79e15f3e7decf413c017b65691cca2b
company,1770155098,US Equity Markets Lower Amid Technology-Led Selloff,138347332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,US equity indexes ended lower Tuesday in a selloff led by a steep decline in technology stocks and t,https://finnhub.io/api/news?id=f060d6cd2e86b90655c25862d28973c933e43170d717896f0dd27b0451418dce
company,1770154212,Struggling PayPal Hires New CEO. Is Company Break-Up Coming?,138347076,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PayPal stock plunged after the digital payments firm a brought in a new chief executive. Enrique Lores will replace Alex Chriss, a former Intuit executive.",https://finnhub.io/api/news?id=edd35adc5fc9ec0cfa2d58e732b53d3b18881440bdcb85e64dcd4abff016bc83
company,1770152880,Morgan Stanley Thinks This Stock Is the ‘Best Fintech Asset’,138348319,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"SoFi stock is upgraded to Overweight from Neutral at J.P. Morgan, but Morgan Stanley has a different favorite.",https://finnhub.io/api/news?id=a6548ecdacf15daf4c6b99ee30a8045eb7c5210289b1e2def277f4a57e7e88e7
company,1770152541,PayPal Stock Is Now Deep in Oversold Territory. Should You Buy the Dip After 8-Day Losing Streak?,138348362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,PayPal named a new CEO as Q4 earnings and full-year guidance missed Wall Street estimates. Here’s why PYPL stock isn’t worth buying despite its historically cheap valuation.,https://finnhub.io/api/news?id=87e70e66fe75694773d86670cefb77ece1e0f96cfbf905bd4173feaeea6f74ff
company,1770151844,Sector Update: Financial Stocks Decline Late Afternoon,138347149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Financial stocks were decreasing in late Tuesday afternoon trading, with the NYSE Financial Index sh",https://finnhub.io/api/news?id=942c98b650d3bbabecb244c4ae20a9f5125ee655e128d70886486b506c7d182f
company,1770151823,Technology Sell-Off Pushes US Equity Indexes Lower,138347066,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"US equity indexes fell ahead of Tuesday's close amid a sell-off in technology, communication service",https://finnhub.io/api/news?id=7081be32ffc0c1fb6dd7cc2c8571e97e71fa0125b92ae05bee406418c79e8fca
company,1770150639,Why PayPal (PYPL) Stock Is Nosediving,138347336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Shares of digital payments platform PayPal (NASDAQ:PYPL) fell 19.8% in the afternoon session after the company reported fourth-quarter 2025 results that missed Wall Street's expectations for both revenue and earnings. The digital payments company posted revenue of $8.68 billion, a 3.7% increase year on year, but this fell short of analyst estimates of $8.78 billion. Its adjusted earnings per share of $1.23 also missed the consensus forecast of $1.29. While PayPal's pre-tax profit margin improved",https://finnhub.io/api/news?id=ee9c3a8a437cf73a5d4884bb9d9fa3e42fa234b08b14ab5d834897fc38d812c2
company,1770149880,PayPal Earnings Revealed Many Problems. A New CEO Can’t Keep the Stock From Tumbling.,138347337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PayPal Holdings  made a splash Tuesday as it attempts to engineer a turnaround, replacing CEO Alex Chriss with current  HP Inc.  Chief Executive Enrique Lores.  Lores, who has served as HP’s CEO since 2019, will take the helm on March 1.  Jamie Miller, PayPal’s chief financial and operating officer, will serve as interim CEO for the rest of the month.",https://finnhub.io/api/news?id=5ebdd127637b8bfdbc7535963fec71e5a2610e3bc9d881a4aa0e8b9c558d1f76
company,1770147223,"Bitcoin Plummets to 15-Month Low as Crypto, Stock Prices Tumble",138345752,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"The price of Bitcoin nearly touched $73,000 on Tuesday for the first time since November 2024 as investors flee risk assets.",https://finnhub.io/api/news?id=a15f0684cc55dc68a90d1da19aa27b3233548bb426d65c65c00294a16d47b2fd
