category,datetime,headline,id,image,related,source,summary,url
company,1770152400,RTX's Pratt & Whitney Canada Signs APS5000 Maintenance Agreement with Scoot,138347187,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Pratt & Whitney Canada has signed a 15-year maintenance agreement with Scoot, the low-cost subsidiary of Singapore Airlines (SIA) for 24 APS5000 auxiliary power units (APUs) on Scoot's fleet of Boeing 787 Dreamliner passenger jets. Pratt & Whitney is an RTX (NYSE: RTX) business.""This new contract builds on the longstanding relationship we have developed with Scoot,"" said Anthony Rossi, vice president, Customer Service, Pratt & Whitney Canada. ""The maintenance solutions we provide our customers h",https://finnhub.io/api/news?id=4d0f691697d391368213ca71d8cdbf40ef266aedd0ff18ec702dc664f95748b6
company,1770152400,RTX's Collins Aerospace activates advanced connectivity services for Thai Airways fleet of A321neos,138347186,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Thai Airways has selected Collins Aerospace, an RTX (NYSE: RTX) business, to deploy its flight operations and maintenance exchanger (FOMAX) system to its growing fleet of A321neo aircraft. A part of Collins' GlobalConnect℠ managed services program, FOMAX delivers real-time data to pilots, maintenance departments and back offices, improving situational awareness, predictive maintenance and fleet efficiency.",https://finnhub.io/api/news?id=50be0adb178b655868265854028a52347c4ab93c4e40e8f00794e6fd4477b58b
company,1770138720,Defense ETFs in Focus: Q4 Earnings & 2026 Spending Boost,138345619,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Defense ETFs draw attention as rising global tensions, record budgets and fourth-quarter 2025 earnings shape 2026 outlook.",https://finnhub.io/api/news?id=210b1ca32b025c642e8acab912e50b74034f3546e7a36bd04110b102374cd3ba
company,1770137340,RTX Secures a $1.03B Contract to Supply LTAMDS System to U.S. Army,138345620,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX lands a $1.03B U.S. Army deal for its LTAMDS radar, strengthening long-term revenue visibility and reinforcing its role in advanced air and missile defense.",https://finnhub.io/api/news?id=9e016551f76b82647a7cc944a7229bad61837c06867f77c7548e21488de3ddb3
company,1770111265,Here’s What Analysts Think About RTX Corporation (RTX),138340056,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX Corporation (NYSE:RTX) is one of the best long term low volatility stocks to invest in. RTX Corporation (NYSE:RTX) announced its 2025 results and 2026 outlook on January 27, reporting sales of $24.2 billion for fiscal Q4 2025, up 12% compared to the prior year and up 14% organically. Sales for the full year 2025 […]",https://finnhub.io/api/news?id=b038c396599d6c23eb6d94a5fd48aef3a26739efa198bb2d0e6dba1491fbbd17
company,1770102000,RTX's Collins Aerospace and All Nippon Airways renew FlightSense™ and MRO contracts,138339508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Collins Aerospace, an RTX business (NYSE: RTX), and All Nippon Airways (ANA) have signed two separate FlightSense™ renewal agreements today in a signing ceremony at the Singapore Air Show.",https://finnhub.io/api/news?id=a0fd3cdfb28bdf6422c8eef1a7caeb788762ebf5aa222d355887ec81eb8b94a5
company,1770098400,RTX's Collins Aerospace extends FlightSense™ contract with Singapore Airlines for Boeing 777F fleet,138339509,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Collins Aerospace, an RTX business (NYSE: RTX), has signed an agreement to extend the FlightSense™ services with Singapore Airlines for its Boeing 777 fleet. The agreement provides for five additional years and will cover a total of 27 aircraft, including five Boeing 777F aircraft that have been added to the program.",https://finnhub.io/api/news?id=c6796076c7215d014d3838e4de076f439f9944f758946bd64621175be23c7fca
company,1770096957,5 Revealing Analyst Questions From RTX’s Q4 Earnings Call,138340057,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Raytheon's Q4 results were met with a positive market response, driven by robust growth across its commercial and defense businesses. Management pointed to double-digit gains in commercial original equipment and aftermarket sales, as well as increased defense orders and backlog, as the primary contributors. CEO Chris Calio highlighted progress in operational execution, with output rising notably in critical programs and backlog reaching a record $268 billion. Additionally, investments in capacit",https://finnhub.io/api/news?id=8364f2c307050f9f023cb785c750ceabcce79f5c6db6b9d6f9cabe7098fe847f
company,1770094800,"RTX to invest $139 million in Singapore, signing multiple MOUs with Economic Development Board",138339013,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Today at the Singapore Air Show, RTX (NYSE: RTX) signed multiple memoranda of understanding with the Singapore Economic Development Board (EDB), further strengthening its long-term commitment to the country's aerospace ecosystem. These MOUs build on the first agreement announced in July 2025 and underscore RTX's confidence in Singapore as a strategic hub for advanced aerospace manufacturing; maintenance, repair and overhaul; and high-value engineering capabilities.",https://finnhub.io/api/news?id=7d4d7f886fb1fff0f6e02660d2a05c35a2badcb326c3e030e53c099c0aa82c24
company,1770085747,RTX Corporation (RTX): A Bull Case Theory,138338529,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"We came across a bullish thesis on RTX Corporation on Arya’s Substack by Arya. In this article, we will summarize the bulls’ thesis on RTX. RTX Corporation’s share was trading at $199.88 as of January 29th. RTX’s trailing and forward P/E were 40.21 and 30.03 respectively according to Yahoo Finance. RTX Corporation, an aerospace and defense company, provides systems and […]",https://finnhub.io/api/news?id=d9d7bf175accd010e1995c18d1479ac4f3ee2d97db7d2c24bf812a8c58bd7b07
