category,datetime,headline,id,image,related,source,summary,url
company,1770160065,Teradyne Q4 Earnings Call Highlights,138348335,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"Teradyne (NASDAQ:TER) reported a strong fourth quarter to close out 2025, driven largely by accelerating demand tied to artificial intelligence applications across its semiconductor test, product test, and robotics businesses. Management said both revenue and earnings exceeded the high end of the co",https://finnhub.io/api/news?id=a066cb17cab288a10b0882473290b011899fd1aeb4a7511c318811fec5ded3f8
company,1770156966,TER Q4 Deep Dive: AI Demand and Market Share Gains Drive Outlook Shift,138351385,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"Semiconductor testing company Teradyne (NASDAQ:TER) announced better-than-expected revenue in Q4 CY2025, with sales up 43.9% year on year to $1.08 billion. On top of that, next quarter’s revenue guidance ($1.2 billion at the midpoint) was surprisingly good and 25.8% above what analysts were expecting. Its non-GAAP profit of $1.80 per share was 30.1% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=a65b547c1ba6c0a25f114f27ea4731f647694b9a427740fe5ddcbd004141aefc
company,1770152575,Teradyne Inc (TER) Q4 2025 Earnings Call Highlights: Strong Revenue Growth and AI-Driven Success,138347364,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,Teradyne Inc (TER) reports robust fourth-quarter performance with significant gains in AI-driven revenue and strategic market positioning.,https://finnhub.io/api/news?id=a232c7fc0d00036587b6e3b81af54977afebc552fb3d055daac234ce21d56193
company,1770136828,"Teradyne, Inc. (TER) Q4 2025 Earnings Call Transcript",138346970,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TER,SeekingAlpha,"Teradyne, Inc. (TER) Q4 2025 Earnings Call February 3, 2026 8:30 AM ESTCompany ParticipantsAmy McAndrews - Vice President of Corporate AffairsGregory Smith...",https://finnhub.io/api/news?id=8d8d244f25c01ebb02b07c3e12d286961a7c11c2fdd604aeb1abd97ab2b5c2fa
company,1770135283,Software Stocks Retreat and Drag the Broader Market Lower,138345593,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.35%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.13%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.94%. March E-mini S&P futures (ESH26 ) are down -0.38%, and March E-mini Nasdaq futures...",https://finnhub.io/api/news?id=dd9b7441b6d5fde758e901d03071d3ea8d177b115b490f1c0cb1f14438750a97
company,1770133560,"Teradyne Q4 Earnings Beat Estimates, Revenues Increase Y/Y, Shares Up",138344232,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"TER tops Q4 expectations as demand strength lifted revenue and earnings, sending the stock sharply higher in pre-market trading.",https://finnhub.io/api/news?id=7d049eb55474674b9a820cc3018c2d309d86329b1ac8018c1c382c361397b361
company,1770130761,"Nasdaq Slips, Gold and Silver Stage Substantial Recovery",138344520,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.58%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.07%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -1.24%. Stock indexes are mixed today, with the Nasdaq down significantly despite robust earnings from...",https://finnhub.io/api/news?id=0ea280718da7133595c43d25274b19d21c3253bdee76690eb9083d8046cea3bb
company,1770130620,Teradyne Stock Spikes 11% After Its First Billion-Dollar Quarter in Years,138342898,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"Earnings and revenue were far higher than expected, and management’s forecast for the current quarter pointed to a blockbuster result.",https://finnhub.io/api/news?id=3bf1daf8659af997a59af3c40d74f6472f2a31fe36414aa0badee2460c0f7fc1
company,1770129289,Here Is Why Palantir Is Up 11% After Earnings,138342585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,"Palantir (NASDAQ: PLTR) reported Q4 results that beat across the board, and investors are carrying that momentum into Tuesday’s open. As we noted in our live earnings coverage yesterday, the key question was whether management could sustain the commercial growth trajectory that defined 2025. They delivered an emphatic answer. Guidance Drives the Reaction Revenue hit ... Here Is Why Palantir Is Up 11% After Earnings",https://finnhub.io/api/news?id=c88ba9384fd248d682226dca3e4a819603518ca9fc5f4640070c0412b88c2a58
company,1770127633,"Wall Street Digests Corporate Earnings Amid Government Shutdown, With US Equity Futures Higher Pre-Bell",138342568,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TER,Yahoo,US equity futures were higher pre-bell Tuesday as traders digested quarterly earnings amid a partial,https://finnhub.io/api/news?id=7af4778e3db305e9f3f7d31cc06907ce9e72a8713d8ffbd583467df24084c140
