category,datetime,headline,id,image,related,source,summary,url
company,1770158703,Target (TGT) Rises As Market Takes a Dip: Key Facts,138349179,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"In the closing of the recent trading day, Target (TGT) stood at $111.3, denoting a +1.62% move from the preceding trading day.",https://finnhub.io/api/news?id=a7f9f752795e14cece60d2797dacc925c94db9f86c34e9f2c4a23830a2a29bca
company,1770154211,PepsiCo CEO reveals how he is tackling weight-loss drugs and consumer affordability challenges,138347130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,PepsiCo CEO Ramon Laguarta weighs on key stock-moving ingredients.,https://finnhub.io/api/news?id=a92aa033d996f4a08cbbccd33592f6e981352850c09022c0dcc6110264808451
company,1770147318,"New Target CEO Michael Fiddelke, an Iowa native, visits Waukee store",138345765,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Michael Fiddelke, the third Iowan to head Target, the nation's eighth-largest retailer, tours the metro's newest store in Waukee.",https://finnhub.io/api/news?id=199c8a12a0ddbaae6e54097b5810ccba2c8d9c9d12ddbe8f3350b96035667e1d
company,1770145814,Target CEO Shift And Beauty Overhaul Signal Merchandising Reset For Investors,138345766,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Target (NYSE:TGT) has appointed Michael Fiddelke as its new CEO during a period of operational and sales challenges. The company is rolling out its largest ever Spring beauty assortment alongside a refreshed in store beauty experience. For investors watching NYSE:TGT, this leadership change comes as the stock trades around $109.53, with a 5.4% gain over the past week and 9.0% over the past month and year to date. These short term moves sit alongside a longer record that includes a 14.8%...",https://finnhub.io/api/news?id=d7e8cb98f0211d1b6a4b6cb371fbc0f60e8641d1248df2d4e96d9f5c19d94db9
company,1770137395,"Walmart’s apparel assortment and value pricing ’impressive’, Piper says",138344082,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,Investing.com -- Piper Sandler analyst Peter Keith said in a note Tuesday that Overweight-rated Walmart’s apparel strategy continues to stand out as the retailer gains market share through sharper pricing and a revamped private-brand lineup.,https://finnhub.io/api/news?id=c203d5af331261a24d4b375fb0a039864ba5b62ee2b7817ff3cf085c2997f7d7
company,1770133342,"Target Is Under Pressure, Not Overvalued",138346486,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182723955/image_2182723955.jpg?io=getty-c-w1536,TGT,SeekingAlpha,"Target trades at historically low valuation multiples, offers a 4.3% dividend yield, and maintains a 57-year dividend growth streak. Find out why TGT is a Buy.",https://finnhub.io/api/news?id=1436c6748a0dcfb2f17f20f06d989e4e317f6d495b49693e13925b40eacf58fd
company,1770131503,Is Target (TGT) Offering An Opportunity After Recent Share Price Weakness,138342879,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"If you have ever wondered whether Target is a bargain or a value trap at its current price, this breakdown is for you. Target shares most recently closed at US$109.53, with returns of 5.4% over 7 days and 9.0% over both 30 days and year to date, set against a 14.8% decline over 1 year, 30.1% over 3 years and 35.1% over 5 years. These mixed returns have put more attention on how investors are thinking about big box retail stocks and what is already priced into Target's shares. Recent coverage...",https://finnhub.io/api/news?id=be5e9bc7757668f8869b9c21f023ab85c0da2dbde1901860fcd737c8ee7300d9
company,1770131220,Dollar General Bets on Remodels as Its Next Growth Engine,138344390,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"DG banks on remodels over new stores, with Project Elevate and Renovate lifts and 90% of fiscal 2026 projects slated as remodels.",https://finnhub.io/api/news?id=4f1997fbf3991d832b3caa7eacc6cbd3b443c6871ccbe1bcac602545b8ec4899
company,1770130357,"Walmart Joins $1 Trillion Club as Tech, Frugal Shoppers Fuel Gains",138342459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"The stock rose as much as 1.6% as of 9:45 a.m. in New York trading, reaching an intraday record of $126 per share and lifting its market value to just over $1 trillion, according to data compiled by Bloomberg.  The Bentonville, Arkansas-based chain — a longtime favorite of bargain-hunting consumers — has flexed its massive scale and supplier network to keep prices low and grab market share across the income spectrum.  While Walmart has maintained its appeal to households looking for value, its online offerings are drawing new, wealthier shoppers seeking convenience.",https://finnhub.io/api/news?id=51d001dbb7e512b872e21d793169d9c6513bbdca5b84f39d621e34d7962052f9
company,1770127205,Here is What to Know Beyond Why Target Corporation (TGT) is a Trending Stock,138342881,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Recently, Zacks.com users have been paying close attention to Target (TGT). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=5502727401488c9e54f79708715f572f5b1b5260cd2147c6dbccf66916a67974
