category,datetime,headline,id,image,related,source,summary,url
company,1770160064,PayPal Q4 Earnings Call Highlights,138348099,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"PayPal (NASDAQ:PYPL) used its fourth-quarter and full-year 2025 earnings call to outline a leadership transition, review results across its diversified portfolio, and acknowledge slower-than-expected progress in modernizing online branded checkout—an area executives described as central to profitabi",https://finnhub.io/api/news?id=5b3f890eb6afa26702e586302e7d544e856a3147ca68d289529343c74ea03db2
company,1770156000,Ondo brings tokenized U.S. stocks and commodities to MetaMask,138348107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Popular tokenization firm Ondo Finance has expanded access to tokenized U.S. stocks, exchange-traded funds (ETFs) and commodities by integrating Ondo Global Markets directly into MetaMask, a leading self-custodial crypto wallet developed by Consensys. Announced on Feb. 3, the ...",https://finnhub.io/api/news?id=28e0c4f1e130dec9377d19e8e524a31a9b9cce38b744dd9d9f7cf3479642d229
company,1770149024,SpaceX and xAI Have Merged. Now Investors Are Wondering What's Next for Tesla,138347107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"SpaceX, Elon Musk's private space exploration company, bought his private AI company xAI.",https://finnhub.io/api/news?id=5d861a522d8f4d9545510ba28dfffdc36abc797c0c25591ff16ecec6ae51fa76
company,1770148800,M&A sentiment is at a 6-year high. Here's why.,138347108,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"After a long period of stalled dealmaking, M&A sentiment is now at a six-year high. Citizens head of commercial banking Ted Swimmer sits down with Market Catalysts host Julie Hyman to explain what's restoring confidence in initial public offering (IPO) and M&A activity. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=36981cc7a6503b06e3759c980a5ba5214abaf1f30d02065672e957693201cf0d
company,1770147067,Gary Black Thinks Tesla-SpaceX Merger Does Not Make Sense For TSLA Shareholders: Here's Why,138345531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Investor Gary Black, who is the managing director of The Future Fund LLC, shared his insights on why a merger between Tesla Inc. (NASDAQ:TSLA) and SpaceX does not make sense for the EV giant's shareholders. Does Not Make Mathematical Sense In a post on the social media platform X on Sunday, the investor shared that the decision to potentially merge the Elon Musk-led companies did not make ""sense mathematically"" for Tesla's shareholders unless there were ""huge cost or revenue synergies"" for the E",https://finnhub.io/api/news?id=b2e541328b621c11919307677a8bdf75b6324455f60c4541cff75680980cde8f
company,1770144199,Microsoft: Pullback Improves The Investment Case (Rating Upgrade),138348049,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1408775753/image_1408775753.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,Microsoft Corporation trades below near term historical EV/EBITDA as AI enthusiasm fades and fundamentals regain focus. Read more on MSFT stock here.,https://finnhub.io/api/news?id=6538598a8e435e781a6575392307adb2f80272552182174e911655a2038f0b7e
company,1770144060,How & Why SpaceX is Moving the AI Data Center Race to Space,138347073,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Elon Musk's broad business empire is reaching a critical tipping point. The recently combined SpaceX/xAI entity will make the countless synergies that much more powerful.,https://finnhub.io/api/news?id=a0fb150f02664a92fcc4e46074830e80924e2047734b0cf442800e379d50ccc3
company,1770143470,Why This Analyst Says Any Dip in Tesla Stock Is Worth Buying,138347110,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Roth analyst Craig Irwin says any Tesla pullback is a buying opportunity because TSLA stock is being valued on high‑growth catalysts.,https://finnhub.io/api/news?id=2efb2c0c3fcef478752b3b7c99b9564de3c1c31763a4fc665d2b540c63dafd2b
company,1770142620,Analysts reset Amazon stock price target before earnings,138345464,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"The past year has shown that the Magnificent 7, as the best stock bets to own, was overhyped. Case in point: Amazon (AMZN). Its stock has gained about 2% over the past year, at the time of writing, Tuesday morning, Feb. 3, according to Yahoo Finance. Meanwhile, the SPDR S&P 500 index (SPY) is ...",https://finnhub.io/api/news?id=4a8dc6161333f98d492937e21a015f09bb80e5b3c045b02b072a44c4071c0395
company,1770142240,‘It Seems Like China Listens to Everything I Say’: Elon Musk Says China Is Out-Executing the U.S. on Energy By Using His Playbook,138347111,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Elon Musk says the fastest way to increase America's energy output is through batteries, something China is already doing at scale and seeing incredible results.",https://finnhub.io/api/news?id=f238b0d2eb571abbfc203bd5d65b66135c921e870c3d09faacf96b7ae045d03b
company,1770142110,"MetaMask Partners Ondo Finance to Integrate Tokenized US Stocks, ETFs, Commodities",138345465,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"MetaMask and Ondo Finance have announced an integration bringing tokenized US stocks, ETFs, and commodities directly into MetaMask wallet via Ondo Global Markets. The integration gives non-US MetaMask Wallet app users access to more than 200 tokenized US securities on the Ethereum mainnet including US stocks such as Apple, Amazon, ...",https://finnhub.io/api/news?id=aed06176c268c9b337cec45e82112c76c88f2d5de115d0428e28f3cb4b650c05
company,1770141857,"After Earnings, Tesla Put Options Offer a 2.5% Short-Put Yield for the Next Month",138347112,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Tesla Inc. earnings were strong, but its near-term put options still have high yields. An investor who sells short 1-month puts can make a 2.50% investment income. That's attractive to value investors.",https://finnhub.io/api/news?id=8181e9e71e648db29f10057ec1fb192717ff73f0f4318edcf99c0d4f97d8687f
company,1770139740,Auto & Transport Roundup: Market Talk,138345534,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Find insight on Tesla, Wizz Air, Westports Holdings and more in the latest Market Talks covering the auto and transport sector..",https://finnhub.io/api/news?id=4afe3b512b585b1b9df0320377c747d1f010531bb2ecc3533e5f7e376e93af74
company,1770139423,"BYD, NIO, LI Auto, XPEV, Xiaomi: China's EV War Is Heating Up",138347671,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2230080278/image_2230080278.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,China EV sales update: BYD leads but slid 30% YoY; Xiaomi surged 70%; NIO jumped while XPeng/Li Auto fell. Click for more on the Asian electric scene.,https://finnhub.io/api/news?id=d3b08ff40eac5dec167cd3c2084910726531cd791282422828541285f8fb379f
company,1770137860,This Impressive ETF Has a Huge Stake in SpaceX,138345535,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Perhaps 2026 is shaping up to be one of the biggest IPO years in a while, with Elon Musk’s SpaceX reportedly poised to merge with AI firm xAI. Undoubtedly, it’s hard to tell when a potential IPO could be, but one thing is almost certain: that demand for a front-row seat to the SpaceX-xAI IPO ... This Impressive ETF Has a Huge Stake in SpaceX",https://finnhub.io/api/news?id=12f2452cb604353eeb7fb949ea98f7792ffcf188daade8a468ef129ddcb1fea6
company,1770137800,PayPal Tanks After Earnings Miss: Could Elon Musk’s X Be the Lifeline?,138345536,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"PayPal (NASDAQ:PYPL) shares are falling 18% in morning trading today after the company reported fourth-quarter earnings that missed expectations. Adjusted earnings came in at $1.23 per share, below the $1.29 consensus estimate, while revenue reached $8.68 billion against forecasts of $8.79 billion. The shortfall stemmed from softer consumer spending and slower growth in its branded ... PayPal Tanks After Earnings Miss: Could Elon Musk’s X Be the Lifeline?",https://finnhub.io/api/news?id=d471ba8a264af98dac152d47774ce9e7e0e785b932372ec54526d2e9e1f9bb00
company,1770134830,"Without Valuing Future Products, What Is Tesla Really Worth?",138346713,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283384596/image_1283384596.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,"Tesla, Inc. stock looks extremely overvalued vs. sector P/E medians; see the $42 fair-value case and 80% downside risk. Click for this TSLA update.",https://finnhub.io/api/news?id=277c09e60e022f4e6da69849830e6b52936cb1a9a82863dc15e5393dbe5252b8
company,1770134426,Consumer Reports' 2026 top 10 cars all have one important feature,138342769,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Consumer Reports' top 10 best new cars for 2026 all feature one important feature: hybrid or fully electric power.,https://finnhub.io/api/news?id=88abfd623a82f7d329cbbadec1cb425becdbb48608f1d0c42d4d9f349a92fe52
