category,datetime,headline,id,image,related,source,summary,url
company,1770155427,"Earnings live: AMD, Chipotle stocks fall, Mondelez profits hit by high cocoa prices",138347086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=ef5915fad138031154aa36aedd3c9d5f27a5d351262dd3d0463c0bb6742297fd
company,1770150681,Uber CEO Dara Khosrowshahi Says Companies Are 'Play-Acting' With AI — Even As 90% Plan To Spend More — The Real Work Means 'Breaking Down The Rules',138347237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"A growing divide is forming between companies talking about artificial intelligence and those changing how they work. ""Play-acting"" is how many businesses approach AI, Uber Technologies Inc. (NYSE:UBER) CEO Dara Khosrowshahi said last month at the World Economic Forum in Davos, Switzerland, even as most companies plan to increase spending on the technology. Khosrowshahi said many organizations are ""saying the right words"" about AI without changing how their operations function. He added that the",https://finnhub.io/api/news?id=da7e63f1b1ae3930a7367705a4bb9ac8b326bbd1e65718a236cb8688e5635b8c
company,1770134580,Uber Eyes Expansion in Asia Via Macau Relaunch: More Upside Ahead?,138344199,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"UBER is relaunching ride-hailing in Macau, marking its3 first new Asian market in years and adding taxi and limo services.",https://finnhub.io/api/news?id=bb18358b4d8ee8024cda8bbd23c2ab1ec4a3d21c87c1e446038434211c79f5a5
company,1770131475,Uber defended at Bernstein as market prices in significant AV disruption,138342671,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Investing.com -- Analysts at Bernstein defended Uber in a note to clients on Tuesday following the recent stock decline, saying it is already factoring in significant autonomous vehicle (AV) disruption and retains upside potential even under severe downside scenarios.",https://finnhub.io/api/news?id=597c6867510b3869571758f4f4c421bba2544b17a78a70223bc85919eefea5e6
company,1770127200,G2 Names Alexis Zheng Chief Product and Technology Officer to Drive AI Innovation and Platform Growth,138342672,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"G2, the world's largest and most trusted software marketplace, today announced the appointment of Alexis Zheng as Chief Product and Technology Officer. In her role, Zheng will help accelerate strategic growth and scale innovation as the company advances its vision to be the most trusted data source for B2B software and go-to-market (GTM) decisions in the age of AI.",https://finnhub.io/api/news?id=a120506539f00246d8ecf51aa87324d76030db2e22fd028bbc43b16c42a301f3
company,1770126900,NYSE Content Advisory: Pre-Market Update + AstraZeneca Climbs Nearly 1% After Historic NYSE Transfer,138341731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,The New York Stock Exchange (NYSE) provides a daily pre-market update directly from the NYSE Trading Floor. Access today's NYSE Pre-market update for market insights before trading begins.,https://finnhub.io/api/news?id=f9009a5a2c95ef8fb7412da8100ed45d69b87bff99dcce6d89d9416d61569e4a
company,1770124882,Uber’s Macau Comeback Tests Growth Story And Cross Border Premium Rides,138341705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Uber Technologies (NYSE:UBER) has relaunched its ride-hailing services in Macau after several years away from the market. The company is introducing new mobility offerings, including a Macau to Hong Kong limousine connection. Uber is actively recruiting local drivers in Macau as part of its expanded regional push. For investors watching Uber Technologies, the Macau move comes with the stock trading at $80.84 and a 1-year return of 20.1%. Over 3 years the return is 138.5%, while the 5-year...",https://finnhub.io/api/news?id=fa203d284d1590241260d3af608dafa9a8aa17b96d2d1ddc8b256be704df2b1b
company,1770123560,"Earnings live: Palantir stock surges after Q4 beat, PayPal plunges, PepsiCo turns higher",138344099,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=fff633d2cdb61aebc78826813d0db0cbc85516a74842ef0f392b903b07f42399
company,1770123560,"Earnings live: Palantir stock surges after Q4 beat, PayPal plunges, PepsiCo slips",138341555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,More Big Tech earnings are ahead from Amazon and Alphabet.,https://finnhub.io/api/news?id=919963b64f102f80abcd0f64bd77692e96e25a2d32618dcb18919be07cf0202f
company,1770116197,Lyft (LYFT) To Launch Rideshare Service for Teenagers,138340788,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UBER,Yahoo,"Lyft Inc. (NASDAQ:LYFT) is one of the most undervalued stocks to buy and hold for 5 years. On January 27, Bloomberg reported that Lyft Inc. (NASDAQ:LYFT) is attempting to launch a rideshare service for teenagers. Lyft Teen, which mirrors a similar service debuted by rival Uber in 2023, will match teenage passengers with highly rated […]",https://finnhub.io/api/news?id=826327bcfd2eeef829a027ff947588438d199f7c38b6f8d82b5ab355abdb501f
