category,datetime,headline,id,image,related,source,summary,url
company,1770159600,$60 Oil Forces Europe’s Energy Giants to Rethink Buybacks,138348998,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Lower oil prices are squeezing Big Oil earnings, with crude around $60 per barrel undermining the sustainability of shareholder returns.",https://finnhub.io/api/news?id=fe0856c54fc05c637885fb566447b943952cf59c5a166258d28043a57beb8b99
company,1770159600,Sintana Energy Inc. Announces VMM-37 Resolution,138348167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"TORONTO, ON / ACCESS Newswire / February 3, 2026 / Sintana Energy Inc. (TSX-V:SEI)(AIM:SEI)(OTCQX:SEUSF) (""Sintana"" or the ""Company"") is pleased to announce that its subsidiaries, Patriot Energy Oil and Gas Inc. and Patriot Energy Sucursal Colombia ...",https://finnhub.io/api/news?id=d9bee8508141843c06dd68711a5a6eae9a19a2eebe5aabcb0c75309db400f177
company,1770145763,ExxonMobil Balances Fife Closure With Growing US Carbon Capture Business,138345546,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"ExxonMobil (NYSE:XOM) is permanently closing its Fife Ethylene Plant in Scotland, with decommissioning to follow and significant implications for local jobs and the surrounding community. At the same time, ExxonMobil has started commercial operations at its first carbon capture and storage project with CF Industries in Louisiana, reflecting a shift in its global asset mix and emissions management efforts. For you as an investor, these moves sit at the intersection of ExxonMobil's...",https://finnhub.io/api/news?id=e0b0a6772cb36e45f90131f9cff75fb956893dbf3a79c2d00fe681f2fe1cd173
company,1770136860,"The Zacks Analyst Blog Highlights Exxon Mobil, Lockheed Martin, Honeywell International and AMREP",138345547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Exxon Mobil anchors Zacks' latest top stock reports as energy, defense and industrial leaders show resilience amid mixed macro signals.",https://finnhub.io/api/news?id=04bbe4b39483459935216458b70eb1728b68d6d4f8e0761ad193f4ef378294fe
company,1770129284,"Adobe downgraded, Palantir upgraded: Wall Street's top analyst calls",138342547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Adobe downgraded, Palantir upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=8668f7889e53dcd677bfa3601bcb1761acce6e176af5fd857a6ad25a0edb0d56
company,1770128940,"Devon, Coterra Merger Redraws the 2026 U.S. Shale Playbook",138344077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"DVN's deal for CTRA signals a new phase of U.S. shale consolidation, building a $58B Delaware-focused producer with scale-driven savings and cash discipline.",https://finnhub.io/api/news?id=ca80c80b4eb1bf2927f5af5c03866a3ddb4615b5a82a90a15e2eed7b01ab0c53
company,1770127205,Exxon Mobil Corporation (XOM) Is a Trending Stock: Facts to Know Before Betting on It,138342548,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Exxon (XOM) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",https://finnhub.io/api/news?id=9d70768c72eeb97dc49f5833577a69099d69f0a6f95bb1b15be67360b84defb5
company,1770126295,Union hits out as Mossmorran plant ends production,138341603,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,ExxonMobil announced at the end of last year that the plant would close.,https://finnhub.io/api/news?id=eabdbf1522180cd7248fc5f25ac5a8f213589d88427e30ef2344119fc483d1a7
company,1770123630,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies, SoFi Technologies, and More",138342018,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,XOM,Yahoo,"Pre-Market Stock Futures: Futures are trading higher after a strong bounce-back Monday, with all major indices ending the day higher, as we started February on a winning note. Investors were able to look past the crypto and precious metals meltdowns, geopolitical hot spots around the world, some big retail and institutional investors’ profit-taking, and a ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Adobe, Disney, Exxon Mobil, Lockheed Martin, Mastercard, Palantir Technologies,",https://finnhub.io/api/news?id=d28b06dc570fad9873c2ca6007e3ad166c701a25927932e58025d3f26bea4e3f
company,1770121287,DGRO: This Diversified Dividend Growth Fund Is Getting Pricey,138343719,,XOM,SeekingAlpha,,https://finnhub.io/api/news?id=ad6eb402da4430178f476b94b861881a01e39777047e6df8fc51a87c56492227
company,1770110393,The Only Investing Strategy I'd Trust With My Entire Financial Future,138342158,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147909462/image_1147909462.jpg?io=getty-c-w1536,XOM,SeekingAlpha,"Discover a third path in todayâs expensive, risky market.",https://finnhub.io/api/news?id=39cd7068879e21573bda950a583622fda7466f108d665ddbb6117691f1791159
company,1770106477,Exxon Mobil: Strong Value Despite Oil Rout,138341282,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1316669671/image_1316669671.jpg?io=getty-c-w1536,XOM,SeekingAlpha,ExxonMobil Q4 earnings beat as Permian & Guyana growth offsets weak oil prices; new $20B buyback supports 2026 shares.,https://finnhub.io/api/news?id=d5ff993b850a177c1835ab19a90e289968e0316315b3fa3a56baa7d617e1f2b1
